
[00:00:00.000 --> 00:00:03.660]  各位電影姐妹 早晨
[00:00:03.660 --> 00:00:06.140]  首先很想問大家這個問題
[00:00:06.140 --> 00:00:09.280]  什麼意思?
[00:00:09.280 --> 00:00:14.880]  什麼意思?
[00:00:14.880 --> 00:00:18.800]  可能你會說 梁牧師 你問什麼意思是什麼意思?
[00:00:18.800 --> 00:00:20.040]  什麼意思?
[00:00:20.040 --> 00:00:22.020]  很多時候我們人與人之間溝通
[00:00:22.020 --> 00:00:23.720]  有時候都要問清楚
[00:00:23.720 --> 00:00:26.480]  剛才你說這句話是什麼意思呢?
[00:00:26.480 --> 00:00:28.520]  可不可以再解釋多一點給我知道呢?
[00:00:28.520 --> 00:00:31.940]  我不是很明白 什麼意思?
[00:00:31.940 --> 00:00:33.360]  今天我們看這段經文
[00:00:33.360 --> 00:00:34.980]  這段經文說到什麼呢?
[00:00:34.980 --> 00:00:40.440]  是說到耶穌說一個比喻
[00:00:40.440 --> 00:00:44.000]  葡萄園 另外也有防角石的比喻
[00:00:44.000 --> 00:00:46.600]  當我們聽到這些比喻的時候
[00:00:46.600 --> 00:00:48.520]  都好像挺明白的
[00:00:48.520 --> 00:00:49.760]  但又好像有點不明白
[00:00:49.760 --> 00:00:52.120]  好像又明白又不明白的樣子
[00:00:52.120 --> 00:00:54.640]  因為我們不是以前
[00:00:54.640 --> 00:00:58.780]  二千多年前耶穌當時的那群聽眾
[00:00:58.780 --> 00:01:00.280]  我們沒有他們的背景
[00:01:00.280 --> 00:01:01.480]  有時候聽起來
[00:01:01.480 --> 00:01:04.080]  我們未必能夠完全明白
[00:01:04.080 --> 00:01:06.080]  究竟是什麼意思
[00:01:06.080 --> 00:01:09.760]  所以今天我們要就著這段經文
[00:01:09.760 --> 00:01:12.640]  這些比喻 我們要問什麼意思
[00:01:12.640 --> 00:01:14.240]  從三方面去問一下
[00:01:14.240 --> 00:01:15.720]  問一下耶穌
[00:01:15.720 --> 00:01:19.120]  耶穌 你以前對著那一群人
[00:01:19.120 --> 00:01:22.640]  特別是一些百姓 宗教領袖
[00:01:22.640 --> 00:01:25.240]  你對他們說什麼?
[00:01:25.240 --> 00:01:28.000]  第二 我們問一下路加
[00:01:28.000 --> 00:01:30.920]  路加福音的作者 路加
[00:01:30.920 --> 00:01:32.120]  那麼多東西不記載
[00:01:32.120 --> 00:01:34.400]  那麼多東西 關於耶穌的資料
[00:01:34.400 --> 00:01:39.040]  為什麼要把這段資料放在路加福音這段裡面呢?
[00:01:39.040 --> 00:01:42.600]  他想告訴當時路加福音的作者
[00:01:42.600 --> 00:01:45.000]  他把這些東西都寫下來
[00:01:45.000 --> 00:01:47.640]  一定是希望有人看的
[00:01:47.640 --> 00:01:53.400]  就是他希望看到他這邊記載的當時的人
[00:01:53.400 --> 00:01:57.600]  他們有什麼 明白到什麼意思呢?
