
[00:00:00.000 --> 00:00:02.000]  請主我們感謝祢
[00:00:02.000 --> 00:00:04.000]  讓我們讚美祢的掌聲
[00:00:04.000 --> 00:00:07.000]  我們的掌聲就代表耶穌基督已經得勝
[00:00:07.000 --> 00:00:09.000]  所以祢是一個勝利
[00:00:09.000 --> 00:00:13.000]  耶穌說祢已經勝過一切死亡的前世
[00:00:13.000 --> 00:00:14.000]  祢勝過疫情
[00:00:14.000 --> 00:00:16.000]  勝過病毒
[00:00:16.000 --> 00:00:18.000]  勝過恐懼
[00:00:18.000 --> 00:00:20.000]  主在祢釋放這一份盼望
[00:00:20.000 --> 00:00:22.000]  平安在頂尖的當中
[00:00:22.000 --> 00:00:24.000]  讓我們一起聽祢的話的時候
[00:00:24.000 --> 00:00:27.000]  一起去領受主的教導的時候
[00:00:27.000 --> 00:00:29.000]  主要是祢的靈親自跟我們說話
[00:00:30.000 --> 00:00:32.000]  並不是人的口說出來
[00:00:32.000 --> 00:00:34.000]  是主祢親自跟我們每位弟子妹說話
[00:00:34.000 --> 00:00:36.000]  無論在殿裏面
[00:00:36.000 --> 00:00:37.000]  或者在家裏
[00:00:37.000 --> 00:00:40.000]  主是一樣顯明你自己
[00:00:40.000 --> 00:00:41.000]  讚美你
[00:00:41.000 --> 00:00:42.000]  我們奉耶穌基督的名
[00:00:42.000 --> 00:00:44.000]  宣告一切不屬於耶穌的黑暗世
[00:00:44.000 --> 00:00:45.000]  你要離開我們
[00:00:45.000 --> 00:00:47.000]  主唯有你自己的光
[00:00:47.000 --> 00:00:48.000]  照進我們的生命裏
[00:00:48.000 --> 00:00:49.000]  多謝你聽我們禱告
[00:00:49.000 --> 00:00:51.000]  奉耶穌基督得勝的名
[00:00:51.000 --> 00:00:52.000]  Amen
[00:00:52.000 --> 00:00:53.000]  等一會兒請坐
[00:00:53.000 --> 00:00:59.000]  有一個猶太商人走入美國紐約
[00:00:59.000 --> 00:01:01.000]  一間銀行
[00:01:01.000 --> 00:01:03.000]  那個貸款部經理
[00:01:03.000 --> 00:01:04.000]  就跟他說
[00:01:04.000 --> 00:01:05.000]  先生有什麼可以幫到你呢
[00:01:05.000 --> 00:01:07.000]  猶太商人就這樣說
[00:01:07.000 --> 00:01:09.000]  他說我要借錢
[00:01:09.000 --> 00:01:10.000]  哦
[00:01:10.000 --> 00:01:11.000]  歡迎
[00:01:11.000 --> 00:01:13.000]  請問你要借多少錢呢
[00:01:13.000 --> 00:01:14.000]  借一元
[00:01:14.000 --> 00:01:16.000]  借一元
[00:01:16.000 --> 00:01:18.000]  貸款部經理有少少拗頭了
[00:01:18.000 --> 00:01:20.000]  先生其實呢
[00:01:20.000 --> 00:01:22.000]  借一元是沒有問題的
[00:01:22.000 --> 00:01:23.000]  如果你有抵押
[00:01:23.000 --> 00:01:25.000]  其實還借多一點都可以
[00:01:25.000 --> 00:01:27.000]  那個猶太商人說
[00:01:27.000 --> 00:01:28.000]  我是借一元
[00:01:28.000 --> 00:01:29.000]  可以嗎
[00:01:29.000 --> 00:01:30.000]  當然可以
[00:01:30.000 --> 00:01:34.000]  於是那個猶太商人就拿了一大箱的
[00:01:34.000 --> 00:01:38.000]  價值一千萬美金的股票出來
[00:01:38.000 --> 00:01:39.000]  擺在桌面上
[00:01:39.000 --> 00:01:40.000]  他說我想
[00:01:40.000 --> 00:01:44.000]  用這一千萬美金的股票抵押
[00:01:44.000 --> 00:01:45.000]  借一元
[00:01:45.000 --> 00:01:47.000]  年息一厘
