
[00:00:00.000 --> 00:00:03.880]  我覺得今天在慶祝聖誕的日子
[00:00:03.880 --> 00:00:07.720]  有很多不同的長者都回來了
[00:00:07.720 --> 00:00:12.120]  我所說應該有七部輪椅
[00:00:12.120 --> 00:00:17.000]  我不知道這是否我們教會崇拜的紀錄
[00:00:17.000 --> 00:00:22.440]  但我很感恩因為大家能夠可以一同去敬拜
[00:00:22.440 --> 00:00:24.440]  一同去服事
[00:00:24.440 --> 00:00:26.440]  我們先有祈禱
[00:00:26.440 --> 00:00:30.440]  「真是主祢愛我們,叫我們在生命裡能夠認識祢。」
[00:00:30.440 --> 00:00:37.440]  「主是求祢因待我們,從主祢名字的意義思想福音的信息。」
[00:00:37.440 --> 00:00:44.440]  「主是求祢又因待我們,叫我們能夠藉著主祢名字,我們曉得,我們去明白。」
[00:00:44.440 --> 00:00:49.440]  「怎樣在在世的日子,過祢要我們過的生活。」
[00:00:49.440 --> 00:00:51.440]  「主求祢賜福。」
[00:00:51.440 --> 00:00:55.440]  「多謝祢聽我們的祈禱,奉主名求。」
[00:00:55.440 --> 00:00:57.440]  「阿們。」
[00:00:57.440 --> 00:01:00.440]  在以塞雅書第九章這一段一至七節
[00:01:00.440 --> 00:01:06.440]  其實是先知在八世紀的時候已經講述
[00:01:06.440 --> 00:01:11.440]  有關微塞雅君王將要降臨的時候
[00:01:11.440 --> 00:01:15.440]  是一段什麼樣的日子
[00:01:15.440 --> 00:01:20.440]  一班以色列民他們在生命裡面其實經歷過很多不同的艱難
[00:01:20.440 --> 00:01:27.440]  當時的處境就是他們將要面對被擄到巴比倫
[00:01:27.440 --> 00:01:31.440]  不過以色列在七八二十二年的時候
[00:01:31.440 --> 00:01:34.440]  被擄去
[00:01:34.440 --> 00:01:38.440]  然後先知在這個過程裡面預言
[00:01:38.440 --> 00:01:41.440]  怎樣面對一個艱難的情況底下
[00:01:41.440 --> 00:01:44.440]  他們能夠見到光明
[00:01:44.440 --> 00:01:47.440]  所以在九章第一節就講
[00:01:47.440 --> 00:01:51.440]  他們會在第一節開始就講
[00:01:51.440 --> 00:01:55.440]  其實他們受的痛苦不會再有憂鬱
[00:01:55.440 --> 00:01:57.440]  不會再有困難
[00:01:57.440 --> 00:02:02.440]  君王就會從神使西布倫和拿弗他利這個地方
[00:02:02.440 --> 00:02:04.440]  就是以色列北邊的地方
[00:02:04.440 --> 00:02:07.440]  也就是將來在當時來講
[00:02:07.440 --> 00:02:10.440]  約旦河東外邦人居住的地方
[00:02:10.440 --> 00:02:12.440]  加利利的地方,即是耶穌基督
[00:02:12.440 --> 00:02:17.440]  在那裡生活,在那裡傳道的日子裡面
[00:02:17.440 --> 00:02:19.440]  在一個外邦的地方
[00:02:19.440 --> 00:02:23.440]  傳揚主的光輝
[00:02:23.440 --> 00:02:27.440]  在黑暗裡面看到大光
[00:02:27.440 --> 00:02:28.440]  如果這裡都關了燈,黑漆漆的
[00:02:28.440 --> 00:02:30.440]  是不是大家都看不到東西呢?
[00:02:30.440 --> 00:02:35.440]  除了銀幕沒有關,當然看到銀幕
[00:02:35.440 --> 00:02:38.440]  頂尖去看到大光的時候怎樣呢?
[00:02:38.440 --> 00:02:41.440]  我有個經驗,剛剛去驗眼
[00:02:41.440 --> 00:02:43.440]  放大了你的瞳孔之後
[00:02:43.440 --> 00:02:45.440]  然後醫生就用電筒
[00:02:45.440 --> 00:02:47.440]  那個光很長的照著你
[00:02:47.440 --> 00:02:49.440]  這樣就很不舒服
[00:02:49.440 --> 00:02:52.440]  其實一句說完
[00:02:52.440 --> 00:02:54.440]  如果光不是從後面射來
[00:02:54.440 --> 00:02:55.440]  讓你看到前面
[00:02:55.440 --> 00:02:57.440]  你是看不到的
[00:02:57.440 --> 00:03:01.440]  照著你的眼是什麼都看不到
[00:03:01.440 --> 00:03:02.440]  但是弟兄姊妹
[00:03:02.440 --> 00:03:05.440]  原來這裡當我們常在黑暗的時候
[00:03:05.440 --> 00:03:09.440]  講的是一個很困難的處境
[00:03:09.440 --> 00:03:15.440]  從黑暗要帶領這些以色列民眾進入光明的時候
[00:03:15.440 --> 00:03:19.440]  聖經這一段就告訴我們
[00:03:19.440 --> 00:03:23.440]  有一鷹孩為他們而生
[00:03:23.440 --> 00:03:25.440]  因為當時他們面對的處境
[00:03:25.440 --> 00:03:28.440]  如果我們看回在一個情況裡面
[00:03:28.440 --> 00:03:31.440]  他們黑暗會面對光明第三節
[00:03:31.440 --> 00:03:34.440]  當這個光來到的時候
[00:03:34.440 --> 00:03:36.440]  民眾就多了,喜樂大增了
[00:03:36.440 --> 00:03:38.440]  要在面前歡喜了
[00:03:38.440 --> 00:03:40.440]  在收割的時候
[00:03:40.440 --> 00:03:43.440]  歡喜就好像得到戰利品一樣
[00:03:43.440 --> 00:03:44.440]  然後第四節
[00:03:44.440 --> 00:03:46.440]  將來他們所負的重壓
[00:03:46.440 --> 00:03:48.440]  困難或者肩頭上的障
[00:03:48.440 --> 00:03:52.440]  欺壓他們的一些棍都會截斷
[00:03:52.440 --> 00:03:54.440]  如同在米顛的日子
[00:03:54.440 --> 00:03:56.440]  米顛就在史詩的時代
[00:03:56.440 --> 00:04:00.440]  基顛帶領以色列民對抗
[00:04:00.440 --> 00:04:02.440]  是米顛的敵人一樣
[00:04:02.440 --> 00:04:05.440]  就好像戰士
[00:04:05.440 --> 00:04:09.440]  在戰亂中所穿的靴子
