
[00:00:00.000 --> 00:00:03.580]  讓我們一齊去聆聽上帝的說話
[00:00:03.580 --> 00:00:06.840]  讓我們一齊去祈禱
[00:00:06.840 --> 00:00:07.600]  親愛的主
[00:00:07.600 --> 00:00:11.400]  我們願意將我們今天的崇拜加在手裡
[00:00:11.400 --> 00:00:14.600]  帶領我們接下來聽信息的時間
[00:00:14.600 --> 00:00:17.700]  我們主要需要你給我們有一個流通的網絡
[00:00:17.700 --> 00:00:20.900]  讓我們在地上可以跨越香港
[00:00:20.900 --> 00:00:23.600]  美國或者其它地方的信號
[00:00:23.600 --> 00:00:27.740]  也求天份你打開天上和地上的網絡
[00:00:27.740 --> 00:00:31.500]  讓我們能夠去接收上帝你話語的信息
[00:00:31.500 --> 00:00:34.540]  以致我們能夠被主你去提醒
[00:00:34.540 --> 00:00:37.080]  被主你去建立我們的生命
[00:00:37.080 --> 00:00:39.540]  就求你去帶領我們一齊下來
[00:00:39.540 --> 00:00:41.480]  去聽你話語的時間
[00:00:41.480 --> 00:00:43.980]  祈禱奉耶穌名字而求
[00:00:43.980 --> 00:00:46.280]  阿們
[00:00:46.280 --> 00:00:48.380]  好
[00:00:48.380 --> 00:00:51.480]  今天跟大家去分享一個題目
[00:00:51.480 --> 00:00:53.880]  誰偷走了我的福氣
[00:00:53.880 --> 00:00:56.680]  其實這個題目都是借題
[00:00:56.680 --> 00:00:58.380]  借著有一本書
[00:00:58.380 --> 00:01:00.840]  叫《誰搬走了我的娛樂》
[00:01:00.840 --> 00:01:03.900]  這本書化為今天的題目
[00:01:03.900 --> 00:01:06.780]  不知道大家有沒有看過這本書
[00:01:06.780 --> 00:01:09.680]  這本書大約可能十幾二十年前
[00:01:09.680 --> 00:01:12.280]  曾經有一段時間都很流行的
[00:01:12.280 --> 00:01:14.780]  因為這本書的特點就是
[00:01:14.780 --> 00:01:16.780]  藉著一個小小的故事
[00:01:16.780 --> 00:01:19.280]  都幫人去想一下
[00:01:19.280 --> 00:01:22.780]  我們怎樣去面對著我們一些的抉擇
[00:01:22.780 --> 00:01:24.780]  一些的決定等等
[00:01:24.780 --> 00:01:26.480]  都挺有意義的
[00:01:26.480 --> 00:01:29.780]  所以今天也用這本書作為我們的開始
[00:01:29.780 --> 00:01:31.780]  這本書其實很簡單的
[00:01:31.780 --> 00:01:34.780]  就是說有兩隻老鼠
[00:01:34.780 --> 00:01:37.480]  一個叫臭臭 一個叫快快
[00:01:37.480 --> 00:01:40.780]  有兩個小人 即迷你人
[00:01:40.780 --> 00:01:43.180]  一個叫亨亨 一個叫蝦蝦
[00:01:43.180 --> 00:01:46.980]  其實他們每一天都會去迷宮裡面
[00:01:46.980 --> 00:01:48.180]  去找東西吃的
[00:01:48.180 --> 00:01:50.580]  特別他們就找那個娛樂
[00:01:50.580 --> 00:01:52.180]  就是那個芝士
[00:01:52.180 --> 00:01:54.980]  所以原來他們每一天都很勤力
[00:01:54.980 --> 00:01:56.980]  去到迷宮裡面去玩玩
[00:01:56.980 --> 00:01:59.480]  直到有一天他們終於
[00:01:59.480 --> 00:02:04.980]  在區域C那裡找到一些娛樂
[00:02:04.980 --> 00:02:06.980]  他們就很開心了
[00:02:06.980 --> 00:02:08.980]  找到這些娛樂之後就成為了他們
[00:02:08.980 --> 00:02:12.980]  每一天都可以定時定又去到這個地方
[00:02:12.980 --> 00:02:16.980]  C這個區域裡面去吃這些娛樂
[00:02:16.980 --> 00:02:18.980]  可以繼續吃的地方
[00:02:18.980 --> 00:02:20.980]  就是這樣
[00:02:20.980 --> 00:02:22.980]  他們每一天都會去到這個C區裡面
