
[00:00:00.000 --> 00:00:04.660]  在開始之前 我都首先想和各位弟兄姊妹打個招呼
[00:00:04.660 --> 00:00:07.000]  但我都想大家都和我打個招呼 好嗎
[00:00:07.000 --> 00:00:10.000]  天氣冷冷的 我們都或者精神少少好些
[00:00:10.000 --> 00:00:14.400]  我和大家說聲主內平安 大家都大聲點回應 好嗎
[00:00:14.400 --> 00:00:16.000]  各位弟兄姊妹主內平安
[00:00:16.000 --> 00:00:18.300]  啊 好好啦
[00:00:18.300 --> 00:00:21.000]  今日都涼涼的 但都有溫暖的
[00:00:21.000 --> 00:00:23.500]  希望神給我們有好好的一個主日
[00:00:23.500 --> 00:00:29.000]  亦都盼望 神給我們有一個學習神話與經文的機會 好嗎
[00:00:29.000 --> 00:00:32.000]  家中的弟兄姊妹都想說聲主內平安
[00:00:32.000 --> 00:00:34.000]  你都可以大聲回應我 好嗎
[00:00:34.000 --> 00:00:38.000]  各位弟兄姊妹 我們今日繼續去看啟示錄
[00:00:38.000 --> 00:00:40.000]  這一點我們需要留意
[00:00:40.000 --> 00:00:47.000]  其中一點很重要 就是啟示錄本身其實是一封書信
[00:00:47.000 --> 00:00:50.000]  而在這封書信裏面
[00:00:50.000 --> 00:00:56.000]  是會由當時第一世紀不同的教會去傳閱
[00:00:56.000 --> 00:00:59.000]  他們只有一份手本
[00:00:59.000 --> 00:01:02.000]  會由不同的人帶到不同的教會讀出來
[00:01:02.000 --> 00:01:05.000]  給弟兄姊妹去聽
[00:01:05.000 --> 00:01:08.000]  而啟示錄這個書信裏面
[00:01:08.000 --> 00:01:14.000]  裏面有很奇妙地包括了七封不同教會的小書信
[00:01:14.000 --> 00:01:16.000]  所以我們不難理解
[00:01:16.000 --> 00:01:21.000]  啟示錄最少會在這七個教會裏面傳閱
[00:01:21.000 --> 00:01:24.000]  並且當啟示錄傳閱的時候
[00:01:24.000 --> 00:01:33.000]  這七個教會每一間都會聽到那一封寫給自己的書信
[00:01:33.000 --> 00:01:38.000]  所以這七封信並不是一些抽象的道理
[00:01:38.000 --> 00:01:47.000]  而是真正確實直接回應著七間教會當時的處境
[00:01:47.000 --> 00:01:51.000]  今日我們看的是第二封書信
[00:01:51.000 --> 00:01:53.000]  是寫給士美娜教會的
[00:01:53.000 --> 00:01:58.000]  這個教會當時面對的情況
[00:01:58.000 --> 00:02:00.000]  我們不會陌生的
[00:02:00.000 --> 00:02:02.000]  只要我說你就明白
[00:02:02.000 --> 00:02:10.000]  因為他們面對的就是貧窮和富足這個很普遍的問題
[00:02:10.000 --> 00:02:14.000]  如果你今天打開經濟的報紙
[00:02:14.000 --> 00:02:16.000]  去看經濟的新聞
[00:02:16.000 --> 00:02:20.000]  有時候你會見到這個詞彙
[00:02:20.000 --> 00:02:23.000]  叫做堅尼系數
[00:02:23.000 --> 00:02:25.000]  什麼來的呢
[00:02:25.000 --> 00:02:28.000]  就是當這個數字越大的時候
[00:02:28.000 --> 00:02:34.000]  就代表社會的財富就越不平均
[00:02:34.000 --> 00:02:36.000]  80年代的時候
[00:02:36.000 --> 00:02:43.000]  澳洲這個堅尼系數的數值大概是0.27
[00:02:43.000 --> 00:02:45.000]  以一分為滿分
[00:02:45.000 --> 00:02:50.000]  去到2019年 即是大概過了40年
[00:02:50.000 --> 00:02:55.000]  這個數值現在就升到0.325
[00:02:55.000 --> 00:02:59.000]  即是都升了大概有兩三成的地步
[00:02:59.000 --> 00:03:06.000]  一個社會的財富分佈差距很大的時候
[00:03:06.000 --> 00:03:08.000]  其實好像現在這樣
[00:03:08.000 --> 00:03:10.000]  又有一個新的詞彙
[00:03:10.000 --> 00:03:13.000]  叫做K型社會
[00:03:13.000 --> 00:03:16.000]  之所以叫K型不是因為社會K型
[00:03:16.000 --> 00:03:22.000]  是因為社會財富的分佈是真的K字的形狀
[00:03:22.000 --> 00:03:27.000]  意思是富有的人越來越富
[00:03:27.000 --> 00:03:30.000]  貧窮的人越來越窮
[00:03:30.000 --> 00:03:33.000]  從前最大部分的是中產
[00:03:33.000 --> 00:03:38.000]  中產就慢慢消失
[00:03:38.000 --> 00:03:41.000]  有一次我和我的兒子看卓京新聞
[00:03:41.000 --> 00:03:44.000]  基本上是我看的時候他坐在我旁邊
[00:03:44.000 --> 00:03:49.000]  新聞就在說現在的樓價真的很貴
[00:03:49.000 --> 00:03:52.000]  看完之後他就看著我
[00:03:52.000 --> 00:03:55.000]  跟我說Daddy I am so quote
[00:03:55.000 --> 00:03:57.000]  如果你不明白什麼是I am so quote
[00:03:57.000 --> 00:03:59.000]  就問問我們當中的年青
[00:03:59.000 --> 00:04:02.000]  並不是解他煮熟的意思
[00:04:02.000 --> 00:04:06.000]  他說我以後都不會有自己的地方住
[00:04:06.000 --> 00:04:08.000]  跟著我就跟他說笑
[00:04:08.000 --> 00:04:10.000]  我說兒子不用擔心
[00:04:10.000 --> 00:04:12.000]  家裡有地方住
[00:04:12.000 --> 00:04:15.000]  你準時交租就可以
[00:04:15.000 --> 00:04:16.000]  但是當我想了一下
[00:04:16.000 --> 00:04:19.000]  我就發覺到在家裡
