
[00:00:00.000 --> 00:00:04.040]  今天我要繼續來講我們出埃及記的第三講
[00:00:04.040 --> 00:00:07.520]  各位如果記得在創世紀的尾巴
[00:00:07.520 --> 00:00:09.840]  以色列就是雅各
[00:00:09.840 --> 00:00:12.920]  帶了全家來投靠
[00:00:12.920 --> 00:00:16.040]  在埃及貴為宰相的約瑟
[00:00:16.040 --> 00:00:19.400]  那七十個人在埃及
[00:00:19.400 --> 00:00:23.320]  就茁壯壯大成為好幾百萬人
[00:00:23.320 --> 00:00:25.960]  十幾代也都過去了
[00:00:25.960 --> 00:00:28.320]  結果新的王起來
[00:00:28.320 --> 00:00:29.880]  不認識約瑟
[00:00:30.200 --> 00:00:32.600]  就苦待以色列民
[00:00:32.600 --> 00:00:35.000]  所以才會有出埃及記
[00:00:35.000 --> 00:00:38.520]  出埃及的人到底是哪些人呢
[00:00:38.520 --> 00:00:40.280]  我有講過
[00:00:40.280 --> 00:00:43.920]  說是敬畏神的收生婆
[00:00:43.920 --> 00:00:47.200]  因為我們看出埃及記第一章的時候
[00:00:47.200 --> 00:00:51.040]  百姓現在困苦患難苦難之中
[00:00:51.040 --> 00:00:53.840]  但是有兩個人很例外
[00:00:53.840 --> 00:00:56.480]  一名叫做施芙拉
[00:00:56.480 --> 00:00:58.080]  另外一名叫做普阿
[00:00:58.080 --> 00:00:59.840]  他們兩個是收生婆
[00:01:00.040 --> 00:01:01.320]  他們敬畏神
[00:01:01.320 --> 00:01:04.400]  所以寧願違背法老王的命令
[00:01:04.400 --> 00:01:08.920]  他們不去殺猶太人新生的男嬰
[00:01:08.920 --> 00:01:10.520]  神紀念他們
[00:01:10.520 --> 00:01:14.320]  他們職業本來是很低洽低落低俗的
[00:01:14.320 --> 00:01:16.040]  但是神紀念他們
[00:01:16.040 --> 00:01:19.120]  聖經甚至提出他們的名字來
[00:01:19.120 --> 00:01:20.800]  我都記得了
[00:01:20.800 --> 00:01:25.120]  甚至於讓他們能夠一起出了埃及
[00:01:25.120 --> 00:01:27.960]  得到神的恩典與祝福
[00:01:28.880 --> 00:01:30.080]  其他的百姓
[00:01:30.080 --> 00:01:32.440]  他們不認識上帝
[00:01:32.440 --> 00:01:35.880]  都現在困苦患難之中
[00:01:35.880 --> 00:01:37.400]  哈雷勒亞
[00:01:37.400 --> 00:01:39.520]  上一次我講
[00:01:39.520 --> 00:01:43.520]  出埃及記的人都是受苦難遭受患難
[00:01:43.520 --> 00:01:46.120]  都是受欺壓
[00:01:46.120 --> 00:01:50.480]  都是像是魔蟻被追殺而逃亡的人
[00:01:50.480 --> 00:01:52.520]  但是最後他說什麼
[00:01:52.520 --> 00:01:54.960]  他說神看見神紀念
[00:01:54.960 --> 00:01:57.880]  出埃及的人都是神所紀念的人
[00:01:58.640 --> 00:02:01.160]  你可以把埃及看作是世界
[00:02:01.160 --> 00:02:03.280]  這世界上就有罪惡
[00:02:03.280 --> 00:02:05.280]  所以我們身在世界
[00:02:05.280 --> 00:02:06.880]  我們在罪惡之中
[00:02:06.880 --> 00:02:10.920]  我們甚至於活在罪終之樂
[00:02:10.920 --> 00:02:14.240]  剛才有人掀了我的底
[00:02:14.240 --> 00:02:18.080]  說我以前抽菸抽得像火車頭一樣
[00:02:18.080 --> 00:02:19.760]  那不是
[00:02:19.760 --> 00:02:22.800]  我那個時候可散後一枝煙
[00:02:22.800 --> 00:02:24.800]  快樂似神仙
[00:02:24.800 --> 00:02:26.080]  您知道嗎
[00:02:26.160 --> 00:02:29.160]  我們在罪惡之中也有喜樂
[00:02:29.160 --> 00:02:30.960]  我有的時候喜歡說
[00:02:30.960 --> 00:02:32.880]  酒裡乾坤大
[00:02:32.880 --> 00:02:34.640]  湖中有春秋啊
[00:02:34.640 --> 00:02:36.280]  喝啊喝啊
[00:02:36.280 --> 00:02:37.880]  好舒服啊
[00:02:37.880 --> 00:02:39.160]  但是
[00:02:39.160 --> 00:02:42.080]  神要帶我們去罪惡
[00:02:42.080 --> 00:02:44.680]  所以這是神為我們所預備的
[00:02:44.680 --> 00:02:46.680]  是神所紀念的
[00:02:46.680 --> 00:02:48.880]  正如上次保羅說的
[00:02:48.880 --> 00:02:51.680]  你們所受的不是奴僕的心
[00:02:51.680 --> 00:02:53.160]  人就害怕
[00:02:53.160 --> 00:02:55.520]  所受的乃是兒子的心
[00:02:55.840 --> 00:02:58.720]  因此我們呼叫阿爸父
[00:02:58.720 --> 00:03:00.520]  這是我們的心啊
[00:03:00.520 --> 00:03:02.280]  神已經見血
[00:03:02.280 --> 00:03:03.920]  我們神已經帶領了我們
[00:03:03.920 --> 00:03:05.920]  但是我們仍然害怕
[00:03:05.920 --> 00:03:09.120]  保羅說要我們呼叫阿爸父
[00:03:09.120 --> 00:03:12.480]  我每次想到我就高呼大聲
[00:03:12.480 --> 00:03:14.160]  阿爸父
