
[00:00:00.000 --> 00:00:01.740]  Evangelist所說第四章
[00:00:01.740 --> 00:00:05.880]  甚至我們這一年不知不覺
[00:00:05.880 --> 00:00:08.140]  我們一直在看Evangelist所說一二三章
[00:00:08.140 --> 00:00:09.480]  都連貫的
[00:00:09.480 --> 00:00:12.480]  Evangelist所說裏面一直在提醒教會
[00:00:12.480 --> 00:00:13.480]  我們是合一的
[00:00:13.480 --> 00:00:15.040]  合而為一的
[00:00:15.040 --> 00:00:15.780]  你記得嗎?
[00:00:15.780 --> 00:00:16.460]  靖姐妹
[00:00:16.460 --> 00:00:17.460]  合而為一
[00:00:17.460 --> 00:00:18.860]  你幫我看看旁邊
[00:00:18.860 --> 00:00:20.960]  我們是合而為一的
[00:00:20.960 --> 00:00:22.720]  我們是合而為一的
[00:00:22.720 --> 00:00:23.820]  我們是合而為一的
[00:00:23.820 --> 00:00:25.560]  我們也是同歸於一的
[00:00:25.560 --> 00:00:26.760]  所以不是同歸於盡
[00:00:26.760 --> 00:00:28.160]  由第一章到這裏
[00:00:28.160 --> 00:00:29.860]  都是說我們是同歸於一的
[00:00:29.860 --> 00:00:30.960]  我們是合而為一的
[00:00:30.960 --> 00:00:32.400]  這個"一"這件事
[00:00:32.400 --> 00:00:34.660]  在Evangelist所說裏面強調得很厲害
[00:00:34.660 --> 00:00:36.800]  一直在說我們是合而為一的
[00:00:36.800 --> 00:00:38.680]  甚至是在說我們的信仰裏面
[00:00:38.680 --> 00:00:39.480]  很多個"一"的
[00:00:39.480 --> 00:00:40.940]  你剛剛讀第四章就看到很多了
[00:00:40.940 --> 00:00:42.180]  不過留意只有一個"神"
[00:00:42.180 --> 00:00:43.180]  很多個"一"的
[00:00:43.180 --> 00:00:44.680]  我們一直走在一起
[00:00:44.680 --> 00:00:46.040]  到了第四章裏面
[00:00:46.040 --> 00:00:46.980]  其實本來
[00:00:46.980 --> 00:00:49.080]  剛剛我們在第四章前面
[00:00:49.080 --> 00:00:50.880]  既是一些原則
[00:00:50.880 --> 00:00:53.920]  也是在準備一些事例
[00:00:53.920 --> 00:00:55.920]  因為接著在第四章後面開始
[00:00:55.920 --> 00:00:56.760]  四五六
[00:00:56.760 --> 00:00:59.260]  就在說很多真理應用的東西
[00:00:59.260 --> 00:01:01.260]  而第四章開始是一個轉折的位置
[00:01:01.260 --> 00:01:02.820]  於是有很多的敘述
[00:01:02.820 --> 00:01:04.160]  你會發現那些經文
[00:01:04.160 --> 00:01:06.000]  好像每一節都曾經聽過
[00:01:06.000 --> 00:01:08.400]  你想想如果在教會日子長的話
[00:01:08.400 --> 00:01:09.840]  你也會聽到不少的
[00:01:09.840 --> 00:01:11.940]  又說我們既然蒙召行事為人
[00:01:11.940 --> 00:01:13.640]  又當以蒙召恩相證
[00:01:13.640 --> 00:01:16.600]  又或者說我們要竭力保守聖靈合而為一的心
[00:01:16.600 --> 00:01:17.200]  你明白嗎?
[00:01:17.200 --> 00:01:17.880]  隨口的念
[00:01:17.880 --> 00:01:19.880]  很多都是這裏來的
