
[00:00:00.000 --> 00:00:06.700]  今天要講的題目是江湖中人裡面的懷疑人生
[00:00:06.700 --> 00:00:08.900]  你會覺得很搞笑
[00:00:08.900 --> 00:00:09.900]  什麼懷疑人生呢?
[00:00:09.900 --> 00:00:12.300]  這陣子經常聽到懷疑人生這四個字
[00:00:12.300 --> 00:00:14.600]  有沒有人查過為什麼?
[00:00:14.600 --> 00:00:16.700]  不用查了
[00:00:16.700 --> 00:00:17.700]  大家知道了
[00:00:17.700 --> 00:00:19.400]  我為了要講到
[00:00:19.400 --> 00:00:21.600]  要引經據典的關係
[00:00:21.600 --> 00:00:23.900]  原來你上網打懷疑人生
[00:00:23.900 --> 00:00:26.100]  是有一個潮語字典
[00:00:26.100 --> 00:00:28.300]  是會解釋什麼叫懷疑人生的
[00:00:28.300 --> 00:00:30.300]  在2020年的6月9日
[00:00:30.300 --> 00:00:32.300]  他就有這樣的註腳
[00:00:32.300 --> 00:00:32.900]  他說
[00:00:32.900 --> 00:00:36.700]  懷疑人生是指因受到重大的打擊
[00:00:36.700 --> 00:00:41.100]  或者因為事情的發展不符合常理
[00:00:41.100 --> 00:00:44.200]  令人生觀產生巨大的改變
[00:00:44.200 --> 00:00:45.100]  認不認同?
[00:00:45.100 --> 00:00:47.200]  有些例子的
[00:00:47.200 --> 00:00:49.600]  他說原來這麼快 work from home 就結束了
[00:00:49.600 --> 00:00:51.100]  下星期要回辦公室了
[00:00:51.100 --> 00:00:53.300]  真的懷疑人生
[00:00:53.300 --> 00:00:55.100]  另一個例子就是
[00:00:55.100 --> 00:00:57.900]  生孩子真的痛到懷疑人生
[00:00:58.300 --> 00:01:00.000]  可能對於你們來說
[00:01:00.000 --> 00:01:01.000]  這一句是對的
[00:01:01.000 --> 00:01:03.400]  感覺夏天真的熱到懷疑人生
[00:01:03.400 --> 00:01:05.600]  不過已經轉眼又到了
[00:01:05.600 --> 00:01:07.300]  過了中秋還是這麼熱
[00:01:07.300 --> 00:01:08.800]  還是懷疑人生的
[00:01:08.800 --> 00:01:10.800]  早一個星期
[00:01:10.800 --> 00:01:12.300]  我們弟兄姊妹
[00:01:12.300 --> 00:01:14.200]  其實我們有兩個 Hub & Ball 的 team
[00:01:14.200 --> 00:01:16.000]  其中一個 team 就是 Michigan
[00:01:16.000 --> 00:01:17.700]  他有一句這樣寫的
[00:01:17.700 --> 00:01:19.700]  他說你們是不是開 live
[00:01:19.700 --> 00:01:24.600]  是不是看 live 聰明到懷疑人生
[00:01:24.600 --> 00:01:28.000]  話說他們應該是設定出錯了
[00:01:28.200 --> 00:01:31.400]  所以就令到整個 Hub & Ball 在 YouTube 上
[00:01:31.400 --> 00:01:34.000]  不斷翻譯
[00:01:34.000 --> 00:01:37.000]  我不知道你上班
[00:01:37.000 --> 00:01:38.700]  有沒有這個經歷
[00:01:38.700 --> 00:01:40.100]  或者有沒有這個感受
[00:01:40.100 --> 00:01:42.700]  同樣都是翻到懷疑人生
[00:01:42.700 --> 00:01:45.500]  今天要跟你說的經文
[00:01:45.500 --> 00:01:48.000]  是我很怕說的傳道說
[00:01:48.000 --> 00:01:50.400]  為什麼怕說呢
[00:01:50.400 --> 00:01:52.100]  因為很難說
[00:01:52.100 --> 00:01:53.900]  但我又很深信這段經文
[00:01:53.900 --> 00:01:55.800]  是上帝為我們預備的
[00:01:56.200 --> 00:01:58.600]  因為話說在早前
[00:01:58.600 --> 00:02:00.400]  同福有銅木靈語
[00:02:00.400 --> 00:02:01.400]  有沒有印象
[00:02:01.400 --> 00:02:02.800]  好像也有了
[00:02:02.800 --> 00:02:04.000]  有沒有三個月
[00:02:04.000 --> 00:02:04.800]  我不記得了
[00:02:04.800 --> 00:02:06.100]  大概吧
[00:02:06.100 --> 00:02:06.600]  兩三個月
[00:02:06.600 --> 00:02:08.100]  疫情剛剛開始的時候
[00:02:08.100 --> 00:02:14.400]  其實同福有一群同工輪流拍短片
[00:02:14.400 --> 00:02:15.900]  大概五分鐘左右
[00:02:15.900 --> 00:02:18.300]  說一下詩篇
[00:02:18.300 --> 00:02:19.400]  說一下箏言
[00:02:19.400 --> 00:02:20.300]  不知道有沒有說箏言
[00:02:20.300 --> 00:02:21.500]  好像詩篇和傳道書
[00:02:21.500 --> 00:02:22.300]  我有印象
[00:02:22.300 --> 00:02:25.100]  說到傳道書
[00:02:25.100 --> 00:02:28.600]  我就被assign說傳道書的第七至第九章
[00:02:28.600 --> 00:02:30.500]  我一直讀完那段經文
[00:02:30.500 --> 00:02:31.300]  我就發覺
[00:02:31.300 --> 00:02:32.700]  咦,這段厲害
[00:02:32.700 --> 00:02:35.900]  這段經文如果我有機會
[00:02:35.900 --> 00:02:38.100]  我要在這裡跟弟兄姊妹分享
[00:02:38.100 --> 00:02:41.300]  這段經文的內容是怎麼樣呢
[00:02:41.300 --> 00:02:42.200]  不如我們
[00:02:42.200 --> 00:02:43.300]  反正這次有人
[00:02:43.300 --> 00:02:45.000]  我們終於可以一起讀了
[00:02:45.000 --> 00:02:47.600]  預備,一二三
[00:02:47.600 --> 00:02:52.000]  我轉移回顧日光之下
[00:02:52.000 --> 00:02:54.600]  快跑的未必能贏
[00:02:54.800 --> 00:02:57.100]  強壯的未必戰勝
[00:02:57.100 --> 00:03:00.000]  智慧的未必得糧食
[00:03:00.000 --> 00:03:02.700]  聰明的未必得財富
[00:03:02.700 --> 00:03:06.000]  有學問的未必得人喜悅
[00:03:06.000 --> 00:03:10.300]  存在乎各人遇上的時候和機會
[00:03:10.300 --> 00:03:13.000]  人不知道自己的定期
[00:03:13.000 --> 00:03:16.600]  如被險惡的網圈住
[00:03:16.600 --> 00:03:20.200]  被羅網捉住
[00:03:20.200 --> 00:03:23.500]  禍患的時刻忽然臨到
[00:03:24.000 --> 00:03:25.800]  世人陷在其中
[00:03:25.800 --> 00:03:27.300]  也是如此
[00:03:27.300 --> 00:03:29.300]  我想只是讀完這兩節
[00:03:29.300 --> 00:03:31.500]  你都已經感受到那種
[00:03:31.500 --> 00:03:33.400]  是不是?
[00:03:33.400 --> 00:03:34.700]  我想我這個題目
[00:03:34.700 --> 00:03:36.500]  跟這段經文是配合的
[00:03:36.500 --> 00:03:39.900]  講一下傳道書
[00:03:39.900 --> 00:03:43.500]  傳道書是一本很難明白的書
[00:03:43.500 --> 00:03:44.100]  為什麼呢?
[00:03:44.100 --> 00:03:46.400]  因為它是一些所謂的智慧文學
[00:03:46.400 --> 00:03:50.000]  傳道者很刻意將事情講得很深
[00:03:50.000 --> 00:03:53.100]  好像跟你在說謎語一樣
[00:03:53.400 --> 00:03:56.400]  希望透過你解謎的過程
[00:03:56.400 --> 00:03:59.100]  你能夠領略到裡面的意思
[00:03:59.100 --> 00:04:02.200]  所以它講很多東西不是白講直講
[00:04:02.200 --> 00:04:03.900]  而是它轉了一個彎
[00:04:03.900 --> 00:04:07.500]  用一些比喻暗喻的方式告訴你
[00:04:07.500 --> 00:04:09.700]  傳道書有什麼特別
[00:04:09.700 --> 00:04:13.000]  我想大家都可能看過傳道書
[00:04:13.000 --> 00:04:14.300]  但我不知道你看不看得明白
[00:04:14.300 --> 00:04:15.900]  傳道書經常強調
[00:04:15.900 --> 00:04:17.600]  「日光之下」
[00:04:17.600 --> 00:04:20.500]  什麼「日光之下」呢?
[00:04:20.500 --> 00:04:23.200]  什麼叫「日光之下」?
[00:04:23.500 --> 00:04:31.900]  「地面上今日今世今生在地上發生的事就是日光之下」
[00:04:31.900 --> 00:04:38.000]  所以傳道書講的智慧不是處理我們死後有沒有永生
[00:04:38.000 --> 00:04:42.600]  它反而是在講我們今天在這個世上仍然活著的時候
[00:04:42.600 --> 00:04:45.500]  怎樣可以過一個有智慧的人生
[00:04:45.500 --> 00:04:51.100]  傳道書經常強調的就是人生有定時、定期
[00:04:51.100 --> 00:04:53.000]  是你猜不到
[00:04:53.200 --> 00:04:55.800]  但與此同時又講有永恆
[00:04:55.800 --> 00:04:58.500]  這些是很抽象的東西
[00:04:58.500 --> 00:05:00.000]  是很難明白的東西
[00:05:00.000 --> 00:05:03.100]  傳道書經常強調人生是虛空
[00:05:03.100 --> 00:05:05.700]  講了很久然後說人生是暴風
[00:05:05.700 --> 00:05:07.100]  It's like catching wind
[00:05:07.100 --> 00:05:09.100]  不是打風那個暴風
[00:05:09.100 --> 00:05:10.600]  是你真的想捉風
[00:05:10.600 --> 00:05:12.000]  但是捉不到
[00:05:12.000 --> 00:05:14.100]  但是一個這樣的過程
[00:05:14.100 --> 00:05:14.900]  就像什麼呢?
[00:05:14.900 --> 00:05:16.800]  就像一隻貓在追自己的尾巴
[00:05:16.800 --> 00:05:18.700]  追極都追不到
[00:05:18.700 --> 00:05:20.200]  嘮嘮一輩子
[00:05:20.200 --> 00:05:22.500]  好像只有個桔一樣
[00:05:23.000 --> 00:05:24.200]  但與此同時
[00:05:24.200 --> 00:05:27.200]  傳道書另一個很強的訊息就是在講
[00:05:27.200 --> 00:05:28.300]  「享福」
