
[00:00:00.000 --> 00:00:03.000]  我記得我第一次
[00:00:03.000 --> 00:00:06.000]  一月份的時候講過
[00:00:06.000 --> 00:00:09.000]  俗算你的人生
[00:00:09.000 --> 00:00:12.000]  有一個好笑的一個短文是這麼說
[00:00:12.000 --> 00:00:15.000]  我們零歲粉墨登場
[00:00:15.000 --> 00:00:17.000]  十歲快樂成長
[00:00:17.000 --> 00:00:19.000]  二十歲情困惑
[00:00:19.000 --> 00:00:22.000]  三十歲方向立定
[00:00:22.000 --> 00:00:25.000]  四十歲努力打拼
[00:00:25.000 --> 00:00:27.000]  五十歲回頭看看
[00:00:27.000 --> 00:00:29.000]  六十歲告老還鄉
[00:00:29.000 --> 00:00:31.000]  八十歲打打麻將
[00:00:31.000 --> 00:00:32.000]  八十歲曬曬太陽
[00:00:32.000 --> 00:00:34.000]  九十歲躺在床上
[00:00:34.000 --> 00:00:36.000]  一百歲掛在牆上
[00:00:36.000 --> 00:00:37.000]  Hallelujah
[00:00:37.000 --> 00:00:39.000]  這是我們的人生
[00:00:39.000 --> 00:00:41.000]  這是笑話這麼說
[00:00:41.000 --> 00:00:42.000]  孔老夫子說
[00:00:42.000 --> 00:00:43.000]  我們十五智學
[00:00:43.000 --> 00:00:44.000]  三十二利
[00:00:44.000 --> 00:00:45.000]  四十不惑
[00:00:45.000 --> 00:00:46.000]  五十知命
[00:00:46.000 --> 00:00:48.000]  六十花甲
[00:00:48.000 --> 00:00:50.000]  七十古來西亞
[00:00:50.000 --> 00:00:53.000]  這是我們的一生
[00:00:53.000 --> 00:00:55.000]  那麼我特別講
[00:00:55.000 --> 00:00:58.000]  如果我們有平平穩穩的一生
[00:00:58.000 --> 00:00:59.000]  好像一
[00:00:59.000 --> 00:01:01.000]  那麼今年年月
[00:01:01.000 --> 00:01:02.000]  譬如說十年
[00:01:02.000 --> 00:01:04.000]  一乘一乘十次
[00:01:04.000 --> 00:01:05.000]  還是一
[00:01:05.000 --> 00:01:07.000]  但是如果我們努力一點
[00:01:07.000 --> 00:01:08.000]  加把勁
[00:01:08.000 --> 00:01:09.000]  有一個進取的人生
[00:01:09.000 --> 00:01:11.000]  有一個努力的態度
[00:01:11.000 --> 00:01:14.000]  我們放進去一點一
[00:01:14.000 --> 00:01:16.000]  就這麼多一點點
[00:01:16.000 --> 00:01:18.000]  我們一點一乘十次
[00:01:18.000 --> 00:01:20.000]  二點八五
[00:01:20.000 --> 00:01:22.000]  你會得到這麼大的效果
[00:01:22.000 --> 00:01:24.000]  但是你如果稍微懶散一點
[00:01:24.000 --> 00:01:25.000]  偷懶一點
[00:01:25.000 --> 00:01:27.000]  你的人生是零點九
[00:01:27.000 --> 00:01:29.000]  那麼少了一點點
[00:01:29.000 --> 00:01:30.000]  乘上十次
[00:01:30.000 --> 00:01:33.000]  你變成零點三
[00:01:33.000 --> 00:01:34.000]  所以你就知道了
[00:01:34.000 --> 00:01:37.000]  我們真的要算計我們的人生
[00:01:37.000 --> 00:01:39.000]  詩篇九詩篇他說的
[00:01:39.000 --> 00:01:40.000]  求你指教
[00:01:40.000 --> 00:01:44.000]  我們怎樣數算自己的日子
[00:01:44.000 --> 00:01:46.000]  好叫我們得著智慧的心
[00:01:46.000 --> 00:01:50.000]  求你使我們早早保得你的慈愛
[00:01:50.000 --> 00:01:53.000]  好叫我們一生歡呼喜樂
[00:01:53.000 --> 00:01:55.000]  這是我們的一生
