
[00:00:00.000 --> 00:00:03.540]  「創世紀」是關於甚麼?
[00:00:03.540 --> 00:00:07.160]  「創世紀」這個字本身就叫做Beginning
[00:00:07.160 --> 00:00:09.660]  就是起初
[00:00:09.660 --> 00:00:13.400]  所以「創世紀」一開始就這樣,起初
[00:00:13.400 --> 00:00:17.600]  「創世紀」是關於某一些東西的開始
[00:00:17.600 --> 00:00:19.860]  關於四樣東西的開始
[00:00:19.860 --> 00:00:22.180]  第一,關於世界的開始
[00:00:22.180 --> 00:00:23.820]  這個世界是怎樣開始的?
[00:00:23.820 --> 00:00:26.960]  第二,在上帝創造這個世界當中
[00:00:26.960 --> 00:00:30.680]  如果你記得「創世紀」第一章,上帝創造這樣,做那樣,做那樣
[00:00:30.680 --> 00:00:35.120]  做完之後,創造的高峰是人類
[00:00:35.120 --> 00:00:38.360]  世界的開始,人類的開始
[00:00:38.360 --> 00:00:43.400]  到「創世紀」第三章,罪惡的開始
[00:00:43.400 --> 00:00:47.680]  接著,「創世紀」第十二章,救贖的開始
[00:00:47.680 --> 00:00:52.160]  你留意,我說救贖在哪裏開始的?
[00:00:52.160 --> 00:00:53.040]  十二章
[00:00:53.040 --> 00:00:56.920]  一會兒我想告訴你,為甚麼是十二章才正式開始的
[00:00:56.920 --> 00:01:01.440]  因為你看到最後的架構,你就會清楚了
[00:01:01.440 --> 00:01:04.080]  所以這只是一張介紹,只是一張圖片
[00:01:04.080 --> 00:01:07.600]  如果有人問你關於四樣東西的開始
[00:01:07.600 --> 00:01:11.600]  世界的開始,人類的開始,罪惡的開始,救贖的開始
[00:01:11.600 --> 00:01:13.680]  當然,如果你是猶太人
[00:01:13.680 --> 00:01:16.880]  你就會說阿伯拉罕是我們國家的開始
[00:01:16.880 --> 00:01:18.720]  我們猶太人的開始
[00:01:18.720 --> 00:01:24.160]  關你甚麼事?救贖是我們的,關你甚麼事?
[00:01:24.160 --> 00:01:28.080]  但是我們現在從新約的角度,是這一切的東西
[00:01:28.080 --> 00:01:31.840]  OK,我們要明白一些背景的事
[00:01:31.840 --> 00:01:34.400]  好像不容易去明白
[00:01:34.400 --> 00:01:36.000]  因為我都想跟你說多一些
[00:01:36.000 --> 00:01:41.720]  因為背後都有很多不容易掌握的東西
[00:01:41.720 --> 00:01:46.320]  第一,我們問創世紀的作者是誰
[00:01:46.320 --> 00:01:47.960]  他寫給誰
[00:01:47.960 --> 00:01:50.080]  當然我們都是對象
[00:01:50.080 --> 00:01:54.080]  但是我說起初寫的時候,對象是誰
[00:01:54.080 --> 00:01:56.800]  第三,是甚麼時代寫的
[00:01:56.800 --> 00:02:00.600]  然後我們再問,目的是甚麼
[00:02:00.600 --> 00:02:07.920]  如果你之前有來過我們創世紀的茶經
[00:02:07.920 --> 00:02:10.480]  你會聽過我講好幾次
[00:02:10.480 --> 00:02:12.320]  那我就給了你一個答案
[00:02:12.320 --> 00:02:15.640]  我說其實我們一般來說
[00:02:15.640 --> 00:02:20.600]  信主的神學家
[00:02:20.600 --> 00:02:23.040]  有很多不信主的神學家領計
[00:02:23.040 --> 00:02:27.840]  信主的神學家都會說作者是摩西
[00:02:27.840 --> 00:02:31.800]  接著摩西是帶領以色列人出埃及的時候
[00:02:31.800 --> 00:02:33.600]  他進不了迦南
[00:02:33.600 --> 00:02:38.080]  他出了埃及,在《抗日》裏面寫摩西五經
[00:02:38.080 --> 00:02:41.680]  我們通常說創出你紋身
[00:02:41.680 --> 00:02:45.320]  他寫給的對象是以色列人
[00:02:45.320 --> 00:02:50.080]  出了埃及,但是還未進入迦南的以色列人
[00:02:50.080 --> 00:02:52.920]  而這班以色列人,我先講目的
[00:02:52.920 --> 00:02:55.160]  以色列人當時有一個很大的隱憂
[00:02:55.160 --> 00:02:58.000]  就是常常都想回去埃及
