
[00:00:00.000 --> 00:00:03.160]  我們先一起祈禱
[00:00:03.160 --> 00:00:05.600]  親愛的天父,我們感謝祢的恩典
[00:00:05.600 --> 00:00:08.680]  讓我們在星期日能夠在這裡聚集
[00:00:08.680 --> 00:00:10.320]  聆聽祢的說話
[00:00:10.320 --> 00:00:12.440]  我們求聖靈在我們當中
[00:00:12.440 --> 00:00:15.440]  幫助我們明白主耶穌的說話
[00:00:15.440 --> 00:00:18.240]  也看得到主耶穌榮耀的形象
[00:00:18.240 --> 00:00:20.240]  奉耶穌基督的名祈禱
[00:00:20.240 --> 00:00:21.040]  阿們
[00:00:21.040 --> 00:00:24.800]  上兩個星期我們已經看過
[00:00:24.800 --> 00:00:28.120]  《馬太福音》第十三章裏面的比喻
[00:00:28.640 --> 00:00:32.640]  裏面所有的比喻都是有關天國的
[00:00:32.640 --> 00:00:36.280]  解賽總和面教的比喻
[00:00:36.280 --> 00:00:40.280]  就是說天國是一定會不斷擴大的
[00:00:40.280 --> 00:00:45.200]  因為天國的生命力是沒有任何東西可以阻擋得到的
[00:00:45.200 --> 00:00:48.000]  在拜祭的比喻裏面
[00:00:48.000 --> 00:00:51.040]  我們知道在教會當中
[00:00:51.040 --> 00:00:53.760]  是有魔鬼所殺的拜祭
[00:00:53.760 --> 00:00:58.040]  那些拜祭表面看起來是好像基督徒一樣
[00:00:58.440 --> 00:01:01.640]  但實際上他們會是暗中犯罪
[00:01:01.640 --> 00:01:05.920]  但主耶穌吩咐我們要做的是傳福音
[00:01:05.920 --> 00:01:07.920]  而不是去拔拔拜子
[00:01:07.920 --> 00:01:11.840]  那些拜子在主耶穌再回來的時候
[00:01:11.840 --> 00:01:14.640]  是由天使負責去拔出來的
[00:01:14.640 --> 00:01:19.360]  所以我們千萬不要在教會裡面去找拜子、拔拔拜子
[00:01:19.360 --> 00:01:24.320]  主耶穌說要讓那些拜子和好種子一起來生長
[00:01:24.320 --> 00:01:28.000]  然後還有寶藏和珍珠的比喻
[00:01:28.680 --> 00:01:34.400]  有眼光的人就會付出一切要去換取天國
[00:01:34.400 --> 00:01:37.520]  天國是不是這麼好
[00:01:37.520 --> 00:01:40.920]  值得我們付出一切去換取呢?
[00:01:40.920 --> 00:01:43.480]  在今天的經文裡面
[00:01:43.480 --> 00:01:46.520]  我們會看到一些天國的榮耀
[00:01:46.520 --> 00:01:50.920]  但在還沒看《馬太福音》第十七章之前
[00:01:50.920 --> 00:01:53.640]  或者我們要先簡單的講一講
[00:01:53.640 --> 00:01:54.960]  在第十六章
[00:01:54.960 --> 00:01:58.960]  主耶穌提到祂的身份和使命
[00:01:58.960 --> 00:02:05.000]  因為這兩件事是跟第十七章的記載有關聯的
[00:02:05.000 --> 00:02:09.320]  在第十六章十三節至十六節
[00:02:09.320 --> 00:02:14.600]  記載主耶穌帶著門徒去到凱撒利亞菲律賓境內
[00:02:14.600 --> 00:02:18.520]  那個是在加利利亞的北面
[00:02:18.520 --> 00:02:20.160]  大約二十五里的地方
[00:02:20.160 --> 00:02:23.400]  那裡不是猶太人的地區
[00:02:23.880 --> 00:02:25.560]  我相信這個時候
[00:02:25.560 --> 00:02:29.960]  主耶穌是準備要去耶路撒冷
