
[00:00:00.000 --> 00:00:03.360]  跟著後書第八章第九節,我們一同來唸來。
[00:00:03.360 --> 00:00:05.880]  你們知道我們主耶穌基督的恩典,
[00:00:05.880 --> 00:00:09.260]  祂本來富足,卻為你們成了貧窮,
[00:00:09.260 --> 00:00:12.060]  叫你們因祂的貧窮,可以成為富足。
[00:00:12.060 --> 00:00:13.180]  再讀一遍來。
[00:00:13.180 --> 00:00:15.740]  你們知道我們主耶穌基督的恩典,
[00:00:15.740 --> 00:00:18.980]  祂本來富足,卻為你們成了貧窮,
[00:00:18.980 --> 00:00:22.020]  叫你們因祂的貧窮,可以成為富足。
[00:00:22.020 --> 00:00:24.080]  我們就讀到這裡。
[00:00:24.080 --> 00:00:27.600]  很快下個禮拜就是聖誕節了。
[00:00:27.600 --> 00:00:31.840]  我們看見聖誕節真的是一個充滿歡樂的季節,
[00:00:31.840 --> 00:00:34.820]  到處充滿了美麗的燈飾,
[00:00:34.820 --> 00:00:37.920]  到處充滿了歡樂的音樂。
[00:00:37.920 --> 00:00:40.520]  你知道每一次當我想到聖誕的故事,
[00:00:40.520 --> 00:00:44.440]  都覺得那是何等奇妙的一個故事。
[00:00:44.440 --> 00:00:48.160]  這位創造宇宙萬有的真神,
[00:00:48.160 --> 00:00:50.560]  全能的主宰,
[00:00:50.560 --> 00:00:52.960]  竟然為了愛我們,
[00:00:52.960 --> 00:00:54.320]  為了拯救我們,
[00:00:54.320 --> 00:00:58.320]  從罪惡的詮釋當中釋放我們,
[00:00:58.320 --> 00:01:02.160]  祂甚至拆解祂獨生的愛子耶穌基督,
[00:01:02.160 --> 00:01:05.200]  親自來到這個世界上。
[00:01:05.200 --> 00:01:07.080]  而且耶穌基督降生的時候,
[00:01:07.080 --> 00:01:10.200]  也沒有按照我們人所以為的,
[00:01:10.200 --> 00:01:14.040]  祂總應該降生在王宮裡面吧?
[00:01:14.040 --> 00:01:16.160]  祂沒有降生在王宮裡面,
[00:01:16.160 --> 00:01:20.600]  祂卻選擇降生在馬槽裡面。
[00:01:20.600 --> 00:01:23.080]  馬槽是什麼地方?
