
[00:00:00.000 --> 00:00:04.080]  希望大家都能夠將「八福」
[00:00:04.080 --> 00:00:08.820]  有一天能夠成篇背誦上來
[00:00:08.820 --> 00:00:11.400]  我今天跟大家思想的就是
[00:00:11.400 --> 00:00:14.200]  第三節
[00:00:14.200 --> 00:00:15.100]  溫柔
[00:00:15.100 --> 00:00:16.700]  對不起,是第五節
[00:00:16.700 --> 00:00:20.000]  溫柔的人有福了
[00:00:20.000 --> 00:00:24.200]  因為他們必承受地土
[00:00:24.200 --> 00:00:27.500]  重要的就是兩個主要的詞
[00:00:27.500 --> 00:00:30.500]  一個是溫柔,一個是承受
[00:00:30.500 --> 00:00:33.300]  溫柔的人承受地土
[00:00:33.300 --> 00:00:35.300]  原來這一節的經文是在
[00:00:35.300 --> 00:00:39.300]  詩篇三十七篇十一節那裡出來的
[00:00:39.300 --> 00:00:41.300]  那裡中文聖經是說
[00:00:41.300 --> 00:00:44.700]  謙卑的人必承受地土
[00:00:44.700 --> 00:00:51.700]  其實七十是希臘文的舊約譯本
[00:00:51.700 --> 00:00:53.700]  希臘文的舊約譯本
[00:00:53.700 --> 00:01:02.700]  就用溫柔來翻譯原本希伯來文那個字
[00:01:02.700 --> 00:01:05.700]  希伯來文那個字就不是溫柔
[00:01:05.700 --> 00:01:10.700]  希伯來文那個字原來跟第一福那個福是一樣的
[00:01:10.700 --> 00:01:11.700]  是貧窮
[00:01:11.700 --> 00:01:16.700]  就是原來貧窮和溫柔是有共通的地方的
[00:01:16.700 --> 00:01:17.700]  有相通的地方
[00:01:17.700 --> 00:01:21.700]  遲一點再思考這方面
[00:01:21.700 --> 00:01:24.700]  到底當你想到溫柔的時候
[00:01:24.700 --> 00:01:26.700]  你想到什麼呢
[00:01:26.700 --> 00:01:29.700]  可能我們就想到很gentle
[00:01:29.700 --> 00:01:31.700]  很kind
[00:01:31.700 --> 00:01:33.700]  很tender
[00:01:33.700 --> 00:01:36.700]  其實英文聖經就譯這個字
[00:01:36.700 --> 00:01:38.700]  就用了一個meek
[00:01:38.700 --> 00:01:40.700]  這個meek
