
[00:00:00.000 --> 00:00:04.120]  好 歡迎大家來到我們下午的週六崇拜
[00:00:04.120 --> 00:00:07.200]  這個週末是我們教會一年一度的
[00:00:07.200 --> 00:00:10.440]  「謝恩大禮拜」就是Thanksgiving Worship
[00:00:10.440 --> 00:00:13.520]  所以在這裏我首先先和大家說一聲
[00:00:13.520 --> 00:00:15.920]  Happy Thanksgiving
[00:00:15.920 --> 00:00:17.240]  可能會有人問
[00:00:17.240 --> 00:00:20.480]  林牧師在這個時勢
[00:00:20.480 --> 00:00:24.800]  教會還去搞什麼謝恩節的崇拜
[00:00:24.800 --> 00:00:28.720]  你教會是否真的很離地呢
[00:00:28.720 --> 00:00:32.760]  我們是否應該去搞一個哀悼禁食的土告會
[00:00:32.760 --> 00:00:36.240]  這樣會不會比較合適一些呢
[00:00:36.240 --> 00:00:38.240]  如果你提出一個這樣的問題
[00:00:38.240 --> 00:00:40.280]  其實你問得非常好
[00:00:40.280 --> 00:00:44.320]  這個問題令我想起舊日聖經裏面的一本書
[00:00:44.320 --> 00:00:48.240]  有一本書叫做《哈巴谷書》
[00:00:48.240 --> 00:00:50.640]  如果你有機會看過《哈巴谷書》的時候
[00:00:50.640 --> 00:00:53.320]  你會知道《哈巴谷書》一開始的時候
[00:00:53.320 --> 00:00:55.720]  才知道哈巴谷就在哀號
[00:00:55.720 --> 00:00:58.320]  《哈巴谷書》第一章第二節這麼說
[00:00:58.320 --> 00:01:04.400]  耶和華:「我呼求你,你不應允,要到幾時呢?
[00:01:04.400 --> 00:01:09.760]  我向你呼喊暴力,你還不請救嗎?」
[00:01:09.760 --> 00:01:11.240]  《哈巴谷》一開始的時候
[00:01:11.240 --> 00:01:13.000]  他問耶和華:How long?
[00:01:13.000 --> 00:01:14.480]  還要多久?
[00:01:14.480 --> 00:01:18.480]  他說這種暴力還要多久?
[00:01:18.480 --> 00:01:20.840]  你聽起來好像覺得很應景
[00:01:20.840 --> 00:01:22.400]  很貼切
[00:01:22.400 --> 00:01:25.480]  切合香港現在的情況
[00:01:25.480 --> 00:01:29.920]  但其實這一節聖經與香港一點關係都沒有
[00:01:29.920 --> 00:01:32.360]  我沒時間和你介紹《哈巴谷書》
[00:01:32.360 --> 00:01:33.720]  但我只可以和你說
[00:01:33.720 --> 00:01:37.360]  《哈巴谷》時代所面對的暴力和黑暗
[00:01:37.360 --> 00:01:41.800]  遠遠是超越了今時今日的香港
[00:01:41.800 --> 00:01:43.800]  然而當你去讀《哈巴谷書》的時候
[00:01:43.800 --> 00:01:46.080]  去到書卷的尾聲
[00:01:46.080 --> 00:01:48.440]  你會發覺《哈巴谷》的哀歌
[00:01:48.440 --> 00:01:53.560]  是開始變成一個充滿信心的讚美
[00:01:53.560 --> 00:01:57.920]  大家都記得《哈巴谷書》最後的金句
[00:01:57.920 --> 00:02:01.320]  《哈巴谷》第三章第十七、十八節這麼說
[00:02:01.320 --> 00:02:03.480]  「雖然無花果樹不發旺
[00:02:03.480 --> 00:02:04.960]  葡萄樹不結果
[00:02:04.960 --> 00:02:07.280]  橄欖樹也不收成
[00:02:07.280 --> 00:02:09.080]  田地不出糧食
[00:02:09.080 --> 00:02:10.320]  圈中絕了羊
[00:02:10.320 --> 00:02:11.840]  棚內也沒有牛
[00:02:11.840 --> 00:02:14.880]  然而我要因耶和華歡恩
[00:02:14.880 --> 00:02:18.680]  因救我的上帝起來」
[00:02:18.680 --> 00:02:23.280]  儘管這一切都好像很黑暗
[00:02:23.280 --> 00:02:24.280]  很悲傷
[00:02:24.280 --> 00:02:30.040]  「然而我要因我的救主起來」
[00:02:30.040 --> 00:02:31.440]  我不知道你有沒有聽過
[00:02:31.440 --> 00:02:35.120]  馬丁路德的一個很出名的故事
[00:02:35.120 --> 00:02:36.320]  在很多人的眼中
[00:02:36.320 --> 00:02:38.040]  馬丁路德是教會歷史裏面
[00:02:38.040 --> 00:02:42.840]  其中一個勇敢非凡的英雄
[00:02:42.840 --> 00:02:46.080]  但是很多學者
[00:02:46.080 --> 00:02:49.760]  當他們讀馬丁路德的寫作的時候
