
[00:00:00.000 --> 00:00:05.800]  進入到十月份的時候,我將會討論的、講解的基督徒價值觀的問題。
[00:00:05.800 --> 00:00:14.000]  第一個很重要的課題,當然是工作的意義了,因爲我們大半生人用多多時間都是在工作裏面。
[00:00:14.000 --> 00:00:17.200]  究竟是工作有什麼的意義呢?
[00:00:17.200 --> 00:00:24.000]  在原本里面,"照明"這個字源自於拉丁文,就是在講呼照的意思,是一個神學的用詞。
[00:00:24.000 --> 00:00:32.000]  很奇怪的,弟兄姊妹,一瞬間講下去,你會知道,現在我們的觀念是沒有變的。
[00:00:32.000 --> 00:00:38.000]  我們在講,如果一個人願意讀神學的時候,我們就會問他,你有沒有呼照。
[00:00:38.000 --> 00:00:45.000]  但是如果一個人去做某個工作,或者去轉工的時候,我們就不會問他,你有沒有呼照。
[00:00:45.000 --> 00:00:49.000]  跟你旁邊的弟妹說一聲,你需要有呼照。
[00:00:49.000 --> 00:00:57.000]  我們有很多弟兄姊妹就覺得,花教會侍奉,做教務童工,就需要有上帝來的呼照。
[00:00:57.000 --> 00:01:05.000]  但是我做生意,或者我轉行,我轉工,最重要的是薪金工,工作時間短,近我家,那就行了。
[00:01:05.000 --> 00:01:08.000]  但是這個是一個錯誤的想法來的。
[00:01:08.000 --> 00:01:17.000]  我們看到這個呼照的意思就是指一個人,被上帝呼照,持續進行了特定的工作、任務、責任和使命。
[00:01:17.000 --> 00:01:22.000]  但是後來隨着這個時代和信仰的失落,這個原意沒有了。
[00:01:22.000 --> 00:01:31.000]  差不多這個字等同於另一個字叫做職業,是一種爲生的賺兩餐的一種觀念。
[00:01:31.000 --> 00:01:40.000]  其實相距我們現在接近600多年的兩個很重要的人物,就是馬丁路德和約翰·加爾文。
[00:01:40.000 --> 00:01:47.000]  一個是第一代的宗教改革者,如果沒有馬丁路德的話,今天你和我就不會坐在這裏這樣模式去敬拜。
[00:01:47.000 --> 00:01:58.000]  如果沒有約翰·加爾文的話,我們知道聖經如何落實在一個國家裏面,甚至影響法律,在日內亞的法律裏面,是加爾文的功勞非常之大。
[00:01:58.000 --> 00:02:11.000]  我們見到這兩個人之前是天主教,即是說在主後300多年,一直引伸到發展到1600多年的時候,
[00:02:11.000 --> 00:02:22.000]  教會慢慢慢慢形成了一種很古怪的觀念,就是在教堂裏面侍奉的神職人員,這些工作是可被羨慕的,
[00:02:22.000 --> 00:02:28.000]  而在教會以外的工作就稱爲"俗世"的工作。
[00:02:28.000 --> 00:02:32.000]  到今天仍然有這個觀念是很強的,甚至非信徒也有。
[00:02:32.000 --> 00:02:46.000]  我間中會遇到一些人問他,你最近在做什麼?他說,牧師我怎麼跟你,你是聖潔的,你在教會里面侍奉我們這些俗世打滾,滿身銅臭。
[00:02:46.000 --> 00:02:50.000]  這種觀念是完全不符合聖經的。
[00:02:50.000 --> 00:03:01.000]  當時馬丁·路德和約翰·加里文要抗衡這種錯誤的思想,馬丁·路德就提出了"信徒皆祭司"的觀念。
[00:03:01.000 --> 00:03:08.000]  凡是在浸禮班的大型節目都知道,浸信會的特色就是其中一個就是"信徒皆祭司"。
[00:03:08.000 --> 00:03:15.000]  但不要忘記"信徒皆祭司"不是浸信會創立出來的,是馬丁·路德第一個提出來的。
[00:03:15.000 --> 00:03:26.000]  什麼是"信徒皆祭司"?"信徒皆祭司"就是每一個人在神的面前都是平等的,我們的生活每一個部分,包括我們的工作,都是上帝的召命來的。
[00:03:26.000 --> 00:03:30.000]  跟你教習弟妹們一聲,你的工作都是上帝的召命來的。
[00:03:30.000 --> 00:03:34.000]  神將人安放在不同的崗位裏面去服侍他。
