
[00:00:00.000 --> 00:00:02.000]  頂姐妹絕樂去平安
[00:00:02.000 --> 00:00:07.920]  今日和大家宣講的經文來自詩篇廿四篇
[00:00:07.920 --> 00:00:10.240]  經文已經顯示在電幕上
[00:00:10.240 --> 00:00:12.240]  讓我們一同去重讀
[00:00:12.240 --> 00:00:16.160]  地和其中所充滿的
[00:00:16.160 --> 00:00:19.080]  世界和住在其間的
[00:00:19.080 --> 00:00:21.080]  都屬耶和華
[00:00:21.080 --> 00:00:24.080]  他把地建立在海上
[00:00:24.080 --> 00:00:26.880]  安定在大水之上
[00:00:26.880 --> 00:00:29.600]  誰能登耶和華的山
[00:00:29.600 --> 00:00:32.520]  誰能站在他的聖所
[00:00:32.520 --> 00:00:34.520]  就是守潔心清
[00:00:34.520 --> 00:00:36.520]  不向虛妄
[00:00:36.520 --> 00:00:39.320]  起誓不懷詭詐的人
[00:00:39.320 --> 00:00:41.800]  他別蒙耶和華賜福
[00:00:41.800 --> 00:00:45.320]  又蒙救他的神使他誠意
[00:00:45.320 --> 00:00:48.320]  這是尋求耶和華的族類
[00:00:48.320 --> 00:00:51.320]  是尋求裡面的雅閣
[00:00:51.320 --> 00:00:53.320]  眾承們啊
[00:00:53.320 --> 00:00:55.320]  你們要抬起頭來
[00:00:55.320 --> 00:00:57.320]  永久的門戶
[00:00:57.320 --> 00:00:59.320]  你們要被舉起
[00:00:59.320 --> 00:01:02.320]  那榮耀的王將要進來
[00:01:02.320 --> 00:01:04.320]  榮耀的王是誰呢?
[00:01:04.320 --> 00:01:07.320]  就是有力有能的耶和華
[00:01:07.320 --> 00:01:10.320]  在戰場上有能的耶和華
[00:01:10.320 --> 00:01:12.320]  眾承們啊
[00:01:12.320 --> 00:01:14.320]  你們要抬起頭來
[00:01:14.320 --> 00:01:16.320]  永久的門戶
[00:01:16.320 --> 00:01:18.320]  你們要把頭抬起
[00:01:18.320 --> 00:01:21.320]  那榮耀的王將要進來
[00:01:21.320 --> 00:01:23.320]  榮耀的王是誰呢?
[00:01:23.320 --> 00:01:25.320]  萬軍之耶和華
[00:01:25.320 --> 00:01:28.320]  他是榮耀的王
[00:01:28.320 --> 00:01:32.320]  這篇應該是一篇大家很熟悉的詩篇
[00:01:32.320 --> 00:01:34.320]  大家可能在祈禱會裏面
[00:01:34.320 --> 00:01:36.320]  在主日崇拜裏面
[00:01:36.320 --> 00:01:38.320]  都曾經讀過、聽過
[00:01:38.320 --> 00:01:42.320]  特別是當中的第三、第四節
