
[00:00:00.000 --> 00:00:05.620]  讀一段聖經在使徒行傳第二章第四十到四十七節
[00:00:05.620 --> 00:00:08.660]  這裡說彼得還用許多話做見證
[00:00:08.660 --> 00:00:13.400]  勸勉他們說你們當救自己脫離這彎曲的世代
[00:00:13.400 --> 00:00:15.440]  於是領受他的話就受了喜
[00:00:15.440 --> 00:00:18.480]  那一天門徒約添了三千人
[00:00:18.480 --> 00:00:20.280]  都恆心遵守使徒的教訓
[00:00:20.280 --> 00:00:22.400]  彼此交接剝柄祈禱
[00:00:22.400 --> 00:00:26.080]  眾人都懼怕使徒又行了許多騎士神蹟
[00:00:26.080 --> 00:00:29.200]  信的人都在一處反物共用
[00:00:29.200 --> 00:00:30.600]  並且賣了田產家業
[00:00:30.600 --> 00:00:32.440]  照個人所需用的分給個人
[00:00:32.440 --> 00:00:35.560]  他們天天同心合意恆切地在店裡
[00:00:35.560 --> 00:00:36.840]  且在家中剝餅
[00:00:36.840 --> 00:00:39.720]  存著歡喜誠實的心用飯
[00:00:39.720 --> 00:00:41.920]  在美神得眾名的喜愛
[00:00:41.920 --> 00:00:45.440]  主將得救的人天天加給他們
[00:00:45.440 --> 00:00:47.200]  就讀到這裡
[00:00:47.200 --> 00:00:49.560]  十四天醫治步道大會
[00:00:49.560 --> 00:00:53.000]  今天晚上就要開始了
[00:00:53.000 --> 00:00:55.640]  你們
[00:00:55.640 --> 00:00:58.640]  你有沒有感覺很興奮
[00:00:58.640 --> 00:01:01.840]  哈利路亞
[00:01:01.840 --> 00:01:04.880]  我深深相信這十四天醫治步道大會
[00:01:04.880 --> 00:01:07.920]  是我們一體可以經歷與神同在
[00:01:07.920 --> 00:01:09.680]  與神同工的機會
[00:01:09.680 --> 00:01:11.360]  你們
[00:01:11.360 --> 00:01:14.760]  你知道信仰是有兩個層面
[00:01:14.760 --> 00:01:17.480]  一個就是我的層面
[00:01:17.480 --> 00:01:19.800]  這是一個信仰的入門
[00:01:19.800 --> 00:01:21.560]  是從我的需要
[00:01:21.560 --> 00:01:24.080]  我的滿足開始
[00:01:24.080 --> 00:01:26.200]  這個層面沒有什麼不好
[00:01:26.200 --> 00:01:27.480]  因為的確今天
[00:01:27.480 --> 00:01:29.760]  我們是缺乏智慧
[00:01:29.760 --> 00:01:31.480]  缺乏力量
[00:01:31.480 --> 00:01:33.840]  我們需要求神來幫助我們
[00:01:33.840 --> 00:01:36.320]  求神來滿足我們
[00:01:36.320 --> 00:01:38.560]  但是如果我們只是停留
[00:01:38.560 --> 00:01:41.160]  在這個層次裡面的話
