
[00:00:00.000 --> 00:00:02.920]  我們今天來到神的面前
[00:00:02.920 --> 00:00:09.200]  我們一定要反省活石、靈功和祭司的一個題目
[00:00:09.200 --> 00:00:14.440]  這個石頭錯到天地開始已經存在
[00:00:14.440 --> 00:00:19.280]  以前我們石器時代的時候
[00:00:19.280 --> 00:00:22.640]  距離現在應該有幾十萬年前
[00:00:22.640 --> 00:00:28.520]  那些人已經開始懂得用石頭來做一些武器
[00:00:28.520 --> 00:00:31.920]  或者用石頭來做一些工具
[00:00:31.920 --> 00:00:34.240]  很多時候我們打架的時候
[00:00:34.240 --> 00:00:36.760]  或者去襲擊人的時候
[00:00:36.760 --> 00:00:40.680]  都在地上撿起一塊石頭就扔過去
[00:00:40.680 --> 00:00:43.880]  所以石頭是一個武器
[00:00:43.880 --> 00:00:45.360]  也是一個工具
[00:00:45.360 --> 00:00:47.400]  但也是一個建築的材料
[00:00:47.400 --> 00:00:50.040]  早期很多的建築也是用石頭去做
[00:00:50.040 --> 00:00:53.200]  石頭可以說是非常有用的
[00:00:53.200 --> 00:00:55.320]  當初我來英國的時候
[00:00:55.320 --> 00:00:57.480]  現在說的是若干年前
[00:00:57.480 --> 00:00:59.400]  我最奇怪的一件事就是
[00:00:59.400 --> 00:01:03.880]  我們的重量不是用多少磅
[00:01:03.880 --> 00:01:05.520]  英國人是比較古老的
[00:01:05.520 --> 00:01:07.160]  他們用了一個很古老的制度
[00:01:07.160 --> 00:01:08.800]  他們說有多少石頭
[00:01:08.800 --> 00:01:11.560]  一石就等於十四磅
[00:01:11.560 --> 00:01:12.720]  多少個石頭
[00:01:12.720 --> 00:01:14.960]  如果你在英國久了就經常聽到
[00:01:14.960 --> 00:01:16.600]  今天我的病人來到
[00:01:16.600 --> 00:01:18.760]  因為我是古老人
[00:01:18.760 --> 00:01:21.160]  我都不是用公斤、不是用磅的
[00:01:21.160 --> 00:01:22.920]  我是用多少石、多少磅
[00:01:22.920 --> 00:01:28.200]  以前石頭也是用來做一個導量衡的標準
[00:01:28.200 --> 00:01:30.760]  石頭似乎是死物
[00:01:30.760 --> 00:01:32.920]  但也不是一定是
[00:01:32.920 --> 00:01:36.840]  如果有養鹹水魚、珊瑚魚
[00:01:36.840 --> 00:01:38.280]  他們就知道原來一些石頭
[00:01:38.280 --> 00:01:40.240]  我們叫它「Life Rocks」
[00:01:40.240 --> 00:01:42.400]  我們可以叫它「活石」
[00:01:42.400 --> 00:01:44.080]  但其實意思就不同
[00:01:44.080 --> 00:01:48.440]  其實就是那些石頭上有很多微生物
[00:01:48.440 --> 00:01:49.680]  有很多的微菌
[00:01:49.680 --> 00:01:51.440]  對於魚是有益的微菌
[00:01:51.440 --> 00:01:54.960]  對於水的過濾、清潔很有幫助
[00:01:54.960 --> 00:01:57.360]  所以魚缸裡的鹹水魚
[00:01:57.360 --> 00:01:59.240]  如果養珊瑚的朋友就知道
[00:01:59.240 --> 00:02:03.920]  我們很多時候用很高價去買活石回來
[00:02:03.920 --> 00:02:06.040]  這些石頭為什麼這麼貴呢?
[00:02:06.040 --> 00:02:09.000]  很可能是在澳洲的大寶礁
[00:02:09.000 --> 00:02:12.160]  Great Barrier Reef那裡採礦出來
[00:02:12.160 --> 00:02:15.680]  然後就空運搭飛機過來英國
[00:02:15.680 --> 00:02:18.600]  24小時就去了我們魚缸那裡
[00:02:18.600 --> 00:02:19.720]  所以這麼貴的原因
[00:02:19.720 --> 00:02:22.440]  它比普通的石賣貴幾十倍
[00:02:22.440 --> 00:02:25.880]  所謂活石其實石頭不是活
[00:02:25.880 --> 00:02:29.040]  只不過石上有很多活的生物
[00:02:29.040 --> 00:02:30.800]  所以它叫「Life Rocks」
[00:02:30.800 --> 00:02:32.000]  不是「Living Rocks」
[00:02:32.000 --> 00:02:34.320]  不是「Living Stones」
[00:02:34.320 --> 00:02:39.080]  石頭大家知道是不可能有生命的
[00:02:39.080 --> 00:02:40.240]  英文有一句說話
[00:02:40.240 --> 00:02:42.880]  就是說「You cannot get blood from a stone」
[00:02:42.880 --> 00:02:44.160]  大家知道為什麼嗎?
[00:02:44.160 --> 00:02:47.720]  就是說你不可以在石頭那裡鑽出
[00:02:47.720 --> 00:02:49.920]  或者挖出一些血出來
[00:02:49.920 --> 00:02:50.880]  那就不可能了
[00:02:50.880 --> 00:02:52.360]  因為石是一個死物
[00:02:52.360 --> 00:02:53.640]  其實這個意思是什麼呢?
[00:02:53.640 --> 00:02:57.240]  意思就是說對一些很吝嗇、很吝嗇的人
[00:02:57.240 --> 00:02:58.680]  你就不要問他借錢了
[00:02:58.680 --> 00:03:00.720]  問他借給你或者給你了
[00:03:00.720 --> 00:03:03.560]  因為你在石頭那裡也不會鑽出血來
[00:03:03.560 --> 00:03:04.560]  就是這個意思
[00:03:04.560 --> 00:03:10.120]  但是石頭居然可以有時候變成一個活石
[00:03:10.120 --> 00:03:12.480]  是可以有水出來的
[00:03:12.480 --> 00:03:15.120]  我看回出埃及的十七章六字的時候
[00:03:15.120 --> 00:03:16.520]  大家都很熟悉了
[00:03:16.520 --> 00:03:18.880]  當以色列人在抗野的時候
[00:03:18.880 --> 00:03:21.760]  摩西擊打石頭
[00:03:21.760 --> 00:03:24.040]  從盤石裡必有水流出來
[00:03:24.040 --> 00:03:25.440]  使百姓可以喝
[00:03:25.440 --> 00:03:28.040]  這個是耶和華跟摩西說的
[00:03:28.040 --> 00:03:29.640]  叫他擊打這個盤石
[00:03:29.640 --> 00:03:32.320]  盤石就會流出水出來
[00:03:32.320 --> 00:03:35.360]  那麼百姓就可以喝水了
[00:03:35.360 --> 00:03:39.840]  原來在神的神蹟裡面
[00:03:39.840 --> 00:03:43.960]  曾經試過石頭是可以流出水出來的
[00:03:43.960 --> 00:03:47.880]  後來保羅在哥倫多前書十章一至四節
[00:03:47.880 --> 00:03:49.160]  他提醒我們
