
[00:00:00.000 --> 00:00:04.540]  好 今天呢 我們要看的是詩篇的第127篇
[00:00:04.540 --> 00:00:07.700]  我們在分享經文之前呢 我們一同來一頭禱告
[00:00:07.700 --> 00:00:13.500]  慈悲憐憫的天父 我們在你面前
[00:00:13.500 --> 00:00:17.900]  今天我們特別地求助你賜給我們平安 賜給我們智慧
[00:00:17.900 --> 00:00:21.000]  好讓我們在你的話語當中來尋見你
[00:00:21.000 --> 00:00:23.200]  也求助你引領我們下面的時間
[00:00:23.200 --> 00:00:25.800]  保守講的聽的都在你的裡面
[00:00:25.800 --> 00:00:28.300]  禱告逢耶穌基督的聖名 Amen
[00:00:30.000 --> 00:00:34.300]  我想有一段導文大家都應該非常的清楚
[00:00:34.300 --> 00:00:39.000]  很熟悉就是20世紀在美國非常著名的一位神學家
[00:00:39.000 --> 00:00:45.500]  叫尼伯爾他的導文被稱作是寧靜導文有一段
[00:00:45.500 --> 00:00:46.900]  我讀給大家聽
[00:00:46.900 --> 00:00:52.100]  他說上帝請賜我寧靜去接受我無法改變的事
[00:00:52.100 --> 00:00:56.200]  請賜我勇氣去改變我能改變的事
[00:00:56.200 --> 00:01:00.300]  並賜我智慧去分辨什麼是可以改變的
[00:01:00.300 --> 00:01:03.500]  什麼是不可以改變的
[00:01:03.500 --> 00:01:05.900]  非常明顯的他這段導文呢
[00:01:05.900 --> 00:01:10.600]  最關鍵也是最困難的地方是分辨
[00:01:10.600 --> 00:01:12.500]  分辨什麼是可以改變的
[00:01:12.500 --> 00:01:13.700]  什麼是不可以改變的
[00:01:13.700 --> 00:01:16.000]  他向神求智慧
[00:01:16.000 --> 00:01:18.300]  那今天我們看到的這首詩呢
[00:01:18.300 --> 00:01:20.700]  詩篇的第127篇呢
[00:01:20.700 --> 00:01:23.400]  就是所羅門的智慧詩啊
[00:01:23.400 --> 00:01:27.200]  所以今天我們講的是跟智慧有關
[00:01:27.200 --> 00:01:29.500]  我先看第一節和第二節
[00:01:29.500 --> 00:01:32.200]  我們請大家一起來讀好不好
[00:01:32.200 --> 00:01:33.500]  好 請
[00:01:33.500 --> 00:01:37.100]  若不是耶和華建造房屋
[00:01:37.100 --> 00:01:40.500]  建造的人就枉然勞力
[00:01:40.500 --> 00:01:43.800]  若不是耶和華看守城池
[00:01:43.800 --> 00:01:47.000]  看守的人就枉然警醒
[00:01:47.000 --> 00:01:50.900]  你們清晨早起 夜晚安歇
[00:01:50.900 --> 00:01:54.900]  吃勞碌得來的飯 本是枉然
[00:01:54.900 --> 00:01:57.500]  唯有耶和華所親愛的
[00:01:57.500 --> 00:02:01.200]  必叫他安然睡覺
[00:02:01.200 --> 00:02:06.700]  好 那你仔細看這段經文的第一節呢
[00:02:06.700 --> 00:02:09.700]  你會看到有兩個建造
[00:02:09.700 --> 00:02:14.700]  一個建造就是耶和華建造房屋
[00:02:14.700 --> 00:02:17.600]  其實後面那個就是枉然勞力
[00:02:17.600 --> 00:02:21.000]  那個勞力那個字呢是一樣一樣的跟前面
[00:02:21.000 --> 00:02:22.900]  就是建造
[00:02:22.900 --> 00:02:25.100]  所以你可以說這一句經文是
[00:02:25.100 --> 00:02:26.900]  若不是耶和華建造房屋
[00:02:26.900 --> 00:02:29.300]  建造的人就枉然建造
[00:02:29.300 --> 00:02:31.900]  後面呢一樣兩個看守
[00:02:31.900 --> 00:02:35.300]  所以警醒呢也是看守同樣樣一個字
[00:02:35.300 --> 00:02:38.000]  就是說若不是耶和華看守城池
[00:02:38.000 --> 00:02:41.600]  看守的人就枉然看守
[00:02:41.600 --> 00:02:44.100]  那這裡面呢就有兩個動詞
[00:02:44.100 --> 00:02:47.200]  建造有兩個動詞看守
[00:02:47.200 --> 00:02:49.900]  他表達了一種什麼樣的情景呢
[00:02:49.900 --> 00:02:52.700]  就人是非常努力的去建造
[00:02:52.700 --> 00:02:54.900]  非常認真的去看守
[00:02:54.900 --> 00:02:58.700]  他是一個非常勞動
[00:02:58.700 --> 00:03:01.600]  努力勞動營建的建造
[00:03:01.600 --> 00:03:03.500]  警醒看守這樣的一個畫面
[00:03:03.500 --> 00:03:05.300]  那你再看第二句呢
[00:03:05.300 --> 00:03:07.100]  第二句裡面也有動詞
[00:03:07.100 --> 00:03:09.700]  我用黃色的已經標出來了
[00:03:09.700 --> 00:03:11.800]  那你們若清晨早起
[00:03:11.800 --> 00:03:14.000]  夜晚安歇
[00:03:14.000 --> 00:03:18.900]  而且吃呢勞碌得來的飯
[00:03:18.900 --> 00:03:20.600]  本是往人
[00:03:20.600 --> 00:03:25.100]  好起早貪黑
[00:03:25.100 --> 00:03:26.100]  這是一個了
[00:03:26.100 --> 00:03:30.700]  然後後面呢就是夜晚安歇
[00:03:30.700 --> 00:03:32.600]  其實就是早晨早起
[00:03:32.600 --> 00:03:34.500]  晚上晚睡
[00:03:34.500 --> 00:03:37.100]  而且呢你還會要吃飯對不對
[00:03:37.100 --> 00:03:39.100]  人一生的勞動也要吃飯
