
[00:00:00.000 --> 00:00:25.000]  聖經問答:誰殺了哥利亞?
[00:00:25.000 --> 00:00:32.000]  上面那句最後的意思是:When you have not been to church for a while
[00:00:32.000 --> 00:00:34.000]  所以沒有回來教會很久了
[00:00:34.000 --> 00:00:38.000]  誰殺了哥利亞?
[00:00:38.000 --> 00:00:41.000]  答了COVID也有的
[00:00:41.000 --> 00:00:47.000]  不是David,是COVID
[00:00:47.000 --> 00:00:53.000]  所以你記得,沒有回來教會一段時間真的生疏了
[00:00:53.000 --> 00:00:56.000]  要感謝我們今天很多靈智會回來
[00:00:56.000 --> 00:01:00.000]  讓我們一同繼續彼此勉勵
[00:01:00.000 --> 00:01:06.000]  說到大衛的生平,我想跳過他,不說也不行
[00:01:06.000 --> 00:01:11.000]  當然要說,大衛打哥利亞
[00:01:11.000 --> 00:01:13.000]  有沒有人沒聽過這個故事?
[00:01:13.000 --> 00:01:16.000]  有沒有誰聽過這個故事?
[00:01:16.000 --> 00:01:21.000]  也不是全部,所以溫一下
[00:01:21.000 --> 00:01:24.000]  上星期跟大家說到
[00:01:24.000 --> 00:01:30.000]  讓神發揮神給你的潛能
[00:01:30.000 --> 00:01:35.000]  所以大衛真的發揮神給他的潛能
[00:01:35.000 --> 00:01:41.000]  未必一定要打仗那種潛能
[00:01:41.000 --> 00:01:43.000]  今天我們要看的題目是
[00:01:43.000 --> 00:01:48.000]  你都可以做巨人
[00:01:48.000 --> 00:01:50.000]  你想做誰?
[00:01:50.000 --> 00:01:57.000]  左邊那個還是右邊那個?
[00:01:57.000 --> 00:02:07.000]  那你都可以做巨人,究竟誰是巨人呢?
[00:02:07.000 --> 00:02:10.000]  當然我們不會做哥利亞
[00:02:10.000 --> 00:02:14.000]  但是我們可以做巨人
[00:02:14.000 --> 00:02:16.000]  為什麼呢?
[00:02:16.000 --> 00:02:19.000]  我們先溫習一下這個故事
[00:02:19.000 --> 00:02:21.000]  我們溫習一下
[00:02:21.000 --> 00:02:23.000]  用啟認方式讀,好嗎?
[00:02:23.000 --> 00:02:25.000]  我讀一節,請大家讀一節
[00:02:25.000 --> 00:02:28.000]  有些字比較深,我也要查一下字典怎麼讀
[00:02:28.000 --> 00:02:30.000]  所以讀錯不要緊
[00:02:30.000 --> 00:02:32.000]  不過我們可以學一下
[00:02:32.000 --> 00:02:34.000]  第一節請聽我讀
[00:02:34.000 --> 00:02:38.000]  菲利士人焦聚他們的軍旅,要來爭戰
[00:02:38.000 --> 00:02:39.000]  我先讀
[00:02:39.000 --> 00:02:42.000]  聚集在屬猶大的疏哥
[00:02:42.000 --> 00:02:48.000]  安營在疏哥和亞西加中間的爾忽大盟
[00:02:48.000 --> 00:02:49.000]  請讀
[00:02:49.000 --> 00:03:02.000]  菲利士人站在這邊山上
[00:03:02.000 --> 00:03:05.000]  以色列人站在那邊山上
[00:03:05.000 --> 00:03:06.000]  當中有谷
[00:03:06.000 --> 00:03:08.000]  所以我們知道
[00:03:08.000 --> 00:03:09.000]  讓我控制
[00:03:09.000 --> 00:03:13.000]  我們知道在兩邊的山上
[00:03:13.000 --> 00:03:14.000]  大家對壘
[00:03:14.000 --> 00:03:18.000]  下面的谷,大家明白谷就是下面
[00:03:18.000 --> 00:03:21.000]  所以在山上派人下來打
[00:03:21.000 --> 00:03:24.000]  大家可以想像這幅圖畫
[00:03:24.000 --> 00:03:26.000]  第四節
[00:03:26.000 --> 00:03:39.000]  綠藻零一富厚是多高?
[00:03:45.000 --> 00:03:47.000]  一藻即是一尺半
[00:03:47.000 --> 00:03:50.000]  綠藻即是多少?
[00:03:50.000 --> 00:03:51.000]  九尺
[00:03:51.000 --> 00:03:53.000]  九尺零一富厚
[00:03:53.000 --> 00:03:55.000]  一富厚大約半尺
[00:03:55.000 --> 00:03:57.000]  即是九尺半
[00:03:57.000 --> 00:03:59.000]  九尺五寸就這麼準
[00:03:59.000 --> 00:04:01.000]  九尺六寸即是九尺半
[00:04:01.000 --> 00:04:03.000]  九尺半有多高?
[00:04:03.000 --> 00:04:09.000]  NBA那些球星多數有多高?
[00:04:09.000 --> 00:04:11.000]  六尺多
[00:04:11.000 --> 00:04:14.000]  最高的那些七尺
[00:04:14.000 --> 00:04:16.000]  最多七尺一
[00:04:16.000 --> 00:04:18.000]  有沒有八尺?
[00:04:18.000 --> 00:04:20.000]  快有了
[00:04:20.000 --> 00:04:22.000]  即是人工培育那些?
[00:04:22.000 --> 00:04:27.000]  你有沒有試過走近NBA的球員?
[00:04:27.000 --> 00:04:30.000]  你發覺他真是很可怕
[00:04:30.000 --> 00:04:34.000]  如果NBA的球員走近他
[00:04:34.000 --> 00:04:37.000]  就等於我們走近NBA的球員
[00:04:37.000 --> 00:04:40.000]  如果我們走近他
[00:04:40.000 --> 00:04:42.000]  九尺半
[00:04:42.000 --> 00:04:46.000]  第五節
[00:04:46.000 --> 00:04:49.000]  頭戴銅盔身穿海甲
[00:04:49.000 --> 00:04:52.000]  甲重五千尺下立
