
[00:00:00.000 --> 00:00:03.760]  當師班一路慢慢下台的時候
[00:00:03.760 --> 00:00:05.360]  你再一次回想剛才
[00:00:05.360 --> 00:00:06.640]  不知你聽的時候
[00:00:06.640 --> 00:00:09.040]  你心裏有沒有被觸動
[00:00:09.040 --> 00:00:12.320]  我星期五觸動了很多次
[00:00:12.320 --> 00:00:14.160]  今天再聽第二次
[00:00:14.160 --> 00:00:15.360]  繼續觸動
[00:00:15.360 --> 00:00:18.800]  因為不只是一些音樂
[00:00:18.800 --> 00:00:20.320]  因為音樂的背後
[00:00:20.320 --> 00:00:24.000]  每一個歌詞都是寄予誠敬
[00:00:24.000 --> 00:00:25.840]  神的話語
[00:00:25.840 --> 00:00:28.640]  歷史裏面發生的真實的事
[00:00:28.640 --> 00:00:30.320]  歷歷在目
[00:00:30.320 --> 00:00:32.480]  好像呈現在眼前
[00:00:32.480 --> 00:00:37.360]  雖然是一個好像歌唱的一個劇目
[00:00:37.360 --> 00:00:39.040]  但裏面是有那種
[00:00:39.040 --> 00:00:43.360]  dramatic的高潮跌起
[00:00:43.360 --> 00:00:45.840]  主耶穌怎樣被人出賣
[00:00:45.840 --> 00:00:48.800]  被猶大出賣
[00:00:48.800 --> 00:00:50.720]  比拉多審他
[00:00:50.720 --> 00:00:53.600]  都找不到他有半點的罪惡
[00:00:53.600 --> 00:00:55.360]  我們這位救主耶穌
[00:00:55.360 --> 00:00:59.520]  祂是這樣全然的為我們犧牲
[00:00:59.520 --> 00:01:02.720]  所以今天我們要很感謝上帝
[00:01:02.720 --> 00:01:07.280]  讓我們有這個復活節的主日
[00:01:07.280 --> 00:01:11.440]  我在星期五晚上的壽苦節崇拜
[00:01:11.440 --> 00:01:13.760]  已經和大家分享過
[00:01:13.760 --> 00:01:16.320]  如果不是有Easter Sunday
[00:01:16.320 --> 00:01:19.120]  我們不會有Good Friday
[00:01:19.120 --> 00:01:20.720]  Friday為什麼是Good呢
[00:01:20.720 --> 00:01:24.800]  不是因為我們多了一個公眾假期
[00:01:24.800 --> 00:01:26.480]  也不是像香港人
[00:01:26.480 --> 00:01:28.720]  以為多了Easter Monday
[00:01:28.720 --> 00:01:31.200]  明天有一個逆日補假
[00:01:31.200 --> 00:01:34.160]  而是因為我們救主耶穌
[00:01:34.160 --> 00:01:38.400]  祂不同一般人那種的死
[00:01:38.400 --> 00:01:40.320]  一般人的死
[00:01:40.320 --> 00:01:42.960]  是因為我們自己的罪
[00:01:42.960 --> 00:01:45.120]  但耶穌祂的死
[00:01:45.120 --> 00:01:46.560]  不是因為祂的罪
[00:01:46.560 --> 00:01:49.120]  所以祂是完全沒有罪的
[00:01:49.120 --> 00:01:53.440]  祂的死就是有代屬性的功勞
[00:01:53.440 --> 00:01:56.880]  耶穌的復活和一般人的復活不同
[00:01:56.880 --> 00:01:58.800]  因為所有人的復活
[00:01:58.800 --> 00:02:00.880]  他們都要再死
[00:02:00.880 --> 00:02:02.320]  你從舊約看到新約
[00:02:02.320 --> 00:02:03.440]  都有人復活
[00:02:03.440 --> 00:02:05.200]  但復活完之後他就死了
[00:02:05.200 --> 00:02:07.840]  只有救主耶穌的復活
[00:02:07.840 --> 00:02:10.160]  是有盼望性的一個期待
[00:02:10.160 --> 00:02:11.680]  告訴我們
[00:02:11.680 --> 00:02:13.120]  我們信靠祂的人
[00:02:13.120 --> 00:02:15.680]  將來我們也要像主耶穌一樣
[00:02:15.680 --> 00:02:18.160]  有這個復活榮耀的身體
[00:02:18.160 --> 00:02:19.680]  是不會再死
[00:02:19.680 --> 00:02:21.600]  是永遠不死
[00:02:21.600 --> 00:02:24.880]  這種基督的死和復活
[00:02:24.880 --> 00:02:26.720]  是無與倫比的
[00:02:26.720 --> 00:02:28.320]  而新約裡
[00:02:28.320 --> 00:02:32.240]  共有十次記載了
[00:02:32.240 --> 00:02:34.800]  主復活這個事實
[00:02:34.800 --> 00:02:39.840]  我今天是專門以路加福音作為藍本
[00:02:39.840 --> 00:02:44.160]  和大家來看復活的救主
[00:02:44.160 --> 00:02:48.800]  祂和將來應許祂一定要回來的關係
[00:02:48.800 --> 00:02:53.280]  從路加福音第24章裡
[00:02:53.280 --> 00:02:56.720]  我們看到有三個很重要的經歷
[00:02:56.720 --> 00:03:00.880]  記載了主耶穌在復活之後
[00:03:00.880 --> 00:03:08.160]  祂如何與門徒顯露給他們看
[00:03:08.160 --> 00:03:13.920]  首先在路加福音24章13-35節裡
[00:03:13.920 --> 00:03:16.320]  在以馬五師的路上
[00:03:16.320 --> 00:03:19.280]  祂向兩個門徒顯現
[00:03:19.280 --> 00:03:23.280]  第二個顯現是祂向十一位使徒
[00:03:23.280 --> 00:03:26.480]  和其他人顯現
[00:03:26.480 --> 00:03:30.960]  第三是主最後的祝福和升天
[00:03:30.960 --> 00:03:34.080]  在這章聖經裡是很重要的
[00:03:34.080 --> 00:03:37.360]  讓我們看到耶穌基督
[00:03:37.360 --> 00:03:41.120]  祂如何來到我們當中
[00:03:41.120 --> 00:03:45.520]  祂復活之後如何向門徒顯現
[00:03:45.520 --> 00:03:47.120]  是有祂的原因
[00:03:47.120 --> 00:03:51.120]  基督教信仰的根基的重要性
[00:03:51.120 --> 00:03:52.560]  也是在這裡
[00:03:52.560 --> 00:03:56.160]  保羅在哥倫多前書15章14節說
[00:03:56.160 --> 00:03:58.320]  若然基督沒有復活
[00:03:58.320 --> 00:04:01.200]  我們所傳的就是謊言
[00:04:01.200 --> 00:04:04.480]  你們所信的也是謊言
[00:04:04.480 --> 00:04:07.280]  我相信不用我在這裡再強調
[00:04:07.280 --> 00:04:10.000]  如果今天耶穌基督沒有復活的話
[00:04:10.000 --> 00:04:12.720]  我們只是紀念一個已死的
[00:04:12.720 --> 00:04:16.000]  一個好像宗教的一個人物
[00:04:16.000 --> 00:04:20.400]  但是祂的一生到最後
[00:04:20.400 --> 00:04:21.840]  祂來到走上十家
[00:04:21.840 --> 00:04:23.360]  而三天後祂復活
[00:04:23.360 --> 00:04:26.000]  這是在人類歷史裡面
[00:04:26.000 --> 00:04:29.360]  可以說是轟天動地
[00:04:29.360 --> 00:04:32.160]  在路加福音24章裡面
[00:04:32.160 --> 00:04:34.800]  我要和大家探索
[00:04:34.800 --> 00:04:36.240]  在這章聖經
[00:04:36.240 --> 00:04:41.360]  耶穌有三個經歷在當中
[00:04:41.360 --> 00:04:43.600]  是和祂的復活有關係
[00:04:43.600 --> 00:04:47.920]  這三段經文記載到三組人
[00:04:47.920 --> 00:04:49.680]  都是讓我們看到
[00:04:49.680 --> 00:04:52.480]  祂的寓言
[00:04:52.480 --> 00:04:57.360]  祂的死和復活是一定應驗的
[00:04:57.360 --> 00:04:59.920]  但是為什麼那一群人
[00:04:59.920 --> 00:05:02.720]  他們對主的復活會這麼驚訝呢
[00:05:02.720 --> 00:05:04.560]  無論是那群婦女
[00:05:04.560 --> 00:05:07.920]  或者那群二萬五師路上的兩個門徒
[00:05:07.920 --> 00:05:10.080]  以及那十一個使徒
[00:05:10.080 --> 00:05:11.760]  他們好像不覺得
[00:05:11.760 --> 00:05:13.760]  耶穌真的會復活嗎
[00:05:13.760 --> 00:05:16.080]  是的 聽過耶穌說祂會復活
[00:05:16.080 --> 00:05:18.720]  但是為什麼現在耶穌真的復活的時候
