
[00:00:00.000 --> 00:00:03.740]  我們今次繼續去追溯阿巴拉罕的故事
[00:00:03.740 --> 00:00:09.360]  上兩次我們提到阿巴拉罕離開吾爾哈蘭米索不達米亞來到迦南地
[00:00:09.360 --> 00:00:10.860]  然後這裡有饑荒
[00:00:10.860 --> 00:00:14.160]  他們暫時到了埃及避難
[00:00:14.160 --> 00:00:18.080]  在那裡發生了第一次太太當是妹妹的失敗故事
[00:00:18.080 --> 00:00:20.600]  在危機中上帝用恩典來保守
[00:00:20.600 --> 00:00:23.360]  然後他們一家又回到迦南地
[00:00:23.360 --> 00:00:25.160]  阿巴拉罕的故事
[00:00:25.160 --> 00:00:28.580]  可能我們現代人看下去的時候會覺得很鬆散
[00:00:28.580 --> 00:00:31.080]  有些東西說了然後又暫時不說
[00:00:31.080 --> 00:00:33.080]  然後之後再看
[00:00:33.080 --> 00:00:35.080]  看了這麼多集你應該明白了
[00:00:35.080 --> 00:00:39.780]  聖經的編排很多時候不一定按照我們現代人
[00:00:39.780 --> 00:00:43.080]  直線、按時序、硬性的編排
[00:00:43.080 --> 00:00:47.580]  很多時候整個故事的情節會不斷向前
[00:00:47.580 --> 00:00:52.580]  但是故事的中心很多時候不一定在尾段
[00:00:52.580 --> 00:00:54.080]  而是在中間
[00:00:54.080 --> 00:00:55.320]  特別是在創世紀
[00:00:55.320 --> 00:00:59.320]  特別很多時候作者會取材一些故事
[00:00:59.320 --> 00:01:01.080]  是一對一對的記載
[00:01:01.080 --> 00:01:05.080]  構成一種三文字或是交叉的結構
[00:01:05.080 --> 00:01:07.580]  阿巴拉罕的故事主要的內容
[00:01:07.580 --> 00:01:10.580]  可以在創世紀十二至二十二章找到
[00:01:10.580 --> 00:01:12.580]  如果這樣列出來的話
[00:01:12.580 --> 00:01:14.580]  大家可能會清楚很多
[00:01:14.580 --> 00:01:18.580]  一直按著ABCDE進發
[00:01:18.580 --> 00:01:23.080]  然後在下面的一半又是影照上面
[00:01:23.080 --> 00:01:25.580]  ABCDE不過是倒轉次序
[00:01:25.580 --> 00:01:27.580]  譬如你看A
[00:01:27.580 --> 00:01:29.580]  就是哈拉的後代
[00:01:29.580 --> 00:01:30.580]  有一個是加普
[00:01:30.580 --> 00:01:33.080]  然後最後就說到阿巴拉罕的兄弟
[00:01:33.080 --> 00:01:35.080]  拿學的後代
[00:01:35.080 --> 00:01:39.080]  然後第二段就說到阿巴蘭的信心旅程
[00:01:39.080 --> 00:01:41.080]  他的啟示十二章開始
[00:01:41.080 --> 00:01:46.080]  這裡就影照他最後一次信心的旅程
[00:01:46.080 --> 00:01:48.080]  就是憲爾薩的旅程
[00:01:48.080 --> 00:01:49.580]  就是他信心的高峰
[00:01:49.580 --> 00:01:51.580]  二十二章一至十九節
[00:01:51.580 --> 00:01:55.080]  第三段就說到撒萊
[00:01:55.080 --> 00:01:57.080]  阿巴拉罕的太太
[00:01:57.080 --> 00:02:01.580]  在外邦的宮廷危機得到化解
[00:02:01.580 --> 00:02:04.580]  然後這個就相對於下面的
[00:02:04.580 --> 00:02:07.080]  另外一個又是撒拉的故事
[00:02:07.080 --> 00:02:09.580]  在外邦的宮廷裡面
[00:02:09.580 --> 00:02:14.080]  在基拉爾危機也得到化解
[00:02:14.080 --> 00:02:16.080]  所以你這樣一段一段看的時候
[00:02:16.080 --> 00:02:21.580]  你就發現原來一直邁向一個最重要的中間位的中心
[00:02:21.580 --> 00:02:25.080]  就是神和阿巴拉罕來到納約
[00:02:25.080 --> 00:02:28.080]  說完十二至二十二章
[00:02:28.080 --> 00:02:30.580]  主要的內容交代了
[00:02:30.580 --> 00:02:33.080]  然後到二十三章
[00:02:33.080 --> 00:02:36.080]  就說到阿巴拉罕買了一個墳地
[00:02:36.080 --> 00:02:38.580]  去葬他太太撒拉
[00:02:38.580 --> 00:02:40.580]  然後到二十四章
[00:02:40.580 --> 00:02:42.580]  就是為以撒來娶妻
[00:02:42.580 --> 00:02:44.580]  因為要找一個繼承人
[00:02:44.580 --> 00:02:49.580]  然後第三段最後一段就交代阿巴拉罕的逝世
