
[00:00:00.000 --> 00:00:05.880]  早晨,是否還有線上的領事們,網上的,大家好
[00:00:05.880 --> 00:00:12.620]  我不知道大家這兩三年是否習慣「執生」
[00:00:12.620 --> 00:00:16.540]  即是隨時調整和改變
[00:00:16.540 --> 00:00:22.600]  這兩天我收到不少信息,電話也好,WhatsApp也好
[00:00:22.600 --> 00:00:27.160]  因為今天下午是政主的總幹事交職禮
[00:00:27.160 --> 00:00:30.960]  我們感恩有一位比我年輕的弟兄
[00:00:30.960 --> 00:00:33.440]  年輕很多年,接近十年的弟兄
[00:00:33.440 --> 00:00:37.480]  承擔第三任總幹事的職份
[00:00:37.480 --> 00:00:42.420]  我們在教會,即是在他的帽會裏面進行聚會
[00:00:42.420 --> 00:00:46.000]  很多答應來的弟兄姊妹朋友、教牧童工
[00:00:46.000 --> 00:00:47.320]  就這兩天WhatsApp我
[00:00:47.320 --> 00:00:50.320]  我家裏有人中招,或者我自己怎樣怎樣
[00:00:50.320 --> 00:00:55.180]  基本上都是因為感染,或者身邊有人感染
[00:00:55.180 --> 00:00:57.320]  所以就不出門了
[00:00:57.320 --> 00:01:00.680]  所以這兩天到今早也收到
[00:01:00.680 --> 00:01:05.560]  還好我們也調整了,一早就預料到
[00:01:05.560 --> 00:01:09.320]  所以也有線上的同步直播
[00:01:09.320 --> 00:01:14.860]  香港人其實是很習慣改變的
[00:01:14.860 --> 00:01:17.680]  我不知道大家有沒有這樣的感覺
[00:01:17.680 --> 00:01:22.480]  你去同一間餐廳連續去一段時間之後
[00:01:22.480 --> 00:01:26.440]  你會奇怪為何他的menu是不改的
[00:01:26.440 --> 00:01:31.040]  我上次來和今次來又不同了
[00:01:31.040 --> 00:01:35.120]  都沒甚麼所謂,對我來說
[00:01:35.120 --> 00:01:39.260]  都很適應這些的改變
[00:01:39.260 --> 00:01:41.560]  但世界又不是這樣的
[00:01:41.560 --> 00:01:46.640]  我想香港很特別,大家都很習慣
[00:01:46.640 --> 00:01:49.240]  有調整有改變的
[00:01:49.240 --> 00:01:52.820]  我在美國讀書畢業回來之後
[00:01:52.820 --> 00:01:55.640]  隔兩年再回去同一個地方的時候
[00:01:55.640 --> 00:01:58.560]  突然想為何這條路沒有改變,我反而驚訝
[00:01:58.560 --> 00:02:01.640]  為何這間餐廳還沒整理呢
[00:02:01.640 --> 00:02:04.080]  反而當時我有點不習慣
[00:02:04.080 --> 00:02:07.840]  然後我發現原來是文化上的差異
[00:02:07.840 --> 00:02:09.640]  我們很習慣改變
[00:02:09.640 --> 00:02:12.640]  兩三年左右,街上有些東西就不同了
[00:02:12.640 --> 00:02:17.480]  甚至乎你會奇怪為何它沒有改變
[00:02:17.480 --> 00:02:24.120]  世界多變,特別當我們去面對今天的環境
[00:02:24.120 --> 00:02:27.040]  我不知道你會怎樣描述
[00:02:27.040 --> 00:02:33.640]  近年我比較多留意年輕人
[00:02:33.640 --> 00:02:38.200]  比較年輕的朋友所關注的媒體
[00:02:38.200 --> 00:02:41.640]  譬如我問我的同事
[00:02:41.640 --> 00:02:44.960]  年輕過我十年的同事
[00:02:44.960 --> 00:02:47.920]  「你有聽過林家謙嗎?」
[00:02:47.920 --> 00:02:49.440]  「你有聽過嗎?」
[00:02:49.440 --> 00:02:51.640]  「歌手有聽過他的歌嗎?」
[00:02:51.640 --> 00:02:52.680]  「又說不出來吧?」
[00:02:52.680 --> 00:02:54.560]  我的同事就是這樣的反應
[00:02:54.560 --> 00:02:57.520]  「有啊,我知道他唱歌的,有聽過他的歌嗎?」
[00:02:57.520 --> 00:02:59.480]  「泰森Yoshi有聽過嗎?」
[00:02:59.480 --> 00:03:01.640]  「他的名字好像有聽過,有聽過嗎?」
[00:03:01.640 --> 00:03:04.040]  「不知道,他是香港人來的」
[00:03:04.040 --> 00:03:07.240]  這些其實是我們很多的變化
[00:03:07.240 --> 00:03:10.000]  而他們那一代我留意一下
[00:03:10.000 --> 00:03:13.120]  這兩三年出現的一些流行曲
[00:03:13.120 --> 00:03:15.520]  很多時候都表達的不是
[00:03:15.520 --> 00:03:20.400]  以前那些歌是講情情愛愛那些為主
[00:03:20.400 --> 00:03:23.560]  現在都有,不過更加多是講甚麼呢
[00:03:23.560 --> 00:03:25.000]  多了一點
[00:03:25.000 --> 00:03:27.760]  世界變得更壞
[00:03:27.760 --> 00:03:29.280]  你怎樣呢?
[00:03:29.280 --> 00:03:32.440]  世界再變,有甚麼是不變的呢?
[00:03:32.440 --> 00:03:35.120]  又或者留在這裏的人
[00:03:35.120 --> 00:03:37.400]  我們要怎樣面對呢?
[00:03:37.400 --> 00:03:40.520]  原來他們那一輩
[00:03:40.520 --> 00:03:44.640]  我不知道哪一輩,總之就是比較
[00:03:44.640 --> 00:03:47.000]  現在流行在年輕人
[00:03:47.000 --> 00:03:52.000]  或者是三十歲職場裏面的朋友
