
[00:00:00.000 --> 00:00:04.000]  剛才周谷成執事都提醒我們
[00:00:04.000 --> 00:00:10.000]  今日的訊息和上個主日的訊息是相連的
[00:00:10.000 --> 00:00:14.000]  所以是有第一講和第二講
[00:00:14.000 --> 00:00:16.000]  我們的主題是什麼呢?
[00:00:16.000 --> 00:00:21.000]  主題就是敬愛上帝
[00:00:21.000 --> 00:00:25.000]  敬愛上帝是一個簡稱
[00:00:25.000 --> 00:00:32.000]  因為完整的來講是敬畏上帝加愛上帝
[00:00:32.000 --> 00:00:41.000]  敬畏神、愛神加上就是敬愛神或敬愛上帝
[00:00:41.000 --> 00:00:44.000]  我相信弟兄姊妹都記得上個主日
[00:00:44.000 --> 00:00:48.000]  重點是在敬畏神那方面
[00:00:48.000 --> 00:00:52.000]  講到我們需要尊崇神的主權
[00:00:52.000 --> 00:00:55.000]  我們要當神有道
[00:00:55.000 --> 00:00:58.000]  祂是掌管我們
[00:00:58.000 --> 00:01:01.000]  我們要遠離惡事
[00:01:01.000 --> 00:01:05.000]  我們要對祂有信靠和信服
[00:01:05.000 --> 00:01:07.000]  因為一個敬畏神的人
[00:01:07.000 --> 00:01:15.000]  就會自然衍生了信靠和信服的心態
[00:01:15.000 --> 00:01:21.000]  所以是一個三合一或鐵三角的表達
[00:01:21.000 --> 00:01:25.000]  這個是上個主日我們強調的
[00:01:25.000 --> 00:01:27.000]  今個主日大家都知道
[00:01:27.000 --> 00:01:32.000]  我們所重點的是放在第二方面
[00:01:32.000 --> 00:01:37.000]  愛上帝、愛神
[00:01:37.000 --> 00:01:39.000]  當講到愛神的時候
[00:01:39.000 --> 00:01:43.000]  很自然我們就想起一些感情
[00:01:43.000 --> 00:01:47.000]  情感、溫馨的一種表達
[00:01:47.000 --> 00:01:51.000]  原來在我們信仰裡真的需要有這種
[00:01:51.000 --> 00:01:53.000]  人間的經驗
[00:01:53.000 --> 00:01:56.000]  我們不單去敬愛我們的父母親
[00:01:56.000 --> 00:01:58.000]  我們都會怎樣?
[00:01:58.000 --> 00:01:59.000]  應該這樣說
[00:01:59.000 --> 00:02:01.000]  我們不單是尊敬我們的父母親
[00:02:01.000 --> 00:02:05.000]  我們都會愛他們
[00:02:05.000 --> 00:02:07.000]  所以我們對神都是這樣
[00:02:07.000 --> 00:02:10.000]  我們不單去敬畏祂、信靠祂、信服祂
[00:02:10.000 --> 00:02:12.000]  還有一個很重要的
[00:02:12.000 --> 00:02:18.000]  就是我們需要去愛祂、愛我們的神
[00:02:18.000 --> 00:02:21.000]  我們就會想為什麼要這樣做呢?
[00:02:21.000 --> 00:02:24.000]  是不是神的吩咐
[00:02:24.000 --> 00:02:26.000]  我們的信仰是這樣的要求呢?
[00:02:26.000 --> 00:02:29.000]  這是真實的
[00:02:29.000 --> 00:02:31.000]  因為剛才我們都看到了
[00:02:31.000 --> 00:02:34.000]  讀聖經《馬可福音》第十二章
[00:02:34.000 --> 00:02:38.000]  第二十八至三十節是很清楚地講的
[00:02:38.000 --> 00:02:44.000]  如果我們沒有主觀地去強解聖經的話
[00:02:44.000 --> 00:02:49.000]  你會看到整段的經文就是告訴我們
