
[00:00:00.000 --> 00:00:01.320]  好,感謝神
[00:00:01.320 --> 00:00:05.040]  講這個傳道師,不知不覺
[00:00:05.040 --> 00:00:08.120]  剛剛已經講了一半了
[00:00:08.120 --> 00:00:13.520]  今天是講第七章
[00:00:13.520 --> 00:00:19.040]  傳道者他在前面那幾章
[00:00:19.040 --> 00:00:22.320]  特別在四、五、六章裏面
[00:00:22.320 --> 00:00:26.860]  他講述各種的人生遭遇
[00:00:26.860 --> 00:00:29.640]  是人不可以控制得到的
[00:00:30.900 --> 00:00:34.800]  現在在第七章他開始轉換話題
[00:00:34.800 --> 00:00:38.000]  講述前面曾經提及過的
[00:00:38.000 --> 00:00:40.740]  一些基本的價值觀點
[00:00:40.740 --> 00:00:44.060]  他這次是講
[00:00:44.060 --> 00:00:48.520]  怎樣才可以活得更好呢
[00:00:48.520 --> 00:00:53.400]  怎樣才可以活得更好
[00:00:53.400 --> 00:00:58.180]  他在這裏透過
[00:00:58.480 --> 00:01:02.120]  智慧和愚昧的各種比較
[00:01:02.120 --> 00:01:05.220]  來去證明
[00:01:05.220 --> 00:01:09.280]  智慧的確比愚昧優勝
[00:01:09.280 --> 00:01:12.880]  他在前面的經文曾經提及過
[00:01:12.880 --> 00:01:18.700]  但是單單擁有智慧
[00:01:18.700 --> 00:01:25.680]  就不是一定能夠保證有幸福快樂的生活
[00:01:25.680 --> 00:01:29.980]  必須還要加上信靠神的心
[00:01:29.980 --> 00:01:34.280]  只是智慧不夠
[00:01:34.280 --> 00:01:37.780]  必須還要加上有敬畏神的心
[00:01:37.780 --> 00:01:40.780]  這樣才可以保證
[00:01:40.780 --> 00:01:43.500]  能夠過一個幸福快樂的生活
[00:01:43.500 --> 00:01:47.120]  今天我要跟大家講的訊息就是
[00:01:47.120 --> 00:01:51.360]  智慧的人生是一個選擇
[00:01:53.280 --> 00:01:56.900]  信靠神更加是一個選擇
[00:01:56.900 --> 00:02:03.500]  今天我定這個講題
[00:02:03.500 --> 00:02:05.880]  其實是很有意思的
[00:02:05.880 --> 00:02:07.880]  所以我要解釋一下
[00:02:07.880 --> 00:02:10.200]  講題是
[00:02:10.200 --> 00:02:14.580]  智慧、愚昧一念之差
[00:02:14.580 --> 00:02:18.020]  亨通患難兩樣並列
[00:02:18.020 --> 00:02:23.040]  聖經裏面所講的智慧和愚昧
[00:02:23.040 --> 00:02:25.540]  不是我們世人一般所講的
[00:02:25.540 --> 00:02:27.760]  所謂IQ高低的問題
[00:02:27.760 --> 00:02:30.040]  而是指
[00:02:30.040 --> 00:02:34.540]  肯不肯按神的心意來生活
[00:02:34.540 --> 00:02:37.640]  肯就是有智慧
[00:02:37.640 --> 00:02:39.840]  不肯就是愚昧
[00:02:39.840 --> 00:02:45.440]  亨通與患難是指人生的遭遇
[00:02:45.440 --> 00:02:48.140]  有時候會很順利
[00:02:48.140 --> 00:02:50.740]  有時候會多災多難
[00:02:52.740 --> 00:02:56.540]  這些遭遇是不由我們人去選擇的
