
[00:00:00.000 --> 00:00:03.280]  師妹平安 聖誕節快樂
[00:00:03.280 --> 00:00:08.280]  當我們在看這段經文的時候
[00:00:08.280 --> 00:00:11.560]  一個很獨特的處境
[00:00:11.560 --> 00:00:16.760]  這個處境是講述一群牧羊人
[00:00:16.760 --> 00:00:22.480]  在百里行的野地裡牧羊的時候
[00:00:22.480 --> 00:00:26.480]  一件不可思議的事就發生
[00:00:27.960 --> 00:00:30.400]  這件不可思議的事發生的時候
[00:00:30.400 --> 00:00:33.480]  是突然間有強光
[00:00:33.480 --> 00:00:36.760]  突然間有天使的聲音
[00:00:36.760 --> 00:00:42.920]  給他們一個很震驚的情況和處境
[00:00:42.920 --> 00:00:44.640]  這個訊息是什麼呢
[00:00:44.640 --> 00:00:48.040]  這個訊息解開的時候
[00:00:48.040 --> 00:00:51.880]  原來在講述一個微塞亞的盼望
[00:00:51.880 --> 00:00:53.960]  就是要在當下那一刻
[00:00:53.960 --> 00:00:56.520]  要直著這一群牧羊人
[00:00:56.840 --> 00:01:00.160]  一群很基層的人去傳開這個訊息
[00:01:00.160 --> 00:01:02.320]  在那一夜
[00:01:02.320 --> 00:01:07.280]  這群牧羊人好像往常的日子一樣
[00:01:07.280 --> 00:01:09.960]  在野地上放羊
[00:01:09.960 --> 00:01:13.600]  就收到這個絕密的訊息
[00:01:13.600 --> 00:01:15.680]  在這個訊息裡面
[00:01:15.680 --> 00:01:19.320]  其實就是猶太人他們長久以來
[00:01:19.320 --> 00:01:21.560]  很多年以來
[00:01:21.560 --> 00:01:24.520]  他們一個普遍而很迫切的渴求
[00:01:24.520 --> 00:01:25.560]  一個盼望
[00:01:26.040 --> 00:01:29.200]  這個盼望就是希望有一位救世主
[00:01:29.200 --> 00:01:30.520]  一個微塞亞
[00:01:30.520 --> 00:01:35.680]  要從他們在一個強權壓制下得著釋放
[00:01:35.680 --> 00:01:37.880]  希望得著自由
[00:01:37.880 --> 00:01:42.960]  微塞亞的盼望本來就是一個拯救的盼望
[00:01:42.960 --> 00:01:44.080]  一個渴求
[00:01:44.080 --> 00:01:47.960]  思想期盼了很久
[00:01:47.960 --> 00:01:49.360]  什麼時候來到呢
[00:01:49.360 --> 00:01:51.000]  沒有人能夠知道
[00:01:51.000 --> 00:01:54.440]  在一個等候的時候
[00:01:55.920 --> 00:01:58.200]  沒有任何徵兆的時間
[00:01:58.200 --> 00:02:00.000]  消息就來了
[00:02:00.000 --> 00:02:06.480]  就先從這一群在野地上牧羊的牧羊人開始
[00:02:06.480 --> 00:02:12.000]  牧羊人在當時社會都是一群很基層的人
[00:02:12.000 --> 00:02:14.960]  他們在這個不尋常的晚上
[00:02:14.960 --> 00:02:17.760]  就收到這個消息
[00:02:17.760 --> 00:02:22.160]  這一群基層的人他們要晚上去鄰耕
[00:02:23.880 --> 00:02:27.200]  通常鄰耕去做那些工作都是很辛苦的
[00:02:27.200 --> 00:02:32.760]  在一些寒冷的晚上又會很大風
[00:02:32.760 --> 00:02:35.320]  還要捱耕底野
[00:02:35.320 --> 00:02:43.560]  通常晚上還要去抵抗晚上很想睡覺的處境
[00:02:43.560 --> 00:02:45.480]  看著這件事
[00:02:45.480 --> 00:02:49.480]  防止一些野獸去侵襲
[00:02:49.480 --> 00:02:53.360]  突然間主的使者
[00:02:54.200 --> 00:02:55.000]  就來到
[00:02:55.000 --> 00:02:57.280]  突然間站在他們旁邊
[00:02:57.280 --> 00:02:59.960]  突然間榮光照著
[00:02:59.960 --> 00:03:02.520]  看節目有沒有這樣的經驗
[00:03:02.520 --> 00:03:06.040]  沒有 通常上台如果燈光很強
[00:03:06.040 --> 00:03:06.960]  下面很黑
[00:03:06.960 --> 00:03:10.080]  照著有些不自在
[00:03:10.080 --> 00:03:11.720]  四周圍的環境
[00:03:11.720 --> 00:03:13.640]  如果只是你光
[00:03:13.640 --> 00:03:15.080]  下面黑的時候
[00:03:15.080 --> 00:03:17.680]  你看不到四周圍的環境
[00:03:17.680 --> 00:03:18.560]  照著
[00:03:20.520 --> 00:03:24.480]  天使在這裡給他們一個訊息
[00:03:24.480 --> 00:03:26.600]  站在他們旁邊
[00:03:26.600 --> 00:03:29.720]  天使對一群牧羊人說
[00:03:29.720 --> 00:03:31.840]  你們不要懼怕
[00:03:31.840 --> 00:03:35.280]  給你們一個大喜的訊息
[00:03:35.280 --> 00:03:37.200]  是關乎萬民的
[00:03:37.200 --> 00:03:38.760]  等於姐妹
[00:03:38.760 --> 00:03:43.920]  在這個情景裏面那種反差是很大
[00:03:43.920 --> 00:03:47.680]  地點在白梨衡的野地
[00:03:48.040 --> 00:03:50.520]  這一群牧羊人在守夜更
[00:03:50.520 --> 00:03:55.720]  微塞亞的秘密盼望的消息來到
[00:03:55.720 --> 00:03:59.520]  晚上的時候有強光
[00:03:59.520 --> 00:04:00.800]  有天使來
[00:04:00.800 --> 00:04:03.840]  他們眼所見耳所聽
[00:04:03.840 --> 00:04:06.240]  心卻是怕
[00:04:06.240 --> 00:04:08.280]  因為等於姐妹
[00:04:08.280 --> 00:04:09.320]  我們可以想像得到
