
[00:00:00.000 --> 00:00:05.000]  今天我都要跟各位來分享
[00:00:05.000 --> 00:00:08.000]  其中一些最困難的地方
[00:00:08.000 --> 00:00:13.000]  就是當我們來看到創世紀的記載的時間
[00:00:13.000 --> 00:00:16.000]  實在很多很多的記載
[00:00:16.000 --> 00:00:19.000]  對一個無神論的人出來
[00:00:19.000 --> 00:00:23.000]  或者是信佛的 其他的
[00:00:23.000 --> 00:00:27.000]  你都發現是非常困難跟他們來分享的
[00:00:27.000 --> 00:00:30.000]  當我們分享到有關洪水的問題
[00:00:30.000 --> 00:00:32.000]  有關創天造地的問題
[00:00:32.000 --> 00:00:34.000]  有關人的墮落的問題
[00:00:34.000 --> 00:00:37.000]  除了笑話以外
[00:00:37.000 --> 00:00:42.000]  其他的東西都非常難說服他們來相信
[00:00:42.000 --> 00:00:47.000]  但是我非常感恩
[00:00:47.000 --> 00:00:50.000]  當我在查到創世紀
[00:00:50.000 --> 00:00:55.000]  特別來看到以色列的起源的時間
[00:00:55.000 --> 00:00:59.000]  神突然之間就開了我一個心竅
[00:00:59.000 --> 00:01:03.000]  這個心竅讓我就從那個地方開始
[00:01:03.000 --> 00:01:07.000]  感覺到有一個可能性
[00:01:07.000 --> 00:01:11.000]  然後跟着下來很認真來查考聖經
[00:01:11.000 --> 00:01:15.000]  那到底這個聖經這個可能性從什麼地方來呢?
[00:01:15.000 --> 00:01:18.000]  當時有人挑戰我
[00:01:18.000 --> 00:01:24.000]  你們知道現在
[00:01:24.000 --> 00:01:28.000]  有一半的人以上
[00:01:28.000 --> 00:01:33.000]  都是經歷到也相信
[00:01:33.000 --> 00:01:37.000]  有關以色列的起源
[00:01:37.000 --> 00:01:40.000]  有關今天整個的世界
[00:01:40.000 --> 00:01:42.000]  阿拉伯的國家 回教的國家
[00:01:42.000 --> 00:01:45.000]  跟以色列之間的那個關係
[00:01:45.000 --> 00:01:48.000]  我當時不太懂
[00:01:48.000 --> 00:01:52.000]  跟着下來他們就打開聖經
[00:01:52.000 --> 00:01:58.000]  講到以色列與以撒之間的出生
[00:01:58.000 --> 00:02:01.000]  跟着下來就講到
[00:02:01.000 --> 00:02:04.000]  三千五百多年前的預言
[00:02:04.000 --> 00:02:09.000]  預言到亞伯拉罕要成爲一個珍貴之父
[00:02:09.000 --> 00:02:12.000]  而且成爲多國之父
[00:02:12.000 --> 00:02:15.000]  我當時非常驚訝的
[00:02:15.000 --> 00:02:18.000]  原來全個世界不光是以色列
[00:02:18.000 --> 00:02:21.000]  把這個看成是他們的歷史
[00:02:21.000 --> 00:02:24.000]  整個世界有四分之一的人
[00:02:24.000 --> 00:02:26.000]  是天主教 基督教這些的人
[00:02:26.000 --> 00:02:29.000]  他們也相信這是一個歷史
[00:02:29.000 --> 00:02:31.000]  那另外一方面呢
[00:02:31.000 --> 00:02:35.000]  連回教徒也是整個世界的四分之一的人
[00:02:35.000 --> 00:02:38.000]  也相信這個是一個歷史來的
[00:02:38.000 --> 00:02:40.000]  換句話說
[00:02:40.000 --> 00:02:43.000]  今天這個世界有一半的人口
[00:02:43.000 --> 00:02:47.000]  相信這個是人類的歷史
[00:02:47.000 --> 00:02:51.000]  以色列的歷史 各方面的歷史
[00:02:51.000 --> 00:02:55.000]  我當時都有機會跟這些中東的人
[00:02:55.000 --> 00:02:58.000]  有機會跟天主教的人
[00:02:58.000 --> 00:03:01.000]  有機會跟基督徒來探討這個問題
[00:03:01.000 --> 00:03:05.000]  但有一樣的事情我是無法抗拒的
[00:03:05.000 --> 00:03:09.000]  就是舊約的聖經是寫於那麼早之前
[00:03:09.000 --> 00:03:12.000]  很明顯那個是預言
[00:03:12.000 --> 00:03:15.000]  亞伯拉罕已經七十五歲了
[00:03:15.000 --> 00:03:18.000]  當時神就給他這樣的一個應許
[00:03:18.000 --> 00:03:20.000]  到八十六 八十五歲
[00:03:20.000 --> 00:03:22.000]  這個應許還沒有實現
[00:03:22.000 --> 00:03:24.000]  因爲他連一個兒子都沒有
[00:03:24.000 --> 00:03:26.000]  神再一次來跟他強調
[00:03:26.000 --> 00:03:28.000]  這個一定要應驗的
[00:03:28.000 --> 00:03:32.000]  那結果亞伯拉罕要收養一個
[00:03:32.000 --> 00:03:36.000]  神說這人絕不能成爲你的後裔
[00:03:36.000 --> 00:03:37.000]  跟他下來
[00:03:37.000 --> 00:03:40.000]  他就跟那個侍女下架
[00:03:40.000 --> 00:03:41.000]  生了一個
[00:03:41.000 --> 00:03:43.000]  神又對他說
[00:03:43.000 --> 00:03:48.000]  我對伊斯瑪利會有我對他的祝福
[00:03:48.000 --> 00:03:52.000]  他將要成爲十二個族的族長
[00:03:52.000 --> 00:03:54.000]  他的國要成爲大國
[00:03:54.000 --> 00:03:56.000]  而且成爲很多的國
[00:03:56.000 --> 00:04:01.000]  但是你跟撒拉還是要生一個
[00:04:01.000 --> 00:04:05.000]  成爲一國的祖宗
[00:04:05.000 --> 00:04:06.000]  因爲這個緣故
[00:04:06.000 --> 00:04:08.000]  當我們看這個預言的時候
[00:04:08.000 --> 00:04:10.000]  是沒有轉彎的餘地的
[00:04:10.000 --> 00:04:13.000]  就是按照這個旨意來的應驗
[00:04:13.000 --> 00:04:15.000]  實實在在的
[00:04:15.000 --> 00:04:17.000]  到亞伯拉罕的一百歲的時間
[00:04:17.000 --> 00:04:20.000]  他才生第一個的兒子
[00:04:20.000 --> 00:04:22.000]  這個對以色列人來講
[00:04:22.000 --> 00:04:24.000]  對回教徒來講
[00:04:24.000 --> 00:04:26.000]  他們都相信的
[00:04:26.000 --> 00:04:28.000]  對今天一般的人
[00:04:28.000 --> 00:04:29.000]  他們都相信的
[00:04:29.000 --> 00:04:31.000]  原因在哪裏
[00:04:31.000 --> 00:04:35.000]  因爲這是一個有目共睹的事實
[00:04:35.000 --> 00:04:36.000]  另外一方面
[00:04:36.000 --> 00:04:38.000]  對以色列的福國
[00:04:38.000 --> 00:04:41.000]  這是一個非常清楚的歷史的事實
[00:04:41.000 --> 00:04:47.000]  在祖前的五百八十多年預言
[00:04:47.000 --> 00:04:50.000]  離開現在已經兩千五百年的預言
[00:04:50.000 --> 00:04:52.000]  以色列要亡國
[00:04:52.000 --> 00:04:53.000]  亡國之後
[00:04:53.000 --> 00:04:55.000]  神要給這個亡國的國家
[00:04:55.000 --> 00:04:58.000]  再一次來的復興起來
[00:04:58.000 --> 00:05:01.000]  這個無論我們信也好
[00:05:01.000 --> 00:05:03.000]  不信也好
