
[00:00:00.000 --> 00:00:02.000]  兄弟姊妹早安
[00:00:02.000 --> 00:00:04.000]  你們好
[00:00:04.000 --> 00:00:08.000]  今天和大家分享一段經文
[00:00:08.000 --> 00:00:10.000]  剛才黎帝卿也讀了給我們聽
[00:00:10.000 --> 00:00:14.000]  在馬太福音第22章
[00:00:14.000 --> 00:00:16.000]  34至46節
[00:00:16.000 --> 00:00:18.000]  給了大家一個題目
[00:00:18.000 --> 00:00:27.000]  叫做一條合理的問題
[00:00:27.000 --> 00:00:29.000]  剛才你聽這段經文的時候
[00:00:29.000 --> 00:00:31.000]  你也發覺到當中
[00:00:31.000 --> 00:00:33.000]  這一班法利賽人
[00:00:33.000 --> 00:00:35.000]  問了耶穌一條問題
[00:00:35.000 --> 00:00:37.000]  那條問題是什麼?
[00:00:37.000 --> 00:00:43.000]  記不記得那條問題是什麼?
[00:00:43.000 --> 00:00:53.000]  誡命當中哪條最大?
[00:00:53.000 --> 00:00:56.000]  這條問題其實很合理
[00:00:56.000 --> 00:00:58.000]  為什麼很合理呢?
[00:00:58.000 --> 00:01:00.000]  因為在當時
[00:01:00.000 --> 00:01:13.000]  這條問題其實在當時
[00:01:13.000 --> 00:01:16.000]  這班法利賽人問是很合理的
[00:01:16.000 --> 00:01:19.000]  很合理就是很有理由去問這條問題
[00:01:19.000 --> 00:01:20.000]  為什麼呢?
[00:01:20.000 --> 00:01:22.000]  如果大家知道法利賽人他們的背景
[00:01:22.000 --> 00:01:26.000]  在猶太人當時的宗教傳統背景裡面
[00:01:26.000 --> 00:01:29.000]  他們按照摩西的律法
[00:01:29.000 --> 00:01:33.000]  摩西的律法是什麼律法呢?
[00:01:33.000 --> 00:01:35.000]  主要是十誡
[00:01:35.000 --> 00:01:37.000]  大家聽過十誡嗎?
[00:01:37.000 --> 00:01:38.000]  十條誡命
[00:01:38.000 --> 00:01:43.000]  他們按照當時摩西這十條誡命的演繹
[00:01:43.000 --> 00:01:49.000]  去解釋和將這十條誡命實踐出來的時候
[00:01:49.000 --> 00:01:56.000]  演變一共有613條誡命
[00:01:56.000 --> 00:01:58.000]  在猶太人當時來說
[00:01:58.000 --> 00:02:00.000]  這班法利賽人宗教領袖
[00:02:00.000 --> 00:02:02.000]  和當時這班猶太人說
[00:02:02.000 --> 00:02:06.000]  你們要守613條誡命
[00:02:06.000 --> 00:02:10.000]  那十誡怎麼會演變成613條呢?
[00:02:10.000 --> 00:02:12.000]  他們認為
[00:02:12.000 --> 00:02:13.000]  猶太人認為
[00:02:13.000 --> 00:02:17.000]  這613條這個數字怎麼來呢?
[00:02:17.000 --> 00:02:21.000]  365加248
[00:02:21.000 --> 00:02:23.000]  365是什麼呢?
[00:02:23.000 --> 00:02:25.000]  大家會想到365是什麼呢?
[00:02:25.000 --> 00:02:28.000]  一年有365天
[00:02:28.000 --> 00:02:29.000]  即是說
[00:02:29.000 --> 00:02:31.000]  猶太人認為摩西這十誡
[00:02:31.000 --> 00:02:33.000]  我們去守它實踐出來的時候
[00:02:33.000 --> 00:02:34.000]  我們要很小心
[00:02:34.000 --> 00:02:36.000]  如果我們犯了規的時候
[00:02:36.000 --> 00:02:38.000]  就會被神懲罰
[00:02:38.000 --> 00:02:39.000]  當然
[00:02:39.000 --> 00:02:42.000]  他們是很著重這件事的
[00:02:42.000 --> 00:02:44.000]  不想再被神懲罰
[00:02:44.000 --> 00:02:47.000]  在他們猶太人歷史的過程當中
[00:02:47.000 --> 00:02:50.000]  他們已經經歷了什麼呢?
[00:02:50.000 --> 00:02:52.000]  被滅亡
[00:02:52.000 --> 00:02:53.000]  即是亡國
[00:02:53.000 --> 00:02:55.000]  聖殿被毀
[00:02:55.000 --> 00:02:57.000]  而聖殿被毀被亡國
[00:02:57.000 --> 00:02:59.000]  歸根究底他們會認為
[00:02:59.000 --> 00:03:01.000]  就是神對他們的懲罰
[00:03:01.000 --> 00:03:02.000]  為什麼對他們的懲罰
[00:03:02.000 --> 00:03:04.000]  因為他們沒有守誡命
[00:03:04.000 --> 00:03:06.000]  因為他們沒有去敬拜
[00:03:06.000 --> 00:03:08.000]  真的去讀敬拜神
[00:03:08.000 --> 00:03:12.000]  所以他們不想再在他們的民族歷史下去的時候
[00:03:12.000 --> 00:03:13.000]  會受到神的懲罰的時候
[00:03:13.000 --> 00:03:15.000]  他們很謹慎
[00:03:15.000 --> 00:03:18.000]  就出了613條的誡命
[00:03:18.000 --> 00:03:19.000]  365天
[00:03:19.000 --> 00:03:20.000]  有365天
[00:03:20.000 --> 00:03:22.000]  他們認為這些要守的就是
[00:03:22.000 --> 00:03:23.000]  要小心
[00:03:23.000 --> 00:03:24.000]  不要得罪神
[00:03:24.000 --> 00:03:26.000]  是比較負面的
[00:03:26.000 --> 00:03:27.000]  就是不要做這些
[00:03:27.000 --> 00:03:28.000]  不要做這些
[00:03:28.000 --> 00:03:29.000]  不要做那些
[00:03:29.000 --> 00:03:30.000]  但是同時間
[00:03:30.000 --> 00:03:33.000]  又加上248條
[00:03:33.000 --> 00:03:34.000]  248
[00:03:34.000 --> 00:03:38.000]  為什麼248這個數字怎麼來的呢?
[00:03:38.000 --> 00:03:40.000]  248這個數字
[00:03:40.000 --> 00:03:47.000]  是按猶太人分析人體的骨骼的設計
[00:03:47.000 --> 00:03:50.000]  他認為人有240條骨
[00:03:50.000 --> 00:03:52.000]  骨骼
[00:03:52.000 --> 00:03:53.000]  就是有多少條骨
[00:03:53.000 --> 00:03:55.000]  人有248條去數
[00:03:55.000 --> 00:03:57.000]  我又沒有去研究這個數字
[00:03:57.000 --> 00:03:58.000]  我又不是醫生
[00:03:58.000 --> 00:03:59.000]  可能是真的
[00:03:59.000 --> 00:04:01.000]  就是將人體解剖的時候
[00:04:01.000 --> 00:04:02.000]  去數的時候
[00:04:02.000 --> 00:04:04.000]  數到248條骨出來
[00:04:04.000 --> 00:04:06.000]  就是代表整個人
[00:04:06.000 --> 00:04:09.000]  所以248條是正面的
[00:04:09.000 --> 00:04:10.000]  就是我們要做這些
[00:04:10.000 --> 00:04:11.000]  做這些
[00:04:11.000 --> 00:04:12.000]  不做那些
[00:04:12.000 --> 00:04:13.000]  要做這些
[00:04:13.000 --> 00:04:15.000]  加上613條
[00:04:15.000 --> 00:04:19.000]  這個是他們在他們生活環境的底下
[00:04:19.000 --> 00:04:22.000]  耶穌來的時候
[00:04:22.000 --> 00:04:24.000]  耶穌說我其實是尼塞亞
[00:04:24.000 --> 00:04:26.000]  我是基督
[00:04:26.000 --> 00:04:28.000]  我就是神
[00:04:28.000 --> 00:04:30.000]  那麼
[00:04:30.000 --> 00:04:32.000]  一方面很多人看耶穌是一個先知
[00:04:32.000 --> 00:04:34.000]  一個教師
[00:04:34.000 --> 00:04:36.000]  在他們的傳統禮拜底下的時候
[00:04:36.000 --> 00:04:40.000]  教師都要去服從這613條的誡命
[00:04:40.000 --> 00:04:41.000]  沒錯
[00:04:41.000 --> 00:04:44.000]  而當他們去問耶穌的時候
[00:04:44.000 --> 00:04:45.000]  問這條問題
[00:04:45.000 --> 00:04:47.000]  究竟這613條當中
[00:04:47.000 --> 00:04:49.000]  最大的是哪一條呢
[00:04:49.000 --> 00:04:51.000]  去考問耶穌
