
[00:00:00.000 --> 00:00:02.000]  好,各位電視姊妹,早安
[00:00:02.000 --> 00:00:05.000]  今天想和大家分享這個題目是
[00:00:05.000 --> 00:00:07.000]  做個好鄰舍
[00:00:07.000 --> 00:00:11.000]  不知道大家有多少位住在這一區
[00:00:11.000 --> 00:00:12.000]  深水埗,長沙灣
[00:00:12.000 --> 00:00:14.000]  我問過了,不是很多
[00:00:14.000 --> 00:00:15.000]  現在可能多了一點
[00:00:15.000 --> 00:00:17.000]  但你也有你的社區,是不是?
[00:00:17.000 --> 00:00:19.000]  或者你有接觸的人群
[00:00:19.000 --> 00:00:22.000]  一些不同的人的需要
[00:00:22.000 --> 00:00:25.000]  我昨晚睡得不太好
[00:00:25.000 --> 00:00:28.000]  因為我昨天見了一些人,聽了一些東西
[00:00:28.000 --> 00:00:32.000]  我見了一個二十多歲的年青人
[00:00:32.000 --> 00:00:36.000]  他犯事在荔枝角生活中心
[00:00:36.000 --> 00:00:38.000]  問他一些情況
[00:00:38.000 --> 00:00:44.000]  他說對他來說不是很嚴重
[00:00:44.000 --> 00:00:46.000]  可能要坐幾年監禁
[00:00:46.000 --> 00:00:48.000]  我問他多一點
[00:00:48.000 --> 00:00:50.000]  有沒有其他人一起
[00:00:50.000 --> 00:00:52.000]  他說有,我有一個同案
[00:00:52.000 --> 00:00:55.000]  也是犯事,可能要面對幾年監禁
[00:00:55.000 --> 00:00:58.000]  我問他是不是在這裡,或者一起
[00:00:58.000 --> 00:01:00.000]  他說不是,那個是我的女朋友
[00:01:00.000 --> 00:01:02.000]  一起犯事
[00:01:02.000 --> 00:01:05.000]  她在女監,他在男監
[00:01:05.000 --> 00:01:08.000]  而他的女朋友懷孕了
[00:01:08.000 --> 00:01:10.000]  意思是說他將要出生的寶寶
[00:01:10.000 --> 00:01:12.000]  會在監獄裡長大
[00:01:12.000 --> 00:01:15.000]  可以有權在監獄裡長大
[00:01:15.000 --> 00:01:17.000]  第二個就是
[00:01:17.000 --> 00:01:22.000]  我下午和一個以前教會的姊妹聊天
[00:01:22.000 --> 00:01:27.000]  我問她最近如何,她說要去探病
[00:01:27.000 --> 00:01:29.000]  我問她探什麼病
[00:01:29.000 --> 00:01:33.000]  她說探一個她的同事
[00:01:33.000 --> 00:01:35.000]  因為同事進了醫院
[00:01:35.000 --> 00:01:37.000]  我是病了
[00:01:37.000 --> 00:01:41.000]  她說也是病了,只是精神出現了問題
[00:01:41.000 --> 00:01:43.000]  去了精神科
[00:01:43.000 --> 00:01:45.000]  我問她什麼事
[00:01:45.000 --> 00:01:48.000]  她說因為被大耳窿追溯
[00:01:48.000 --> 00:01:52.000]  精神很緊張,進了醫院
[00:01:52.000 --> 00:01:56.000]  我問她為什麼要借錢
[00:01:56.000 --> 00:01:59.000]  她說因為她賭錢輸了
[00:01:59.000 --> 00:02:01.000]  問大耳窿借錢
[00:02:01.000 --> 00:02:03.000]  我問她為什麼要賭錢
[00:02:03.000 --> 00:02:05.000]  一直問下去
[00:02:05.000 --> 00:02:08.000]  原來她之前因為用了很多錢
[00:02:08.000 --> 00:02:10.000]  去醫治她的兒子
[00:02:10.000 --> 00:02:11.000]  用了很多錢之後
[00:02:11.000 --> 00:02:14.000]  她想贏回那些錢,所以賭錢
[00:02:14.000 --> 00:02:17.000]  我問她兒子現在怎樣
[00:02:17.000 --> 00:02:21.000]  她說她兒子已經死了,11歲
[00:02:21.000 --> 00:02:23.000]  所以她失去了工作
[00:02:23.000 --> 00:02:26.000]  她已經是單親,失去了兒子
[00:02:26.000 --> 00:02:28.000]  失去了健康
[00:02:28.000 --> 00:02:29.000]  我不知道在你的生命裡
[00:02:29.000 --> 00:02:31.000]  或者你身邊遇到什麼人
[00:02:31.000 --> 00:02:33.000]  我一天可能遇到很多這樣的人
[00:02:33.000 --> 00:02:35.000]  聽到這樣的事情
[00:02:35.000 --> 00:02:37.000]  還有其他
[00:02:37.000 --> 00:02:39.000]  可以遠可以近
[00:02:39.000 --> 00:02:40.000]  是我們可以接觸的人
[00:02:40.000 --> 00:02:42.000]  一些不同的事情
[00:02:42.000 --> 00:02:45.000]  有一個人去講一個專題的時候
[00:02:45.000 --> 00:02:47.000]  我有一個好消息,一個壞消息
[00:02:47.000 --> 00:02:49.000]  大家想聽什麼呢
[00:02:49.000 --> 00:02:51.000]  西方人這樣說話
[00:02:51.000 --> 00:02:52.000]  好消息就是
[00:02:52.000 --> 00:02:54.000]  所有貧窮的問題,孤單的問題
[00:02:54.000 --> 00:02:56.000]  或者很多人需要的問題
[00:02:56.000 --> 00:02:59.000]  都可以得到解決
[00:02:59.000 --> 00:03:00.000]  大家說好啊好啊
[00:03:00.000 --> 00:03:01.000]  原來可以這樣解決
[00:03:01.000 --> 00:03:02.000]  那有什麼方法
[00:03:02.000 --> 00:03:04.000]  壞消息就是
[00:03:04.000 --> 00:03:07.000]  大家沒有起來行動
[00:03:07.000 --> 00:03:09.000]  所以世界充滿很多問題
[00:03:09.000 --> 00:03:11.000]  今天我們看到的經文
[00:03:11.000 --> 00:03:15.000]  是耶穌生命裡其中一個
[00:03:15.000 --> 00:03:18.000]  很獨特的事情
[00:03:18.000 --> 00:03:20.000]  我教諸學
[00:03:20.000 --> 00:03:21.000]  石姑娘也教諸學
[00:03:21.000 --> 00:03:23.000]  我們在講不同的經文
[00:03:23.000 --> 00:03:25.000]  或者不同的聖經的內容
[00:03:25.000 --> 00:03:29.000]  路加醫生特別刻畫了這個記載出來
[00:03:29.000 --> 00:03:31.000]  因為這個故事
[00:03:31.000 --> 00:03:33.000]  四福音唯有路加記載
[00:03:33.000 --> 00:03:35.000]  其他的三位科幻書作者
[00:03:35.000 --> 00:03:37.000]  沒有寫這個故事出來
[00:03:37.000 --> 00:03:39.000]  因為路加本身是一個外邦人
[00:03:39.000 --> 00:03:41.000]  他的信徒
[00:03:41.000 --> 00:03:43.000]  跟從保羅
[00:03:43.000 --> 00:03:45.000]  去服侍很多的經歷
[00:03:45.000 --> 00:03:47.000]  他自己很著重外邦人
[00:03:47.000 --> 00:03:50.000]  也在路加福音有獨特的神學
[00:03:50.000 --> 00:03:52.000]  他要表達
[00:03:52.000 --> 00:03:54.000]  神在外邦人的工作是很大
[00:03:54.000 --> 00:03:56.000]  是很多的恩典
[00:03:56.000 --> 00:03:59.000]  究竟這個世界
[00:03:59.000 --> 00:04:01.000]  是有很多不同的需要
[00:04:01.000 --> 00:04:03.000]  很多的事情我們要關注
[00:04:03.000 --> 00:04:05.000]  很多的事情我們要去看到
[00:04:05.000 --> 00:04:07.000]  或者
[00:04:07.000 --> 00:04:09.000]  究竟那些人去做一些好的事情呢
[00:04:09.000 --> 00:04:11.000]  我猜有一個人大家會認識
[00:04:11.000 --> 00:04:13.000]  要在這一區
