
[00:00:00.000 --> 00:00:03.080]  上一講我提到猶大王約西亞
[00:00:03.080 --> 00:00:05.080]  當時我指出了
[00:00:05.080 --> 00:00:07.800]  約西亞雖然是一個好的王
[00:00:07.800 --> 00:00:10.520]  但可惜在他在位的第三十一年
[00:00:10.520 --> 00:00:12.520]  即是他三十九歲的時候
[00:00:12.520 --> 00:00:15.720]  他出兵阻擋埃及王尼戈
[00:00:15.720 --> 00:00:19.480]  結果在米吉多那裡被尼戈所殺
[00:00:19.480 --> 00:00:25.320]  他的死不但將整個希西加所推動的宗教改革打斷
[00:00:25.320 --> 00:00:29.200]  同樣也加速了猶大王國的滅亡
[00:00:29.200 --> 00:00:31.200]  約西亞王死了之後
[00:00:31.200 --> 00:00:33.200]  猶大王國的歷史
[00:00:33.200 --> 00:00:37.440]  可以說是進入了一個最暗淡、最艱難的時期
[00:00:37.440 --> 00:00:39.440]  前後二十年間
[00:00:39.440 --> 00:00:41.440]  共換了四個王
[00:00:41.440 --> 00:00:45.960]  分別是約克斯、約亞勁、約亞根、西底加
[00:00:45.960 --> 00:00:47.600]  在這段日子裡
[00:00:47.600 --> 00:00:52.800]  國家基本上成為了其他大國的一個附庸國
[00:00:52.800 --> 00:00:54.800]  受制於其他大國
[00:00:54.800 --> 00:00:56.800]  而這四位王的命運
[00:00:56.800 --> 00:01:00.040]  如果不是被大國擄去作為囚犯
[00:01:00.040 --> 00:01:02.560]  就是向大國投降
[00:01:02.560 --> 00:01:05.160]  甚至是被大國的王所殺
[00:01:05.160 --> 00:01:08.360]  當時臣犧牲了先知耶利米
[00:01:08.360 --> 00:01:11.320]  他本身是出生於祭司家族
[00:01:11.320 --> 00:01:14.880]  當時他和王有著緊密的關係
[00:01:14.880 --> 00:01:16.880]  彼此互相認識
[00:01:16.880 --> 00:01:18.880]  耶利米在世的時候
[00:01:18.880 --> 00:01:22.360]  正好是猶大王國步向滅亡的時候
[00:01:22.360 --> 00:01:24.360]  所以他經常這樣
[00:01:24.360 --> 00:01:27.120]  要為國家、民族流淚
[00:01:27.120 --> 00:01:30.920]  所以有人稱他為「淚眼先知」
[00:01:30.920 --> 00:01:33.440]  耶利米書裡面的不少信息
[00:01:33.440 --> 00:01:36.160]  都是和這幾位王有關係的
[00:01:36.160 --> 00:01:40.240]  而今天我們所講到的這位末代的皇帝西底加
[00:01:40.240 --> 00:01:43.560]  除了我們會看「獵王紀」、「歷代志」之外
[00:01:43.560 --> 00:01:45.560]  也會看到耶利米書
[00:01:45.560 --> 00:01:48.680]  這位王
[00:01:48.680 --> 00:01:51.440]  我們用了一個稱呼來形容他
[00:01:51.440 --> 00:01:55.440]  就是一位沒有勇氣去跟從神的王
[00:01:55.440 --> 00:01:57.040]  他怎樣沒有勇氣呢?
[00:01:57.040 --> 00:01:59.040]  我們很想在講道裡面
[00:01:59.040 --> 00:02:00.560]  和大家一起去看一看
[00:02:00.560 --> 00:02:03.040]  讓我們透過他生平裡面的失敗
[00:02:03.040 --> 00:02:04.440]  來反思一下
[00:02:04.440 --> 00:02:06.240]  今天我們跟從主的時候
[00:02:06.240 --> 00:02:10.240]  我們是否有勇氣跟從主、跟從道弟呢?
[00:02:10.240 --> 00:02:12.640]  讓我們一起低頭在神面前有禱告
[00:02:22.440 --> 00:02:24.840]  讓我們拆開我們的生命
[00:02:24.840 --> 00:02:26.440]  在我們心底裡
[00:02:26.440 --> 00:02:31.440]  是不是很多時候我們只是口頭上說我們跟從主
[00:02:31.440 --> 00:02:34.240]  心底裡我們不敢去跟從
[00:02:34.240 --> 00:02:36.840]  又或者我們只是在眼前去侍奉
[00:02:36.840 --> 00:02:40.640]  不是從心底裡真誠地來服侍你們
[00:02:40.640 --> 00:02:42.640]  願你引導、紀念我們
[00:02:42.640 --> 00:02:45.040]  奉耶穌基督名求
[00:02:45.040 --> 00:02:48.240]  要認識末代的皇帝西底加的一生
[00:02:48.240 --> 00:02:52.840]  就需要認識他所處的那個大時代裡面的歷史
[00:02:52.840 --> 00:02:56.840]  當時最強的國家是亞述帝國
[00:02:56.840 --> 00:03:01.440]  亞述也是消滅了北國以色列的那個帝國
[00:03:01.440 --> 00:03:05.240]  亞述的大軍是以殘忍來著名的
[00:03:05.240 --> 00:03:08.440]  他到處侵略、廝殺、成性
[00:03:08.440 --> 00:03:13.040]  並且很殘暴地對待他們所捉到的任何的俘虜
[00:03:13.040 --> 00:03:16.640]  紅書三章一到三節提到利尾城的時候
[00:03:16.640 --> 00:03:19.440]  而利尾就是亞述的首都
[00:03:19.440 --> 00:03:22.040]  才指出他們的暴行
[00:03:22.040 --> 00:03:23.440]  才這樣說
[00:03:23.440 --> 00:03:25.640]  去禍災這個流人血的城
[00:03:25.640 --> 00:03:28.440]  充滿了荒詐和強暴
[00:03:28.440 --> 00:03:31.040]  搶著的士眾不止息
[00:03:31.040 --> 00:03:33.840]  鞭聲響亮
[00:03:33.840 --> 00:03:35.440]  車輛轟轟
[00:03:35.440 --> 00:03:36.840]  馬匹赤跳
[00:03:36.840 --> 00:03:38.240]  車輛奔騰
[00:03:38.240 --> 00:03:39.440]  馬兵爭先
[00:03:39.440 --> 00:03:41.040]  刀劍發光
[00:03:41.040 --> 00:03:42.640]  槍矛閃匿
[00:03:42.640 --> 00:03:44.240]  被殺的甚多
[00:03:44.240 --> 00:03:46.240]  屍首成了大堆
[00:03:46.240 --> 00:03:48.040]  屍骸無數
[00:03:48.040 --> 00:03:50.040]  人碰著而跌倒
[00:03:50.040 --> 00:03:52.840]  你可以想像這個戰場的場景
[00:03:52.840 --> 00:03:54.840]  到處都是屍體
[00:03:54.840 --> 00:03:58.040]  這幅圖畫是一幅大屠殺的圖畫
[00:03:58.040 --> 00:04:00.840]  這幅圖畫是令人感到心寒
[00:04:00.840 --> 00:04:05.440]  不過當時亞述也正是步向滅亡的階段
[00:04:05.440 --> 00:04:08.240]  因為有一個新興的大國興起
[00:04:08.240 --> 00:04:10.640]  這個大國就是巴比倫
[00:04:10.640 --> 00:04:12.840]  巴比倫開始威脅著亞述
[00:04:12.840 --> 00:04:15.040]  在早前612年
[00:04:15.040 --> 00:04:17.240]  巴比倫和馬代的聯軍
[00:04:17.240 --> 00:04:21.240]  攻陷了亞述的首都尼尼尾城
[00:04:21.240 --> 00:04:23.440]  在早前609年
[00:04:23.440 --> 00:04:27.640]  法老王尼戈率領軍隊向北出發
[00:04:27.640 --> 00:04:30.040]  想去支援亞述
[00:04:30.040 --> 00:04:31.840]  而猶大王約西亞
[00:04:31.840 --> 00:04:34.640]  就是上一講我所提到的這個王
[00:04:34.640 --> 00:04:36.840]  他面對著那個殘忍的亞述
[00:04:36.840 --> 00:04:39.040]  心裏沒有任何的好感
