
[00:00:00.000 --> 00:00:04.440]  今天跟大家繼續看上一次我們在提摩太后書的三章
[00:00:04.440 --> 00:00:05.840]  我們看不完
[00:00:05.840 --> 00:00:08.440]  上次只看了十四、十五節
[00:00:08.440 --> 00:00:12.320]  今天會跟大家繼續看保羅丁寧三章的十六、十七節
[00:00:12.320 --> 00:00:15.280]  這個也是上次我給大家一個挑戰
[00:00:15.280 --> 00:00:17.760]  不知道大家在過年一個月前
[00:00:17.760 --> 00:00:19.840]  有一個月的功夫時間
[00:00:19.840 --> 00:00:24.000]  大家可不可以背了提后的三章十六、十七節
[00:00:24.000 --> 00:00:25.320]  可能你已經懂得背
[00:00:25.320 --> 00:00:29.400]  但我不知道有多少可以接受挑戰這個月的話
[00:00:29.400 --> 00:00:30.880]  可以背得到
[00:00:30.880 --> 00:00:31.840]  不如我們試一下
[00:00:31.840 --> 00:00:33.600]  如果你待會可以背的話
[00:00:33.600 --> 00:00:34.880]  你就不用看了
[00:00:34.880 --> 00:00:36.280]  我們螢光幕也會有
[00:00:36.280 --> 00:00:38.400]  但是我挑戰你可以背了它
[00:00:38.400 --> 00:00:40.920]  如果你也背不太記得
[00:00:40.920 --> 00:00:43.280]  你就睜開眼睛閉眼看一看
[00:00:43.280 --> 00:00:47.160]  希望可以將這個金句放在你的心裡面
[00:00:47.160 --> 00:00:51.680]  我們一起來背或者讀三章十六、十七節
[00:00:51.680 --> 00:00:52.680]  預備起
[00:00:52.680 --> 00:00:55.720]  聖經都是神所默示的
[00:00:55.720 --> 00:00:59.400]  於教訓督責使人歸正
[00:00:59.400 --> 00:01:02.920]  教導人學而都是有益的
[00:01:02.920 --> 00:01:06.160]  叫屬神的人得以完全
[00:01:06.160 --> 00:01:09.240]  預備行各樣的善事
[00:01:09.240 --> 00:01:10.480]  在這首經文裡面
[00:01:10.480 --> 00:01:12.040]  其實很重要的訊息告訴我們
[00:01:12.040 --> 00:01:13.800]  聖經的權威
[00:01:13.800 --> 00:01:15.600]  聖經那種能力
[00:01:15.600 --> 00:01:16.800]  都是從神而來的
[00:01:16.800 --> 00:01:18.120]  因為是神所默示
[00:01:18.120 --> 00:01:20.480]  所以有著聖經有無比的權威
[00:01:20.480 --> 00:01:24.920]  是我們基督徒要緊緊抓住的
[00:01:24.920 --> 00:01:28.480]  如果聖經的權威我們都不能夠守住的時候
[00:01:28.480 --> 00:01:31.520]  今天可能我們就會面對很多的困難
[00:01:31.520 --> 00:01:32.880]  特別這裡提醒我們
[00:01:32.880 --> 00:01:34.440]  在教訓督責使人歸正
[00:01:34.440 --> 00:01:36.320]  教導人學而都是有益的
[00:01:36.320 --> 00:01:37.680]  所以我們要相信
[00:01:37.680 --> 00:01:39.600]  聖經也有它的益處
[00:01:39.600 --> 00:01:43.200]  對我們的人生裡面是有幫助
[00:01:43.200 --> 00:01:46.360]  可以令到我們的生命得到祝福的
[00:01:46.360 --> 00:01:49.280]  所以這個都是聖經的權威和益處
[00:01:49.280 --> 00:01:51.800]  我不知道大家你成為基督徒之後
[00:01:51.800 --> 00:01:53.480]  你覺得聖經對你來說
[00:01:53.480 --> 00:01:55.320]  有沒有這些益處呢?
[00:01:55.320 --> 00:01:58.320]  因為好像有一個廣告
[00:01:58.320 --> 00:02:00.560]  它的牌子的名字我覺得也是這樣的
[00:02:00.560 --> 00:02:02.480]  廣告我不讀它的牌子
[00:02:02.480 --> 00:02:04.680]  不過我讀它的一句話可能大家都認識的
[00:02:04.680 --> 00:02:07.520]  它就會問你今天喝了沒有
[00:02:07.520 --> 00:02:10.320]  原來它的牌子就是提醒你喝了之後
[00:02:10.320 --> 00:02:11.320]  有什麼呢?
[00:02:11.320 --> 00:02:12.560]  有益多一點
[00:02:12.560 --> 00:02:13.440]  不知道是菌還是什麼
