
[00:00:00.000 --> 00:00:01.680]  今天的題目很特別
[00:00:01.680 --> 00:00:04.920]  看上去好像很矛盾
[00:00:04.920 --> 00:00:07.560]  叫做《窮得只剩下錢》
[00:00:07.560 --> 00:00:10.840]  其實這是一本書的書名
[00:00:10.840 --> 00:00:13.520]  這本書名是很吸引我的
[00:00:13.520 --> 00:00:15.600]  所以我看了書看了一點
[00:00:15.600 --> 00:00:17.400]  裏面講了一個
[00:00:17.400 --> 00:00:22.560]  我想從一個小小的人物或者小小的故事開始
[00:00:22.560 --> 00:00:28.160]  在美國有一個事業很成功的女企業家
[00:00:28.160 --> 00:00:30.160]  很成功的女企業家
[00:00:30.160 --> 00:00:33.320]  她住在山邊不知道哪個州
[00:00:33.320 --> 00:00:35.720]  一個風景優美的豪宅區
[00:00:35.720 --> 00:00:36.440]  住在那裏
[00:00:36.440 --> 00:00:42.000]  有一天這個企業家突然收到一箇舊同學
[00:00:42.000 --> 00:00:43.720]  可能是中學同學的電話
[00:00:43.720 --> 00:00:45.480]  這個同學已經很多年沒見面了
[00:00:45.480 --> 00:00:46.720]  很多年沒見面
[00:00:46.720 --> 00:00:49.600]  她說剛好有機會去美國開會
[00:00:49.600 --> 00:00:51.720]  想起我這個朋友在美國
[00:00:51.720 --> 00:00:52.400]  打電話給她
[00:00:52.400 --> 00:00:55.560]  就說既然我來開會不如探探你好不好
[00:00:55.560 --> 00:00:59.120]  她說好 當然好 歡迎你來我家住幾天
[00:00:59.120 --> 00:01:00.240]  不要只探我
[00:01:00.240 --> 00:01:04.840]  於是這個好朋友就去美國了
[00:01:04.840 --> 00:01:07.360]  當她去到美國之後
[00:01:07.360 --> 00:01:08.440]  到機場之後
[00:01:08.440 --> 00:01:11.680]  果然她見到她以前的舊朋友
[00:01:11.680 --> 00:01:14.640]  這個企業家
[00:01:14.640 --> 00:01:17.760]  找人開車接她
[00:01:17.760 --> 00:01:19.840]  然後車去她家
[00:01:19.840 --> 00:01:21.520]  這個車很漂亮
[00:01:21.520 --> 00:01:24.040]  高級車去到接機
[00:01:24.040 --> 00:01:26.360]  當車去到她家的時候
[00:01:26.360 --> 00:01:27.040]  她看一看
[00:01:27.040 --> 00:01:29.240]  果真是豪宅
[00:01:29.240 --> 00:01:30.280]  十足的豪宅
[00:01:30.280 --> 00:01:32.640]  四周一片翠綠的草坪
[00:01:32.640 --> 00:01:33.600]  有花園
[00:01:33.600 --> 00:01:34.720]  有網球場
[00:01:34.720 --> 00:01:36.280]  還有游泳池
[00:01:36.280 --> 00:01:38.840]  我想你也很想有
[00:01:38.840 --> 00:01:42.440]  於是她進去之後發現
[00:01:42.440 --> 00:01:43.520]  除了這輛車之外
[00:01:43.520 --> 00:01:45.360]  車房裏還有兩輛
[00:01:45.360 --> 00:01:46.640]  一輛是林寶堅尼
[00:01:46.640 --> 00:01:48.520]  另外還有一輛是
[00:01:48.520 --> 00:01:51.280]  另外一種高級的五車車
[00:01:51.280 --> 00:01:52.880]  我也不知道是什麼牌子
[00:01:52.880 --> 00:01:54.480]  於是她進去之後
[00:01:54.480 --> 00:01:56.400]  她打開房間
[00:01:56.400 --> 00:01:58.680]  十多間房間
[00:01:58.680 --> 00:02:00.880]  一間房子
[00:02:00.880 --> 00:02:02.600]  然後發現每間房間裏
[00:02:02.600 --> 00:02:06.320]  都掛着一些很名貴的
[00:02:06.320 --> 00:02:09.440]  出自名家手筆的名畫
[00:02:09.440 --> 00:02:11.600]  這個年代值錢的東西
[00:02:11.600 --> 00:02:13.760]  是越來越要講這些的
[00:02:13.760 --> 00:02:15.040]  於是她看完之後
[00:02:15.040 --> 00:02:18.560]  她覺得這個舊同學真的很厲害
[00:02:18.560 --> 00:02:19.600]  安頓好之後
[00:02:19.600 --> 00:02:20.960]  這個舊同學就問
[00:02:20.960 --> 00:02:22.560]  咦 爲什麼只有你一個人
[00:02:22.560 --> 00:02:24.480]  你不見你的家人
[00:02:24.480 --> 00:02:26.000]  這個女企業家
[00:02:26.000 --> 00:02:27.520]  這個朋友就跟她說
[00:02:27.520 --> 00:02:32.040]  她說我先生有外遇
[00:02:32.040 --> 00:02:36.200]  結果他已經好幾年沒有回家了
[00:02:36.200 --> 00:02:37.880]  這樣
[00:02:37.880 --> 00:02:41.840]  於是
[00:02:41.840 --> 00:02:42.880]  於是她就問
[00:02:42.880 --> 00:02:44.160]  那你現在不好意思
[00:02:44.160 --> 00:02:46.280]  那你有沒有子女
[00:02:46.280 --> 00:02:47.280]  我的子女
[00:02:47.280 --> 00:02:48.640]  他們都離開了我
[00:02:48.640 --> 00:02:49.480]  去了美國
[00:02:49.480 --> 00:02:52.760]  去不同的城市裏面居住
[00:02:52.760 --> 00:02:53.960]  他們都長大了
[00:02:53.960 --> 00:02:56.040]  所以我們都很少見面
[00:02:56.040 --> 00:02:58.120]  然後她最後她嘆口氣
[00:02:58.120 --> 00:02:59.560]  跟這個朋友說
[00:02:59.560 --> 00:03:04.240]  是的 其實我現在是窮到剩下錢
[00:03:04.240 --> 00:03:07.000]  大家明白這個故事想講什麼嗎
[00:03:07.000 --> 00:03:13.560]  窮不窮可能跟錢完全沒有關係
[00:03:13.560 --> 00:03:16.120]  在耶穌的一生裏面
[00:03:16.120 --> 00:03:18.560]  祂教導過很多人
[00:03:18.560 --> 00:03:22.400]  錢也是祂經常講的其中一個主題
[00:03:22.400 --> 00:03:23.680]  今天跟大家講的聖經
[00:03:23.680 --> 00:03:26.160]  是來自路加福音第十二章
[00:03:26.160 --> 00:03:27.720]  十三至二十一節
[00:03:27.720 --> 00:03:29.160]  這個其中一個比喻
[00:03:29.160 --> 00:03:31.160]  關於一個財主的
[00:03:31.160 --> 00:03:33.120]  我們可不可以一起看一下這個比喻
[00:03:33.120 --> 00:03:33.880]  讀一次
[00:03:33.880 --> 00:03:35.000]  可能你都很熟悉的
[00:03:35.000 --> 00:03:36.120]  我們一起看一下
[00:03:36.120 --> 00:03:38.040]  路加福音十二章
[00:03:38.040 --> 00:03:39.480]  十三節
[00:03:39.480 --> 00:03:43.680]  到了二十一節
[00:03:43.680 --> 00:03:45.160]  好 我們一起讀好嗎
[00:03:45.160 --> 00:03:47.160]  十三節開始了 請
[00:03:47.160 --> 00:03:49.160]  衆人尊敬爲愛人
[00:03:49.160 --> 00:03:50.720]  耶穌說:
[00:03:50.720 --> 00:03:56.160]  姑子,請你吩咐我的兄長和我分開家業
[00:03:56.160 --> 00:03:57.400]  耶穌說:
[00:03:57.400 --> 00:03:59.880]  你這個人罪立我國
[00:03:59.880 --> 00:04:01.760]  你們段氏的官
[00:04:01.760 --> 00:04:04.120]  給你們分家業呢
[00:04:04.120 --> 00:04:06.320]  於是對衆人說
[00:04:06.320 --> 00:04:08.600]  你們要謹慎自首
[00:04:08.600 --> 00:04:10.760]  免去一切的貪心
[00:04:10.760 --> 00:04:15.040]  因爲人的生命不在乎家道豐富
[00:04:15.040 --> 00:04:17.640]  就用比喻對他們說
[00:04:17.640 --> 00:04:21.040]  (就讓我國主遣返奉定)
[00:04:21.040 --> 00:04:23.440]  自己心裏思想說
[00:04:23.440 --> 00:04:26.640]  我的出產沒有地方收藏
[00:04:26.640 --> 00:04:28.120]  怎麼辦呢
[00:04:28.120 --> 00:04:30.840]  又說我要怎麼辦
[00:04:30.840 --> 00:04:33.680]  要把我的倉房拆了
[00:04:33.680 --> 00:04:35.600]  令蓋更大的
[00:04:35.600 --> 00:04:40.240]  在那裏好收藏我一切的糧食和財物
[00:04:40.240 --> 00:04:43.120]  然後要對我的靈魂說
[00:04:43.120 --> 00:04:46.840]  (靈魂啊,你有許多財物積存)
[00:04:46.840 --> 00:04:49.040]  (可作多年的費用)
[00:04:49.040 --> 00:04:53.040]  (只管安安逸逸地快樂吧)
[00:04:53.040 --> 00:04:54.840]  神對他說
[00:04:54.840 --> 00:04:56.440]  無知的人啊
