
[00:00:00.000 --> 00:00:03.000]  詩篇78篇,如果有聖經可以打開
[00:00:03.000 --> 00:00:08.000]  我們不會全說,因為整篇聖經有72節之多
[00:00:08.000 --> 00:00:10.000]  我們不可能全說
[00:00:10.000 --> 00:00:14.000]  我選擇說第一到第八節
[00:00:14.000 --> 00:00:17.000]  用第一到第八節跟大家思想一個題目
[00:00:17.000 --> 00:00:19.000]  圖造新世代
[00:00:19.000 --> 00:00:23.000]  第一節他這樣說
[00:00:24.000 --> 00:00:32.000]  我的民,你則要聽我的訓誨,豎起耳朵,聽我口中的言語
[00:00:32.000 --> 00:00:35.000]  英文翻譯是Give ear all my people
[00:00:35.000 --> 00:00:42.000]  我的民,誰可以這樣稱呼人,稱呼他的讀者呢?
[00:00:42.000 --> 00:00:48.000]  我的民,我的人民,彷彿皇帝向他指民
[00:00:48.000 --> 00:00:52.000]  要頒佈聖旨,一個這樣的口吻
[00:00:52.000 --> 00:00:57.000]  如果這篇詩篇是一個聖旨
[00:00:57.000 --> 00:01:01.000]  我們作為讀者,我們要領受所謂的聖旨
[00:01:01.000 --> 00:01:05.000]  究竟我們用甚麼態度來聆聽呢?
[00:01:05.000 --> 00:01:09.000]  這節聖經的下半節已經說了給我們聽
[00:01:09.000 --> 00:01:14.000]  他說你要側耳專心的聆聽
[00:01:14.000 --> 00:01:19.000]  你要豎起耳朵留心的聽,必恭必敬
[00:01:19.000 --> 00:01:23.000]  聖旨只是說一次,不會重複
[00:01:23.000 --> 00:01:27.000]  你聽漏了,那就是你自己的事了
[00:01:27.000 --> 00:01:33.000]  聽完聖旨之後,你領了旨,你領了命之後
[00:01:33.000 --> 00:01:38.000]  你是要執行的,所以是不容許你聽漏一句半句的
[00:01:38.000 --> 00:01:43.000]  所以醒目的人甚至可以做筆記
[00:01:43.000 --> 00:01:52.000]  一首詩篇而已,讀一首詩篇而已,剛才也有幾位弟兄姊妹跟我們讀聖經
[00:01:52.000 --> 00:01:55.000]  用不用這麼隆重這麼認真?
[00:01:55.000 --> 00:01:59.000]  但其實你也可以揣摩到,讀這首詩篇的時候
[00:01:59.000 --> 00:02:03.000]  讀者應該產生或慢慢建立一個期望
[00:02:03.000 --> 00:02:07.000]  這首詩篇非同小可
[00:02:07.000 --> 00:02:13.000]  怎麼說呢?第二節到第六節是這麼說的,請聽我讀
[00:02:13.000 --> 00:02:17.000]  「我要開口說比喻,我要解開古時的謎語
[00:02:17.000 --> 00:02:22.000]  是我們所聽見所知道的,也是我們的祖宗告訴我們的
[00:02:22.000 --> 00:02:26.000]  我們不將這些事向他們的子孫隱瞞
[00:02:26.000 --> 00:02:32.000]  要將耶和華的美德和他的能力,並他奇妙的作為述說給後代聽
[00:02:32.000 --> 00:02:41.000]  因為他在雅各宗立法道在以色列宗旨律法,是他吩咐我們祖宗要傳給子孫的
[00:02:41.000 --> 00:02:46.000]  使將要生的後代子孫可以曉得
[00:02:46.000 --> 00:02:51.000]  他們也要起來告訴他們的子孫」
[00:02:51.000 --> 00:02:55.000]  我猜即使你不讀聖經,即使你不看泡沫
[00:02:55.000 --> 00:03:02.000]  你就這樣聽我讀的時候,你大概可以意會到我好像是將某些字眼強調
[00:03:02.000 --> 00:03:06.000]  我留意到有兩組重複的詞句
[00:03:06.000 --> 00:03:11.000]  一組是祖宗、祖先、前輩
[00:03:11.000 --> 00:03:15.000]  另一組是子孫、後代
[00:03:15.000 --> 00:03:20.000]  這兩組的字詞點出了兩個方向
[00:03:20.000 --> 00:03:24.000]  一個成仙的方向,一個啟後的方向
[00:03:24.000 --> 00:03:27.000]  成仙的意思是我們回顧我們的上一代
[00:03:27.000 --> 00:03:31.000]  回憶我們的祖先,回顧我們過往的歷史
[00:03:31.000 --> 00:03:35.000]  追溯、重尋我們的根
[00:03:35.000 --> 00:03:40.000]  思想我們的先輩他們的家賢兒行
[00:03:40.000 --> 00:03:42.000]  這是成仙
[00:03:42.000 --> 00:03:46.000]  啟後呢?啟後就是要我們向我們所聽到的說話
[00:03:46.000 --> 00:03:49.000]  能夠傳遞給下一代
[00:03:49.000 --> 00:03:52.000]  教導、教訓我們的後輩
[00:03:52.000 --> 00:03:55.000]  啟發、啟導我們的子孫
[00:03:55.000 --> 00:03:58.000]  開導、引導我們的後輩
[00:03:58.000 --> 00:04:03.000]  甚至奮鬥、誘導我們的下一代
[00:04:03.000 --> 00:04:06.000]  這個祖宗、子孫
[00:04:06.000 --> 00:04:10.000]  這個成仙啟後
[00:04:10.000 --> 00:04:13.000]  就襯托了我們塗造下一代
[00:04:13.000 --> 00:04:16.000]  塗造新世代一個很重要的
[00:04:16.000 --> 00:04:21.000]  我們從上領受然後向下傳遞
[00:04:21.000 --> 00:04:25.000]  並且這是一脈相承,代代相傳
[00:04:25.000 --> 00:04:28.000]  和大家看看第五第六節
[00:04:28.000 --> 00:04:29.000]  他怎樣說
[00:04:29.000 --> 00:04:33.000]  我在雅各宗立法道,在以色列宗節律法
[00:04:33.000 --> 00:04:36.000]  是他吩咐我們祖宗要傳給子孫的
[00:04:36.000 --> 00:04:39.000]  使將要生的後代子孫可以曉得
[00:04:39.000 --> 00:04:41.000]  他們也要起來告訴他們的子孫
[00:04:41.000 --> 00:04:44.000]  我們讀的時候聽的時候可能水過鴨背
[00:04:44.000 --> 00:04:48.000]  不過你留意到這是多少代?
[00:04:48.000 --> 00:04:52.000]  他耶和華第一代
[00:04:52.000 --> 00:04:56.000]  他將一個訊息傳給我們的祖先
[00:04:56.000 --> 00:04:58.000]  那個是第二代
[00:04:58.000 --> 00:05:00.000]  然後我們的祖先傳給我們
[00:05:00.000 --> 00:05:02.000]  這個是第三代
[00:05:02.000 --> 00:05:06.000]  然後我們傳給我們的子孫
[00:05:06.000 --> 00:05:08.000]  這個是第四代
[00:05:08.000 --> 00:05:09.000]  還沒完
[00:05:09.000 --> 00:05:14.000]  然後我們的子孫要再傳給他們的子孫
[00:05:14.000 --> 00:05:18.000]  五代,大概這麼說
[00:05:18.000 --> 00:05:23.000]  你看這個圖表你會看到有五代
[00:05:23.000 --> 00:05:27.000]  祖宗子孫承先啟後
[00:05:27.000 --> 00:05:30.000]  一脈相承,代代相傳
[00:05:30.000 --> 00:05:34.000]  在美國芝加哥附近一間神學院
[00:05:34.000 --> 00:05:37.000]  很出名的神學院,三一神學院
[00:05:37.000 --> 00:05:40.000]  那裏有一位很出名的新約學者
[00:05:40.000 --> 00:05:44.000]  叫Don Carson,D.A. Carson,Carson博士
