
[00:00:00.000 --> 00:00:07.000]  我們今天分享《生命記》第十章十二到十九節
[00:00:07.000 --> 00:00:10.000]  我借了經文的一句說話
[00:00:10.000 --> 00:00:12.000]  「神向你要什麼」
[00:00:12.000 --> 00:00:15.000]  我們一起看看這篇經文
[00:00:15.000 --> 00:00:16.000]  我們一起讀一讀
[00:00:16.000 --> 00:00:18.000]  讓我有些印象
[00:00:18.000 --> 00:00:20.000]  《生命記》十章十二到十九節
[00:00:20.000 --> 00:00:21.000]  一起讀一讀
[00:00:21.000 --> 00:00:22.000]  一二三
[00:00:22.000 --> 00:00:24.000]  以色列,現在耶和華
[00:00:24.000 --> 00:00:27.000]  你神向你所要的是什麼呢?
[00:00:27.000 --> 00:00:29.000]  只要你敬畏耶和華
[00:00:29.000 --> 00:00:32.000]  你的神進行祂的道
[00:00:32.000 --> 00:00:35.000]  愛祂盡心盡性侍奉祂
[00:00:35.000 --> 00:00:38.000]  遵守祂的命律來
[00:00:38.000 --> 00:00:41.000]  就是我今天所吩咐你的
[00:00:41.000 --> 00:00:43.000]  所以要叫你不得福
[00:00:43.000 --> 00:00:46.000]  看那天上的天
[00:00:46.000 --> 00:00:48.000]  地和地上所有的
[00:00:48.000 --> 00:00:51.000]  都屬耶和華你的神
[00:00:51.000 --> 00:00:54.000]  耶和華但喜悅你的如早
[00:00:54.000 --> 00:00:55.000]  愛祂們
[00:00:55.000 --> 00:00:58.000]  從萬民中揀選祂們的後裔
[00:00:58.000 --> 00:01:01.000]  就是你們從今天而來
[00:01:01.000 --> 00:01:03.000]  所以你們要將
[00:01:03.000 --> 00:01:05.000]  心裡的污穢除掉
[00:01:05.000 --> 00:01:08.000]  不可再硬著頸看
[00:01:08.000 --> 00:01:10.000]  因為耶和華你們的神
[00:01:10.000 --> 00:01:12.000]  祂是萬神之神
[00:01:12.000 --> 00:01:14.000]  萬主之主
[00:01:14.000 --> 00:01:15.000]  至大的神
[00:01:15.000 --> 00:01:17.000]  大有能力
[00:01:17.000 --> 00:01:18.000]  大而可為
[00:01:18.000 --> 00:01:20.000]  不以貌取人
[00:01:20.000 --> 00:01:21.000]  不受賄賂
[00:01:21.000 --> 00:01:24.000]  祂為孤兒寡婦申冤
[00:01:24.000 --> 00:01:28.000]  又憐愛寄居的似得他衣食
[00:01:28.000 --> 00:01:31.000]  所以你們要憐愛寄居的
[00:01:31.000 --> 00:01:36.000]  因為你們在埃及地也作過寄居的
[00:01:36.000 --> 00:01:39.000]  也要問
[00:01:39.000 --> 00:01:40.000]  究竟
[00:01:40.000 --> 00:01:43.000]  神向你要什麼呢?
[00:01:43.000 --> 00:01:45.000]  神有沒有曾經向你要過東西?
[00:01:45.000 --> 00:01:47.000]  問你要東西
[00:01:47.000 --> 00:01:49.000]  有沒有試過?
[00:01:49.000 --> 00:01:50.000]  你給不給?
[00:01:50.000 --> 00:01:52.000]  你有沒有給他呢?
[00:01:52.000 --> 00:01:54.000]  想想當時
[00:01:54.000 --> 00:01:56.000]  你收到上帝問你要東西
[00:01:56.000 --> 00:02:00.000]  你有沒有給呢?
[00:02:00.000 --> 00:02:02.000]  給不給呢?
[00:02:02.000 --> 00:02:04.000]  通常那些人問你要東西的時候
[00:02:04.000 --> 00:02:05.000]  你都會想一想
