
[00:00:00.000 --> 00:00:02.240]  加點我們感激的恩典
[00:00:02.240 --> 00:00:05.520]  藉著主耶穌為我們所做的一切
[00:00:05.520 --> 00:00:07.760]  讓我們可以與祢和好
[00:00:07.760 --> 00:00:10.000]  今天我們一同來這裡敬拜
[00:00:10.000 --> 00:00:13.280]  一同再思想主耶穌受難的意義
[00:00:13.280 --> 00:00:19.200]  我們求聖靈在我們當中幫助我們清楚明白主所做的一切
[00:00:19.200 --> 00:00:22.480]  也幫助我們懂得以愛還愛
[00:00:22.480 --> 00:00:24.160]  奉耶穌基督的名祈禱
[00:00:24.160 --> 00:00:24.880]  對嗎?
[00:00:24.880 --> 00:00:28.960]  今天是受難節
[00:00:29.200 --> 00:00:34.240]  這個是一般中國教會的叫法
[00:00:34.240 --> 00:00:36.800]  有些地方叫做「豆腐節」
[00:00:36.800 --> 00:00:39.200]  英文也比較特別
[00:00:39.200 --> 00:00:41.600]  英文就叫做「Good Friday」
[00:00:41.600 --> 00:00:46.000]  在英語世界裡面其實也有「Black Friday」
[00:00:46.000 --> 00:00:48.880]  就好像沒有其他顏色的禮拜五
[00:00:48.880 --> 00:00:53.840]  那麼如果受難節是一個好的禮拜五
[00:00:53.840 --> 00:00:56.080]  一年只有一次
[00:00:56.480 --> 00:01:02.880]  是否由於這個星期五在很多西方國家都被定為是公眾假期
[00:01:02.880 --> 00:01:06.560]  於是西方人就覺得「哎,好啊,真是好呢」
[00:01:06.560 --> 00:01:08.480]  大概不是
[00:01:08.480 --> 00:01:14.000]  而是大家都是紀念主耶穌在一個星期五
[00:01:14.000 --> 00:01:16.960]  被羅馬人釘在十字架上
[00:01:16.960 --> 00:01:21.520]  華人就是想念耶穌所受的苦
[00:01:21.520 --> 00:01:22.720]  就是有十字架
[00:01:22.720 --> 00:01:25.440]  華人就是想念祂所受的苦
[00:01:25.440 --> 00:01:27.760]  所以叫做「受難節」
[00:01:27.760 --> 00:01:32.080]  西方人就思考耶穌之死
[00:01:32.080 --> 00:01:35.760]  帶給人的意義是好的
[00:01:35.760 --> 00:01:38.800]  故事稱之為「Good Friday」
[00:01:38.800 --> 00:01:43.040]  由於我們最近一直都是思想羅馬書
