
[00:00:00.000 --> 00:00:03.000]  我們一起有一個祈禱吧
[00:00:03.000 --> 00:00:04.400]  親愛的主耶穌,我們感謝祢
[00:00:04.400 --> 00:00:08.500]  因為祢直象我們真是和禍福堂一些的關係
[00:00:08.500 --> 00:00:09.900]  我們分了出去第一間
[00:00:09.900 --> 00:00:11.700]  我們相信都不是偶然
[00:00:11.700 --> 00:00:15.900]  祢都是讓深福堂真是已經踏入了44年
[00:00:15.900 --> 00:00:20.000]  也都是讓禍福堂已經踏入50年
[00:00:20.000 --> 00:00:22.800]  主,我們知道這50年是禁欺,真是不容易
[00:00:22.800 --> 00:00:24.900]  也都看到當中上帝
[00:00:24.900 --> 00:00:27.100]  祢都讓到弟兄姊妹的建樹
[00:00:27.100 --> 00:00:29.200]  在當中真是廣傳福音
[00:00:29.200 --> 00:00:32.300]  也都是讓上帝祢的名字在這一區
[00:00:32.300 --> 00:00:35.600]  或者是不同的地方得到榮耀
[00:00:35.600 --> 00:00:36.400]  我們感謝祢
[00:00:36.400 --> 00:00:38.000]  繼續保守我們在祢裡面
[00:00:38.000 --> 00:00:39.300]  甚至祢自己的話語
[00:00:39.300 --> 00:00:42.600]  祢親自來到去叫偶爾冬聽的
[00:00:42.600 --> 00:00:43.700]  就是聽祢的話語
[00:00:43.700 --> 00:00:45.100]  叫我們繼續向前
[00:00:45.100 --> 00:00:46.000]  多謝天父
[00:00:46.000 --> 00:00:47.500]  祈禱奉耶穌基督的名
[00:00:47.500 --> 00:00:48.500]  Amen
[00:00:48.500 --> 00:00:51.900]  好,我不知道大家過去幾年
[00:00:51.900 --> 00:00:53.700]  我們都經歷過疫情
[00:00:53.700 --> 00:00:57.900]  我們很多時候才知道什麼叫限制
[00:00:57.900 --> 00:01:01.100]  限制在家中或者工作室裡面
[00:01:01.100 --> 00:01:03.300]  那時候我不知道大家有沒有想過
[00:01:03.300 --> 00:01:05.500]  大使命或者是傳福音
[00:01:05.500 --> 00:01:07.200]  我多喜歡你們這裡
[00:01:07.200 --> 00:01:10.100]  今年的主題
[00:01:10.100 --> 00:01:13.600]  「走出去傳遞愛,活出來見正神」
[00:01:13.600 --> 00:01:16.200]  因為也是我自己一生裡面
[00:01:16.200 --> 00:01:17.900]  上帝給我的使命
