
[00:00:00.000 --> 00:00:02.000]  在開始我們講到的時候
[00:00:02.000 --> 00:00:04.000]  我們看一個
[00:00:04.000 --> 00:00:06.000]  我想在我們這個歲數的人
[00:00:06.000 --> 00:00:08.000]  都很懷念的人物
[00:00:08.000 --> 00:00:10.000]  好 我們試試看這個人物
[00:00:30.000 --> 00:00:32.000]  這是什麼東西?
[00:00:32.000 --> 00:00:56.000]  哦 什麼東西?
[00:00:56.000 --> 00:00:58.000]  這是什麼東西?
[00:01:00.000 --> 00:01:02.000]  (音樂)
[00:01:02.000 --> 00:01:04.000]  (音樂)
[00:01:04.000 --> 00:01:06.000]  (音樂)
[00:01:06.000 --> 00:01:08.000]  (音樂)
[00:01:08.000 --> 00:01:10.000]  (音樂)
[00:01:10.000 --> 00:01:12.000]  OK 這個大力水手的卡通片
[00:01:12.000 --> 00:01:14.000]  我們都很熟悉
[00:01:14.000 --> 00:01:16.000]  大力水手其實
[00:01:16.000 --> 00:01:18.000]  是一個很軟弱的人
[00:01:18.000 --> 00:01:20.000]  經常被人欺負
[00:01:20.000 --> 00:01:22.000]  被誰欺負?
[00:01:22.000 --> 00:01:24.000]  Bruto 你很厲害 是我的年齡
[00:01:24.000 --> 00:01:26.000]  但他什麼時候吃了
[00:01:26.000 --> 00:01:28.000]  菠菜呢?
[00:01:28.000 --> 00:01:30.000]  就不再一樣
[00:01:30.000 --> 00:01:32.000]  其實你猜我們像不像大力水手?
[00:01:32.000 --> 00:01:34.000]  同樣信徒
[00:01:34.000 --> 00:01:36.000]  沒信耶穌之前
[00:01:36.000 --> 00:01:38.000]  我們好像派派一樣
[00:01:38.000 --> 00:01:40.000]  我們軟弱無力
[00:01:40.000 --> 00:01:42.000]  但當我們信了耶穌之後
[00:01:42.000 --> 00:01:44.000]  聖靈幫助我們
[00:01:44.000 --> 00:01:46.000]  成為保衛師帶領我們
[00:01:46.000 --> 00:01:48.000]  什麼時候我向上帝呼求的時候
[00:01:48.000 --> 00:01:50.000]  我們的生命就不再一樣
[00:01:50.000 --> 00:01:52.000]  告訴別人
[00:01:52.000 --> 00:01:54.000]  你是不再一樣的生命
[00:01:54.000 --> 00:01:56.000]  今天我想
[00:01:56.000 --> 00:01:58.000]  這一句就在烈王紀上
[00:01:58.000 --> 00:02:00.000]  17章第一節
[00:02:00.000 --> 00:02:02.000]  我們因為今年裡面
[00:02:02.000 --> 00:02:04.000]  這幾個月
[00:02:04.000 --> 00:02:06.000]  我們講烈王紀上
[00:02:06.000 --> 00:02:08.000]  我們將它統結
[00:02:08.000 --> 00:02:10.000]  結束就用這篇的講道
[00:02:10.000 --> 00:02:12.000]  就單單將整個
[00:02:12.000 --> 00:02:14.000]  烈王紀去結束
[00:02:14.000 --> 00:02:16.000]  希望藉著這篇裡面我們學一個功課
[00:02:16.000 --> 00:02:18.000]  藉著以利亞學一個功課
[00:02:18.000 --> 00:02:20.000]  學一個功課是怎樣?
[00:02:20.000 --> 00:02:22.000]  以利亞的生命是怎樣不再一樣的時候
[00:02:22.000 --> 00:02:24.000]  同樣我們都會不再一樣
[00:02:24.000 --> 00:02:26.000]  Amen
[00:02:26.000 --> 00:02:28.000]  我們不再一樣的
[00:02:28.000 --> 00:02:30.000]  你和家人祝福他
[00:02:30.000 --> 00:02:32.000]  是不再一樣的什麼?
[00:02:32.000 --> 00:02:34.000]  的利
[00:02:34.000 --> 00:02:36.000]  Amen
[00:02:36.000 --> 00:02:38.000]  烈王紀上和下
[00:02:38.000 --> 00:02:40.000]  因為第一季
[00:02:40.000 --> 00:02:42.000]  我們這個讀經釋義就會看
[00:02:42.000 --> 00:02:44.000]  我們就會在烈王紀上下
[00:02:44.000 --> 00:02:46.000]  其實是一卷來的
[00:02:46.000 --> 00:02:48.000]  在我今天的週刊
[00:02:48.000 --> 00:02:50.000]  大家如果有週刊就看到
[00:02:50.000 --> 00:02:52.000]  沒有週刊就回去拿
[00:02:52.000 --> 00:02:54.000]  今天開始
[00:02:54.000 --> 00:02:56.000]  我鼓勵大家
[00:02:56.000 --> 00:02:58.000]  每一期都有拿週刊
[00:02:58.000 --> 00:03:00.000]  因為有些好的東西給大家聽
[00:03:00.000 --> 00:03:02.000]  這個週刊告訴我們烈王紀上
[00:03:02.000 --> 00:03:04.000]  有個大綱是怎樣
[00:03:04.000 --> 00:03:06.000]  烈王紀上如果我將它簡單
[00:03:06.000 --> 00:03:08.000]  重點告訴大家
[00:03:08.000 --> 00:03:10.000]  是1,2,3,很容易的
[00:03:10.000 --> 00:03:12.000]  1是一個人物
[00:03:12.000 --> 00:03:14.000]  就是先知,就是以利亞
[00:03:14.000 --> 00:03:16.000]  2是兩個國
[00:03:16.000 --> 00:03:18.000]  從烈王紀上
[00:03:18.000 --> 00:03:20.000]  開始
[00:03:20.000 --> 00:03:22.000]  一個猶大國分為南和北
[00:03:22.000 --> 00:03:24.000]  有三個很重要的人物
[00:03:24.000 --> 00:03:26.000]  在烈王紀上
[00:03:26.000 --> 00:03:28.000]  第一個是所羅門
[00:03:28.000 --> 00:03:30.000]  第二個是阿哈
[00:03:30.000 --> 00:03:32.000]  第三個
[00:03:32.000 --> 00:03:34.000]  就是阿哈的太太耶西別
[00:03:34.000 --> 00:03:36.000]  你要回去看烈王紀上
[00:03:36.000 --> 00:03:38.000]  你就會知道情況
[00:03:38.000 --> 00:03:40.000]  我想借著烈王紀上
[00:03:40.000 --> 00:03:42.000]  這個十七章一節
[00:03:42.000 --> 00:03:44.000]  我們在年尾的時候
[00:03:44.000 --> 00:03:46.000]  借著以利亞這個新評再一次提醒
[00:03:46.000 --> 00:03:48.000]  我們在上帝眼中
[00:03:48.000 --> 00:03:50.000]  上帝的計劃里
[00:03:50.000 --> 00:03:52.000]  是要我們
[00:03:52.000 --> 00:03:54.000]  不再一樣
[00:03:54.000 --> 00:03:56.000]  我們看看這個經文好不好
[00:03:56.000 --> 00:03:58.000]  就是剛才的經文
[00:03:58.000 --> 00:04:00.000]  看不看得到
[00:04:00.000 --> 00:04:02.000]  如果看不到
[00:04:02.000 --> 00:04:04.000]  現在科技很發達
[00:04:04.000 --> 00:04:06.000]  用你的手帳,十七章第一節
[00:04:06.000 --> 00:04:08.000]  就是第一節,我們慢慢讀兩次
[00:04:08.000 --> 00:04:10.000]  讀完兩次
[00:04:10.000 --> 00:04:12.000]  我們有個大概三十秒的討告
[00:04:12.000 --> 00:04:14.000]  你想借這篇詩篇
[00:04:14.000 --> 00:04:16.000]  這篇的討文
[00:04:16.000 --> 00:04:18.000]  或者這一句的宣告
[00:04:18.000 --> 00:04:20.000]  想楊牧師
[00:04:20.000 --> 00:04:22.000]  或者聖靈
[00:04:22.000 --> 00:04:24.000]  想我們學什麼功課呢
[00:04:24.000 --> 00:04:26.000]  我們一起讀兩次
[00:04:26.000 --> 00:04:28.000]  一邊讀一邊想一想
[00:04:28.000 --> 00:04:30.000]  1230
[00:04:30.000 --> 00:04:32.000]  激烈寄居的提詩給人
[00:04:32.000 --> 00:04:34.000]  以利亞對阿哈說
[00:04:34.000 --> 00:04:36.000]  我指著所侍奉永生耶和
[00:04:36.000 --> 00:04:38.000]  以色列的起神
[00:04:38.000 --> 00:04:40.000]  這幾年
[00:04:40.000 --> 00:04:42.000]  我若不討告
[00:04:42.000 --> 00:04:44.000]  必不降路
[00:04:44.000 --> 00:04:46.000]  如果以利亞不討告
[00:04:46.000 --> 00:04:48.000]  就不會降路
[00:04:48.000 --> 00:04:50.000]  不下雨
[00:04:50.000 --> 00:04:52.000]  聖若我們安靜的時候
[00:04:52.000 --> 00:04:54.000]  這篇詩篇
[00:04:54.000 --> 00:04:56.000]  這篇詩篇
[00:04:56.000 --> 00:04:58.000]  這一篇詩就講到
[00:04:58.000 --> 00:05:00.000]  以利亞對阿哈說
[00:05:00.000 --> 00:05:02.000]  我指著所侍奉永生耶和
[00:05:02.000 --> 00:05:04.000]  以色列的起神
[00:05:04.000 --> 00:05:06.000]  這幾年
[00:05:06.000 --> 00:05:08.000]  我若不討告
[00:05:08.000 --> 00:05:10.000]  必不降路
[00:05:10.000 --> 00:05:12.000]  如果以利亞不討告
[00:05:12.000 --> 00:05:14.000]  我們安靜的時候
[00:05:14.000 --> 00:05:16.000]  這一句的信息
[00:05:16.000 --> 00:05:18.000]  提醒我們我們是寄居
[00:05:18.000 --> 00:05:20.000]  提醒我們有宣告
[00:05:20.000 --> 00:05:22.000]  提醒我們如果不討告
[00:05:22.000 --> 00:05:24.000]  生命就可能
[00:05:24.000 --> 00:05:26.000]  就是這樣
[00:05:26.000 --> 00:05:28.000]  求主真正帶領我們
[00:05:28.000 --> 00:05:30.000]  讓我們能夠明白
[00:05:30.000 --> 00:05:32.000]  禰的話和說話
[00:05:32.000 --> 00:05:34.000]  奉耶穌的名
[00:05:34.000 --> 00:05:36.000]  阿們
[00:05:36.000 --> 00:05:38.000]  在這個
[00:05:38.000 --> 00:05:40.000]  很簡單一個
[00:05:40.000 --> 00:05:42.000]  聖經的一個經節
[00:05:42.000 --> 00:05:44.000]  當我靈修在思想的時候
[00:05:44.000 --> 00:05:46.000]  很容易帶過這個經節
[00:05:46.000 --> 00:05:48.000]  但是聖靈提醒我這個經節裡面
