
[00:00:00.000 --> 00:00:02.240]  我們今天講到的題目
[00:00:02.240 --> 00:00:04.720]  大家看到題目很簡單
[00:00:04.720 --> 00:00:05.740]  "喜樂"
[00:00:05.740 --> 00:00:07.020]  這個題目很簡單
[00:00:07.020 --> 00:00:10.540]  大家信主的信徒應該都不陌生
[00:00:10.540 --> 00:00:13.200]  "喜樂"是我們經常說的
[00:00:13.200 --> 00:00:14.000]  "喜樂"
[00:00:14.000 --> 00:00:17.780]  為什麼引發我講這個主題呢?
[00:00:17.780 --> 00:00:20.380]  其實因為剛剛對上的查經班
[00:00:20.380 --> 00:00:23.120]  我們正在查經《約翰一書》
[00:00:23.120 --> 00:00:24.340]  查的時候
[00:00:24.340 --> 00:00:26.740]  查了第一章
[00:00:26.740 --> 00:00:31.340]  當中提到有"喜樂"這個詞
[00:00:31.340 --> 00:00:34.620]  當時因為整章地查
[00:00:34.620 --> 00:00:36.420]  我沒有特別去講"喜樂"
[00:00:36.420 --> 00:00:38.920]  現在補充一下
[00:00:38.920 --> 00:00:40.220]  關乎這個"喜樂"
[00:00:40.220 --> 00:00:41.620]  我們要多去思考
[00:00:41.620 --> 00:00:43.680]  這個"喜樂"是什麼東西
[00:00:43.680 --> 00:00:45.900]  所以第一個引用的經文
[00:00:45.900 --> 00:00:50.540]  就是《約翰一書》一章的一至四節
[00:00:50.540 --> 00:00:52.800]  大家看到經文
[00:00:52.800 --> 00:00:56.820]  我們也一起讀一次
[00:00:56.820 --> 00:00:58.600]  1、2、3
[00:01:22.800 --> 00:01:46.520]  最重要是最後那幾個字
[00:01:46.520 --> 00:01:49.100]  使你們的"喜樂"充足
[00:01:49.100 --> 00:01:50.640]  所以我們要看看
[00:01:50.640 --> 00:01:53.460]  這個"喜樂"是什麼東西呢?
[00:01:53.460 --> 00:02:00.100]  你留意到《約翰一書》一開始說了這麼多的話
[00:02:00.100 --> 00:02:01.260]  有一個目的
[00:02:01.260 --> 00:02:04.280]  目的就是最後那幾個字說出來了
[00:02:04.280 --> 00:02:07.060]  使你們的"喜樂"充足
[00:02:07.060 --> 00:02:09.100]  就是說他寫這麼多東西
[00:02:09.100 --> 00:02:10.760]  是想達到這個目的
