
[00:00:00.000 --> 00:00:05.000]  今日的講題是《浴火重生的見證》
[00:00:05.000 --> 00:00:08.500]  《浴火重生》其實是有個典故的
[00:00:08.500 --> 00:00:14.500]  相傳鳳凰是人世間的幸福使者
[00:00:14.500 --> 00:00:16.500]  它每五百年
[00:00:16.500 --> 00:00:22.500]  就會背負著人世間所有的痛苦、仇恨
[00:00:22.500 --> 00:00:26.500]  以自己的身軀投身在紅紅烈火裏面
[00:00:26.500 --> 00:00:30.500]  來自焚
[00:00:30.500 --> 00:00:32.500]  它這樣做是要以自己的生命
[00:00:32.500 --> 00:00:37.000]  來換取人世間的祥和和幸福
[00:00:37.000 --> 00:00:41.500]  而鳳凰經歷過烈火焚身之後
[00:00:41.500 --> 00:00:46.500]  它亦能夠以一個更好的身軀來重生
[00:00:46.500 --> 00:00:51.500]  這就是鳳凰浴火重生的傳說
[00:00:51.500 --> 00:00:57.500]  而浴火重生亦是要來自經歷煎熬、考驗
[00:00:57.500 --> 00:00:59.500]  然後獲得新生
[00:00:59.500 --> 00:01:05.500]  生命去到一個更高、更理想的境界
[00:01:05.500 --> 00:01:08.500]  我們基督徒在今時今日這個世代
[00:01:08.500 --> 00:01:10.500]  都面對不少的挑戰
[00:01:10.500 --> 00:01:17.500]  最近世界各地都有很多天災人禍
[00:01:17.500 --> 00:01:22.500]  有接二連三的空難
[00:01:22.500 --> 00:01:27.500]  有高雄的氣體爆炸
[00:01:27.500 --> 00:01:33.500]  這個是昆山市的粉塵爆炸
[00:01:33.500 --> 00:01:37.500]  還有是以巴衝突
[00:01:37.500 --> 00:01:41.500]  伊波拉病毒
[00:01:41.500 --> 00:01:47.500]  還有雲南腦電的6.5級地震
[00:01:47.500 --> 00:01:54.500]  浙江省的教會被政府強拆
[00:01:54.500 --> 00:01:57.500]  這些都好像比較遠一些
[00:01:57.500 --> 00:01:59.500]  再近身的
[00:01:59.500 --> 00:02:03.500]  我們香港最近都因為政制的爭議
[00:02:03.500 --> 00:02:06.500]  引起了不少的爭論
[00:02:06.500 --> 00:02:09.500]  甚至帶來社會的撕裂
[00:02:09.500 --> 00:02:12.500]  這些天災人禍
[00:02:12.500 --> 00:02:17.500]  加上我們自身面對不少的困難和挑戰
[00:02:17.500 --> 00:02:20.500]  可謂百上加斤
[00:02:20.500 --> 00:02:25.500]  可能大家的心情都會有些沉重
[00:02:25.500 --> 00:02:28.500]  到底我們作為基督徒在這個世代
[00:02:28.500 --> 00:02:31.500]  在面對這麼多的困難和挑戰的時候
[00:02:31.500 --> 00:02:34.500]  我們又怎樣可以像鳳凰一樣
[00:02:34.500 --> 00:02:38.500]  經歷患難、經歷痛苦之後
[00:02:38.500 --> 00:02:40.500]  可以提升自己的生命呢?
[00:02:40.500 --> 00:02:43.500]  今天我想和大家一起去看看
[00:02:43.500 --> 00:02:45.500]  貼薩羅尼加後書的第一章
[00:02:45.500 --> 00:02:48.500]  其實過去幾個星期
[00:02:48.500 --> 00:02:52.500]  都有幾位教務人士和我們講了貼薩羅尼加前書
[00:02:52.500 --> 00:02:55.500]  今天開始我會講後書
[00:02:55.500 --> 00:02:58.500]  其實貼薩羅尼加教會
[00:02:58.500 --> 00:03:02.500]  都是一間正在經歷大患難的教會
[00:03:02.500 --> 00:03:06.500]  我們來看看保羅對他們有什麼勉勵和教導
[00:03:06.500 --> 00:03:12.500]  首先我想和大家重溫貼薩羅尼加教會的背景
[00:03:12.500 --> 00:03:17.500]  保羅在進行第二次宣教旅程的時候
[00:03:17.500 --> 00:03:20.500]  建立了貼薩羅尼加教會
[00:03:20.500 --> 00:03:27.500]  起初他在貼薩羅尼加傳福音
[00:03:27.500 --> 00:03:29.500]  帶了不少人來信主
[00:03:29.500 --> 00:03:32.500]  但是在那裡他又面對很多的攻擊
[00:03:32.500 --> 00:03:37.500]  有一些不信的猶太人起來攻擊他
[00:03:37.500 --> 00:03:40.500]  並且煽動暴亂
[00:03:40.500 --> 00:03:44.500]  保羅要落荒而逃
[00:03:44.500 --> 00:03:46.500]  走到哥林多那裡
[00:03:46.500 --> 00:03:48.500]  這裡就是貼薩羅尼加
[00:03:48.500 --> 00:03:50.500]  他就走到哥林多
[00:03:50.500 --> 00:03:54.500]  他離開了貼薩羅尼加之後
[00:03:54.500 --> 00:03:56.500]  他就很放心不下
[00:03:56.500 --> 00:03:59.500]  因為貼薩羅尼加的教會剛剛開始
[00:03:59.500 --> 00:04:01.500]  那裡的福音工作剛剛開始
[00:04:01.500 --> 00:04:04.500]  他就很記掛那裡的信徒
[00:04:04.500 --> 00:04:06.500]  不知道他們的情況是怎樣
[00:04:06.500 --> 00:04:12.500]  於是他就差派提摩泰去貼薩羅尼加探訪
[00:04:12.500 --> 00:04:16.500]  看看那裡信徒的情況是怎樣
[00:04:16.500 --> 00:04:19.500]  並且是兼顧他們的信心
[00:04:19.500 --> 00:04:23.500]  沒多久之後提摩泰就回來
[00:04:23.500 --> 00:04:26.500]  並且帶回很好的消息
[00:04:26.500 --> 00:04:29.500]  就是原來貼薩羅尼加的信徒
[00:04:29.500 --> 00:04:32.500]  不單是信心兼顧
[00:04:32.500 --> 00:04:35.500]  他們也很記掛保羅
[00:04:35.500 --> 00:04:37.500]  保羅非常高興
[00:04:37.500 --> 00:04:40.500]  於是就寫下貼薩羅尼加前書
[00:04:40.500 --> 00:04:42.500]  為他們感恩
[00:04:42.500 --> 00:04:45.500]  並且他也從提摩泰那裡聽到
[00:04:45.500 --> 00:04:48.500]  一些關於當時貼薩羅尼加教會
[00:04:48.500 --> 00:04:50.500]  他們正面對的問題
[00:04:50.500 --> 00:04:52.500]  於是他就著這些問題
[00:04:52.500 --> 00:04:56.500]  作出指引和教導
[00:04:56.500 --> 00:05:00.500]  他寫了前書之後
[00:05:00.500 --> 00:05:05.500]  發覺這些問題似乎還未完全改善
[00:05:05.500 --> 00:05:09.500]  於是沒多久之後他又寫了後書
[00:05:09.500 --> 00:05:13.500]  加上當時有一些人在信徒裡面
[00:05:13.500 --> 00:05:17.500]  傳一些虛假的信息誤導他們
[00:05:17.500 --> 00:05:22.500]  所以保羅就再寫後書來澄清
[00:05:22.500 --> 00:05:27.500]  並且當時教會的情況比之前更加嚴峻
[00:05:27.500 --> 00:05:30.500]  他們所面對的患難更大
[00:05:30.500 --> 00:05:32.500]  所以保羅就藉著後書
[00:05:32.500 --> 00:05:35.500]  再一次去兼顧他們的信心
[00:05:35.500 --> 00:05:38.500]  在這樣的背景裡
[00:05:38.500 --> 00:05:42.500]  我們看到貼薩羅尼加所面對的患難不少
[00:05:42.500 --> 00:05:44.500]  所以在第一章裡
[00:05:44.500 --> 00:05:49.500]  「患難」這個字也是這章重要的主題
[00:05:49.500 --> 00:05:53.500]  在這一章裡我們可以看看
[00:05:53.500 --> 00:05:55.500]  保羅對他們有什麼教導
