
[00:00:00.000 --> 00:00:02.560]  在正道之前我們同心祈禱
[00:00:30.000 --> 00:00:43.840]  今天是一月九日
[00:00:43.840 --> 00:00:45.040]  好像時光倒流一樣
[00:00:45.040 --> 00:00:47.120]  因為疫情急轉直下
[00:00:47.120 --> 00:00:50.680]  教會所有的聚會轉為網上來舉行
[00:00:50.680 --> 00:00:52.480]  回想一年之前
[00:00:52.480 --> 00:00:55.880]  我們聖誕節的平安夜都是錄播
[00:00:55.880 --> 00:01:00.440]  感恩今年的聖誕節活動可以現場進行
[00:01:00.440 --> 00:01:02.200]  特別是平安夜晚會
[00:01:02.200 --> 00:01:05.240]  我們有超過二百五十人在現場參加
[00:01:05.240 --> 00:01:09.120]  感謝每位參與的弟兄姊妹和同工
[00:01:09.120 --> 00:01:11.240]  過往一段時間
[00:01:11.240 --> 00:01:16.280]  我都會收到一封由自己寄出的信
[00:01:16.280 --> 00:01:17.680]  打開的時候
[00:01:17.680 --> 00:01:22.200]  打開這封信都有一種違和的感覺
[00:01:22.200 --> 00:01:26.000]  這封信的字這麼難看
[00:01:26.000 --> 00:01:28.680]  就證明是我寫的
[00:01:28.680 --> 00:01:32.120]  但我何時寄過這封信呢?
[00:01:32.120 --> 00:01:34.800]  為何會收到這封自己寄出的信呢?
[00:01:34.800 --> 00:01:38.440]  見到信件的日期
[00:01:38.440 --> 00:01:40.560]  即是會寫何時寫的
[00:01:40.560 --> 00:01:44.720]  封鎖的記憶突然解封
[00:01:44.720 --> 00:01:48.400]  一切的謎底已經解開
[00:01:48.400 --> 00:01:53.240]  回到左手定律,一切的謎底已經解開
[00:01:53.240 --> 00:02:02.200]  原來是上年團契年頭的周會納字的時候寫的
[00:02:02.200 --> 00:02:03.480]  周會的活動
[00:02:03.480 --> 00:02:07.480]  即是過往的團契都會在年頭納字
[00:02:07.480 --> 00:02:09.720]  在今年裏面有甚麼納字
[00:02:09.720 --> 00:02:11.560]  想做些甚麼
[00:02:11.560 --> 00:02:15.280]  嘩!讀整本聖經一次
[00:02:15.280 --> 00:02:19.560]  向三位的家人或同事或向人傳福音
[00:02:19.560 --> 00:02:20.520]  帶領人
[00:02:20.520 --> 00:02:22.280]  帶三個人信耶穌
[00:02:22.280 --> 00:02:24.680]  這麼有膽量寫三個
[00:02:24.680 --> 00:02:28.600]  要回教會祈禱會
[00:02:28.600 --> 00:02:33.240]  為何每次都是勇於納字
[00:02:33.240 --> 00:02:34.960]  二月還好好的
[00:02:34.960 --> 00:02:36.440]  因為一月寫的
[00:02:36.440 --> 00:02:38.960]  到三月就慢慢淡忘
[00:02:38.960 --> 00:02:41.520]  到六月已經失憶
[00:02:41.520 --> 00:02:44.920]  原來我都忘記自己曾經有這樣的納字
[00:02:44.920 --> 00:02:47.360]  讀經都不能出埃及
[00:02:47.360 --> 00:02:51.120]  與以色列人迷失在曠野裏面
[00:02:51.120 --> 00:02:53.760]  願意透過今天仕途補羅
[00:02:53.760 --> 00:02:57.360]  在菲勒比書表露的心跡
[00:02:57.360 --> 00:03:03.320]  去彼此勸勉忘記背後努力面前
[00:03:03.320 --> 00:03:04.840]  我們今年應該是
[00:03:04.840 --> 00:03:06.120]  在我們今年一月九日
[00:03:06.120 --> 00:03:07.160]  都依然是新年
[00:03:07.160 --> 00:03:08.400]  依然是年頭
[00:03:08.400 --> 00:03:10.960]  我們怎樣來納字好呢?
[00:03:10.960 --> 00:03:15.360]  以往傳福音的時間經常被人問這個問題
[00:03:15.360 --> 00:03:17.960]  其中一個常見的問題就是
[00:03:17.960 --> 00:03:20.840]  不想為了上天堂而上耶穌
[00:03:20.840 --> 00:03:22.880]  因為覺得很事愧
[00:03:22.880 --> 00:03:23.480]  亦有人問
[00:03:23.480 --> 00:03:26.080]  如果信耶穌是一個白白的恩典
[00:03:26.080 --> 00:03:26.880]  不需要行為
[00:03:26.880 --> 00:03:31.120]  那為何我們不可以做壞事呢?
[00:03:31.120 --> 00:03:34.480]  享受人生到臨死之前才信
[00:03:34.480 --> 00:03:36.360]  這樣就最佳了
[00:03:36.360 --> 00:03:38.880]  如果信耶穌是因為恩信清義
[00:03:38.880 --> 00:03:43.680]  為何教會仍然要求信徒要有好行為?
[00:03:43.680 --> 00:03:46.000]  好行為有甚麼作用?
[00:03:46.000 --> 00:03:46.880]  更加有人問
[00:03:46.880 --> 00:03:50.280]  為何有人自稱信耶穌
[00:03:50.280 --> 00:03:53.840]  他的行為比那些未信的還要差?
[00:03:53.840 --> 00:03:55.200]  我的回應是
[00:03:55.200 --> 00:03:59.160]  如果信耶穌只是單單為了上天堂
[00:03:59.160 --> 00:04:01.360]  為何神不在我們相信的時間
[00:04:01.360 --> 00:04:04.320]  就已經將我們接去?
[00:04:04.320 --> 00:04:07.240]  我們就不用在世上捱苦
[00:04:07.240 --> 00:04:12.080]  為何要等到脖子都長了?
[00:04:12.080 --> 00:04:14.520]  明顯我們是存留在神上面
[00:04:14.520 --> 00:04:17.080]  有一個重要的任務
[00:04:17.080 --> 00:04:19.080]  有特殊的意義
[00:04:19.080 --> 00:04:21.600]  臨死才信耶穌這個想法
[00:04:21.600 --> 00:04:27.720]  將現在和永恆分隔開
[00:04:27.720 --> 00:04:29.640]  沒有想過今天的生活
[00:04:29.640 --> 00:04:32.280]  是為了永恆來做準備
[00:04:32.280 --> 00:04:34.440]  當我們接受耶穌的時間
[00:04:34.440 --> 00:04:37.120]  帶來了生命的改變
[00:04:37.120 --> 00:04:38.840]  不過改變的力度
[00:04:38.840 --> 00:04:43.440]  是視乎我們向神開放的程度
[00:04:43.440 --> 00:04:46.440]  和我們追求的目標
[00:04:46.440 --> 00:04:50.600]  我們要勇於去承認自己不足
[00:04:50.600 --> 00:04:53.920]  作為一個有信仰的人
[00:04:53.920 --> 00:04:56.840]  甚麼是我們一生追求的目標?
[00:04:56.840 --> 00:04:58.280]  今天分享的經文
[00:04:58.280 --> 00:05:00.280]  使徒保祿非常謙卑
[00:05:00.280 --> 00:05:03.680]  他強調自己不完全
[00:05:03.680 --> 00:05:08.880]  不是已經達到所追求的境界
[00:05:08.880 --> 00:05:11.320]  經文開始的時間
[00:05:11.320 --> 00:05:12.800]  保祿說了兩次
[00:05:12.800 --> 00:05:14.920]  他說「這不是我已經得著了」
[00:05:14.920 --> 00:05:16.560]  不如說「我已經得著了」
[00:05:16.560 --> 00:05:19.280]  已經完全了
[00:05:19.280 --> 00:05:20.000]  弟兄們
[00:05:20.000 --> 00:05:25.240]  我不是以為已經得著了
[00:05:25.240 --> 00:05:27.040]  好像你聽到說
[00:05:27.040 --> 00:05:29.640]  何詩蓓說不懂游泳
[00:05:29.640 --> 00:05:31.800]  周潤發說不懂演戲
[00:05:31.800 --> 00:05:34.400]  李慧詩說不懂踩單車
[00:05:34.400 --> 00:05:36.760]  你別說笑了
[00:05:36.760 --> 00:05:38.600]  假如這番話是出自其他人
[00:05:38.600 --> 00:05:40.120]  我們都可以理解
[00:05:40.120 --> 00:05:43.840]  但竟然是出自徒保祿的口中
[00:05:43.840 --> 00:05:45.560]  我們就覺得很奇怪
[00:05:45.560 --> 00:05:47.880]  因為保祿還未信主之前
[00:05:47.880 --> 00:05:50.600]  已經是一個很成功
[00:05:50.600 --> 00:05:53.840]  或者是一個表現很優異的人
