
[00:00:00.000 --> 00:00:03.000]  如果我們和上帝有了這個恩約
[00:00:03.000 --> 00:00:06.000]  我們沒有這個呼召
[00:00:06.000 --> 00:00:09.000]  或者沒有回應那個邀請
[00:00:09.000 --> 00:00:12.000]  我們的恩約就是懸空
[00:00:12.000 --> 00:00:15.000]  是完全沒有實行
[00:00:15.000 --> 00:00:17.000]  沒有任何真實經驗的
[00:00:17.000 --> 00:00:19.000]  在東正教
[00:00:19.000 --> 00:00:23.000]  他們的神學家很重視這一點
[00:00:23.000 --> 00:00:26.000]  譬如說一個在哈佛大學
[00:00:26.000 --> 00:00:31.000]  教了一輩子的叫George Prosky
[00:00:31.000 --> 00:00:34.000]  這個東正教的神學家
[00:00:34.000 --> 00:00:37.000]  他很看重罪惡的消滅力量
[00:00:37.000 --> 00:00:44.000]  他認為上帝是從無而做我們的萬有
[00:00:44.000 --> 00:00:50.000]  但是當上帝因著我們人的罪
[00:00:50.000 --> 00:00:53.000]  不能夠和我們有份而離棄我們人
[00:00:53.000 --> 00:00:57.000]  人就在一個重新的威脅
[00:00:57.000 --> 00:01:01.000]  就會叫萬有怎樣由無有而來
[00:01:01.000 --> 00:01:05.000]  會因為罪而重墮萬有
[00:01:05.000 --> 00:01:09.000]  重墮萬有我們的世界就玩完了
[00:01:09.000 --> 00:01:12.000]  但是上帝是不能夠容許罪惡
[00:01:12.000 --> 00:01:16.000]  是有最後的死或者最後的勝利
[00:01:16.000 --> 00:01:23.000]  所以他雖然知道他和人立的約
[00:01:23.000 --> 00:01:28.000]  他是給人有最大的自主權
[00:01:28.000 --> 00:01:33.000]  但是人是有可能忘記和完全廢掉了
[00:01:33.000 --> 00:01:36.000]  他救贖的大恩
[00:01:36.000 --> 00:01:38.000]  所以他是藉著他的兒子
[00:01:38.000 --> 00:01:41.000]  來為人預備一個出路
[00:01:41.000 --> 00:01:43.000]  而這個出路是真實的
[00:01:43.000 --> 00:01:50.000]  原來在我們和上帝這種立約的關係
[00:01:50.000 --> 00:01:56.000]  有人就說我們是一個被動的
[00:01:56.000 --> 00:01:58.000]  我們是一個犯罪的人
[00:01:58.000 --> 00:02:00.000]  所以我們能不能夠站起來
[00:02:00.000 --> 00:02:01.000]  是上帝的恩典
[00:02:01.000 --> 00:02:06.000]  不能夠站起來都沒得好爭辯的
[00:02:06.000 --> 00:02:12.000]  特別是在極端的嘉義文教派的人裏面
[00:02:12.000 --> 00:02:15.000]  上帝要將你造成為地獄的柴
[00:02:15.000 --> 00:02:17.000]  你有什麼權去反對
[00:02:17.000 --> 00:02:22.000]  這種的神樂是不被教會普遍接納的
[00:02:22.000 --> 00:02:25.000]  我們教會接納的是怎樣的
[00:02:25.000 --> 00:02:27.000]  我們說我們和上帝的關係
[00:02:27.000 --> 00:02:30.000]  雖然我們是一個犯罪被救贖
