
[00:00:00.000 --> 00:00:04.480]  多謝炳弘執事 為我介紹今天的題目
[00:00:04.480 --> 00:00:10.160]  今天的題目我專門講一些內容 讓大家覺得年輕一點
[00:00:10.160 --> 00:00:14.520]  我發現原來現在定一些講題都沒有那麼傳統
[00:00:14.520 --> 00:00:19.200]  可能就這樣講 我們怎樣祈禱 或者祈禱是甚麼
[00:00:19.200 --> 00:00:22.160]  可能大家都覺得以後要聽過
[00:00:22.160 --> 00:00:25.240]  突然之間我想過 為甚麼有時候祈禱
[00:00:25.240 --> 00:00:31.000]  好像祈願都沒有改變 是否祈禱不可行呢
[00:00:31.000 --> 00:00:34.400]  有時候我們可能對祈禱有些錯誤的觀念
[00:00:34.400 --> 00:00:36.000]  上星期炳弘執事講到
[00:00:36.000 --> 00:00:43.680]  我們將祈禱當作先跟皇帝 或者先跟觀音去講話
[00:00:43.680 --> 00:00:48.640]  如果我們對祈禱的觀念錯誤 祈禱就不可行
[00:00:48.640 --> 00:00:51.760]  其實再想多些 是否祈禱要可行呢
[00:00:51.760 --> 00:00:54.360]  好像很果效 祈禱要有果效嗎
[00:00:54.360 --> 00:00:58.440]  我們要祈禱 要有東西看才叫祈禱
[00:00:58.440 --> 00:01:01.120]  或者天父都不回應我的祈禱
[00:01:01.120 --> 00:01:08.360]  是否祂不回應你的想法 不是上帝沒有回應你呢
[00:01:08.360 --> 00:01:12.000]  接著我有五件事 都是有搜羅一些
[00:01:12.000 --> 00:01:17.880]  在網上或者弟兄姊妹在祈禱中未必太正確的觀念
[00:01:17.880 --> 00:01:22.520]  首先我們有時會覺得祈禱是一種交易
[00:01:22.520 --> 00:01:27.200]  意思是我們向天父祈禱 表達了我們的需要
[00:01:27.200 --> 00:01:33.200]  或者我們所求 天父就會照單傳授和照辦
[00:01:33.200 --> 00:01:39.840]  忘記天父有祂的主權 有祂的計劃 有祂的旨意
[00:01:39.840 --> 00:01:42.080]  又或者我們將祈禱用一種形式
[00:01:42.080 --> 00:01:45.560]  好像例行公事一樣 吃飯前祈禱
[00:01:45.560 --> 00:01:49.720]  早上起床祈禱 臨睡前祈禱 交功課
[00:01:49.720 --> 00:01:54.840]  你有沒有想過 其實祈禱是你一個很寶貴的時間
[00:01:54.840 --> 00:02:01.320]  和天父和耶穌一個很深的交流的時間
[00:02:01.320 --> 00:02:03.200]  有時我們會覺得祈禱是單向的
[00:02:03.200 --> 00:02:07.800]  好像我們在猛進地說話 猛進地向神說話
[00:02:07.800 --> 00:02:13.880]  但其實再盡心地祈禱 我們可以有淨土的時間
[00:02:13.880 --> 00:02:19.560]  淨土的時候就是聆聽上帝的聖靈回應我們
[00:02:19.560 --> 00:02:23.920]  有些心意或聲音 要在安靜的時候
[00:02:23.920 --> 00:02:27.800]  如我剛才所說 要安靜禱告 要知道祢是神
[00:02:27.800 --> 00:02:31.160]  我們才能夠聽到上帝和我們的說話
[00:02:31.160 --> 00:02:35.520]  原來祈禱可以有一個低落 是一個交淡的時間
[00:02:35.520 --> 00:02:40.080]  或者我們會覺得 祈禱主要是我們越長
[00:02:40.080 --> 00:02:44.760]  用多些次數 或者我們用一個很靚的禱文
[00:02:44.760 --> 00:02:46.760]  或者找一些很勁的人祈禱
[00:02:46.760 --> 00:02:51.600]  通宵祈禱會 清晨祈禱 祈禱有力量的
[00:02:51.600 --> 00:02:55.800]  這個力量究竟是取決於這些形式 這些方法
[00:02:55.800 --> 00:03:00.400]  還是取決於你那份真誠的信心和信賴
[00:03:00.400 --> 00:03:04.120]  最後我們很多時會覺得
[00:03:04.120 --> 00:03:08.040]  上帝為何不按照我的旨意去回應
[00:03:08.040 --> 00:03:09.880]  我們不是要上帝按照我們的旨意
[00:03:09.880 --> 00:03:11.400]  而是按照神的旨意
[00:03:11.400 --> 00:03:15.200]  神有一個時間 有一個方式 我們是忽略了
[00:03:15.200 --> 00:03:18.600]  這些錯誤的觀念 就令我們覺得祈禱不可行
[00:03:18.600 --> 00:03:19.800]  當你覺得祈禱不可行的時候
[00:03:19.800 --> 00:03:23.000]  你就會覺得 祈禱很累 很辛苦 很沉悶
[00:03:23.000 --> 00:03:24.360]  或者很沒意思
[00:03:24.360 --> 00:03:26.200]  那你就更加不祈禱
[00:03:26.200 --> 00:03:29.240]  所以今天很想帶出一個正面的訊息就是
[00:03:29.240 --> 00:03:33.360]  當你一個正確的祈禱觀念 不是會不會可行
[00:03:33.360 --> 00:03:36.000]  是你有一個合神心意的禱告
[00:03:36.000 --> 00:03:37.480]  有一個合神心意的禱告
[00:03:37.480 --> 00:03:41.440]  你就會覺得 祈禱其實是給你一份很精彩
[00:03:41.440 --> 00:03:45.840]  你和上帝相會的時候 和經歷上帝帶領的時候
[00:03:45.840 --> 00:03:49.400]  這一刻 我們都用一個正確的祈禱觀念去禱告
[00:03:49.400 --> 00:03:53.560]  將這些堂道 我們一起交上 求主帶領
[00:03:53.560 --> 00:03:55.520]  七位天父 我們仰望你
[00:03:55.520 --> 00:03:57.280]  求你開我們眾人的心
[00:03:57.280 --> 00:03:58.880]  開我們的耳朵
[00:03:58.880 --> 00:04:01.160]  讓我們去聆聽你的話語
[00:04:01.160 --> 00:04:03.120]  讓我們正確相信知道
[00:04:03.120 --> 00:04:06.320]  我們相信的是神你的道 神你的話語
[00:04:06.320 --> 00:04:09.480]  求聖你這一刻就臨在眾人當中
[00:04:09.480 --> 00:04:13.440]  我又將自己作為上帝流通的館子也交上
[00:04:13.440 --> 00:04:15.960]  讓我降服在上帝你的話語之下
[00:04:15.960 --> 00:04:20.240]  按照你聖經的真理真道去宣講
[00:04:20.240 --> 00:04:23.800]  以致我們能夠明白真道 並且活出真理
[00:04:23.800 --> 00:04:27.720]  求主帶領 禱告奉耶穌基督名求
[00:04:27.720 --> 00:04:31.840]  多謝炳弘執事帶領我們去看今天的經文
[00:04:31.840 --> 00:04:34.560]  《老家福音》第十一章 一四十三節
[00:04:34.560 --> 00:04:36.640]  都是一段耶穌教導門號的經文
[00:04:36.640 --> 00:04:38.360]  為什麼會有這段經文出現呢
[00:04:38.360 --> 00:04:40.480]  第一節就講了背景
[00:04:40.480 --> 00:04:44.680]  耶穌事實上是一個禱告的人
[00:04:44.680 --> 00:04:47.520]  當門徒看到耶穌禱告完結
[00:04:47.520 --> 00:04:52.120]  哇 耶穌的祈禱很棒 很想學耶穌
[00:04:52.120 --> 00:04:54.720]  這很正常 門徒當然要學耶穌
[00:04:54.720 --> 00:04:56.800]  但門徒就跟耶穌說
[00:04:56.800 --> 00:04:59.040]  主啊 求祢教導我們禱告
[00:04:59.040 --> 00:05:00.200]  怎樣教
[00:05:00.200 --> 00:05:04.040]  像約翰教導他的門徒一樣
[00:05:04.040 --> 00:05:05.760]  他們不知道怎樣教
[00:05:05.760 --> 00:05:07.800]  最好像約翰那樣教 約翰怎樣教呢
[00:05:07.800 --> 00:05:11.960]  約翰可能會用土文去教門徒去禱告
[00:05:11.960 --> 00:05:13.560]  耶穌真的有求必應
[00:05:13.560 --> 00:05:14.960]  耶穌第二節就說
[00:05:14.960 --> 00:05:16.560]  你門禱告的時候要說
[00:05:16.560 --> 00:05:18.680]  父啊 願人都尊你的名為聖
[00:05:18.680 --> 00:05:20.600]  這裡不用讀了 大家都知道在哪裡
[00:05:20.600 --> 00:05:22.440]  主土文嘛 是不是
[00:05:22.440 --> 00:05:24.120]  我們很多時候就會覺得
[00:05:24.120 --> 00:05:26.720]  最重要是有一些土文
[00:05:26.720 --> 00:05:29.320]  有一些形式讓我們跟著參考
[00:05:29.320 --> 00:05:30.840]  這樣我們就知道怎樣祈禱
[00:05:30.840 --> 00:05:34.840]  其他就跟著別人的方式
[00:05:34.840 --> 00:05:36.800]  其實土文更重要
[00:05:36.800 --> 00:05:40.880]  我沒有時間把一些很好的土文和大家分享
[00:05:40.880 --> 00:05:44.320]  我還是拿回主土文和大家分享
[00:05:44.320 --> 00:05:48.040]  不過其實我們學一些土文的時候
[00:05:48.040 --> 00:05:49.680]  其實是一個初階
[00:05:49.680 --> 00:05:50.800]  好像一些Copybook
[00:05:50.800 --> 00:05:52.680]  大家有寫過這些Copybook嗎
[00:05:52.680 --> 00:05:53.720]  中文怎麼說
[00:05:53.720 --> 00:05:57.480]  手抄本 幼稚園小學會抄書
[00:05:57.480 --> 00:05:59.360]  跟著這樣寫 跟著這樣寫
[00:05:59.360 --> 00:06:00.040]  都重要的
[00:06:00.040 --> 00:06:02.640]  我想剛剛學習開始起步的時候
[00:06:02.640 --> 00:06:03.600]  都有些Copybook
[00:06:03.600 --> 00:06:05.560]  都有些主土文讓我們參考一下
[00:06:05.560 --> 00:06:06.720]  怎樣祈禱
[00:06:06.720 --> 00:06:09.440]  但是慢慢你就要進步下去
[00:06:09.440 --> 00:06:11.600]  就好像教武功一樣
[00:06:11.600 --> 00:06:13.400]  我們學很多招式
[00:06:13.400 --> 00:06:15.160]  但其實招式不是最重要
[00:06:15.160 --> 00:06:16.240]  最重要是什麼
[00:06:16.240 --> 00:06:18.320]  是那個內功心法
[00:06:18.320 --> 00:06:20.200]  你學了招式 你只是跟著招式
[00:06:20.200 --> 00:06:21.560]  你一招式忘記了
[00:06:21.560 --> 00:06:23.800]  就好像後面的東西都忘記了
[00:06:23.800 --> 00:06:26.200]  但你知道祈禱心法之後
[00:06:26.200 --> 00:06:27.640]  你就不用怕忘記招式
[00:06:27.640 --> 00:06:29.840]  因為你已經懂得自己創招式出來
[00:06:29.840 --> 00:06:31.800]  自己去開聲
[00:06:31.800 --> 00:06:34.560]  用你自己的說話去禱告
[00:06:34.560 --> 00:06:36.560]  但是心法最重要
[00:06:36.560 --> 00:06:39.920]  我們回去用我們最傳統的主土文
[00:06:39.920 --> 00:06:42.240]  在《馬帝福音》六章九十三節
[00:06:42.240 --> 00:06:43.840]  我們每次崇拜裡面
[00:06:43.840 --> 00:06:46.120]  都會去重讀
[00:06:46.120 --> 00:06:48.320]  當然我們今天不再細節地
[00:06:48.320 --> 00:06:49.920]  逐節主土文去講
[00:06:49.920 --> 00:06:52.880]  我想帶出主土文有一個很大的大綱
[00:06:52.880 --> 00:06:54.960]  就是三願三求
[00:06:54.960 --> 00:06:56.560]  不知道大家讀了這麼多年主土文
[00:06:56.560 --> 00:06:58.080]  有沒有留意到
[00:06:58.080 --> 00:06:59.400]  這是一個格式
[00:06:59.400 --> 00:07:00.800]  好像Copybook那樣
[00:07:00.800 --> 00:07:03.320]  耶穌將一個祈禱的格式
[00:07:03.320 --> 00:07:04.960]  先告訴門徒
[00:07:04.960 --> 00:07:07.160]  讓他們知道大致上的祈禱
[00:07:07.160 --> 00:07:08.520]  是有這樣的意義
[00:07:08.520 --> 00:07:09.800]  但不是想說
[00:07:09.800 --> 00:07:11.360]  叫大家以後所有的祈禱
[00:07:11.360 --> 00:07:14.120]  都跟著這個方式去抄就行了
[00:07:14.120 --> 00:07:15.840]  我們知道背後的心法
[00:07:15.840 --> 00:07:19.000]  三個願就是願人都尊的名為聖
[00:07:19.000 --> 00:07:20.400]  願你的國降臨
[00:07:20.400 --> 00:07:21.920]  願你的旨意行在地上
[00:07:21.920 --> 00:07:23.280]  如同行在天上
[00:07:23.280 --> 00:07:24.560]  三個求是什麼
[00:07:24.560 --> 00:07:26.720]  就是求今天的飲食
[00:07:26.720 --> 00:07:28.400]  赦免昨日的債
[00:07:28.400 --> 00:07:31.760]  以及為明天不要再遇到試探去祈禱
[00:07:31.760 --> 00:07:33.760]  三個求
[00:07:33.760 --> 00:07:36.720]  我亦都不是細節講逐個求是什麼
[00:07:36.720 --> 00:07:38.640]  第一個心法要留意的
[00:07:38.640 --> 00:07:41.600]  就是耶穌教導門徒祈禱的時候
[00:07:41.600 --> 00:07:42.920]  祂都這樣說過
[00:07:42.920 --> 00:07:45.200]  先求神的國和神的義
[00:07:45.200 --> 00:07:48.040]  這些東西都交給你們了
[00:07:48.040 --> 00:07:49.600]  這句話是什麼意思呢
[00:07:49.600 --> 00:07:50.960]  其實就說出了
[00:07:50.960 --> 00:07:53.600]  祈禱的先後次序
[00:07:53.600 --> 00:07:55.280]  先神的國
[00:07:55.280 --> 00:07:58.160]  後就是你的東西
[00:07:58.160 --> 00:08:00.000]  但先後次序都不是說
[00:08:00.000 --> 00:08:03.560]  先說的一二三四哪有限先
[00:08:03.560 --> 00:08:05.520]  而是說的重要性
[00:08:05.520 --> 00:08:06.840]  其實先後
[00:08:06.840 --> 00:08:09.480]  另一個意思就是重要性
[00:08:09.480 --> 00:08:12.280]  神的國神的義先行
[00:08:12.280 --> 00:08:14.400]  我們要為神的事情
[00:08:14.400 --> 00:08:15.480]  屬靈的事情
[00:08:15.480 --> 00:08:18.280]  多多的禱告應該先行
[00:08:18.280 --> 00:08:19.280]  後面的事情
[00:08:19.280 --> 00:08:20.920]  即是我們個人的需要
[00:08:20.920 --> 00:08:23.080]  是先行的
[00:08:23.080 --> 00:08:25.880]  如果你再看在八大方六章三十三節
[00:08:25.880 --> 00:08:27.200]  前後的經文就會知道
[00:08:27.200 --> 00:08:28.600]  耶穌說什麼
[00:08:28.600 --> 00:08:31.880]  你不要為自己的衣著受煩
[00:08:31.880 --> 00:08:34.320]  不要為你自己的飲食挂淚
[00:08:34.320 --> 00:08:38.400]  天空的飛鳥也不種也不收
[00:08:38.400 --> 00:08:41.800]  地上的百花也常常燦爛
