
[00:00:00.000 --> 00:00:05.620]  好,今天我們繼續去看這個系列裡面最後一個的部分
[00:00:05.620 --> 00:00:09.320]  我們就是去到耶利哥這個地方
[00:00:09.320 --> 00:00:13.060]  因為講到耶利哥的時候,我們大家應該很熟悉了
[00:00:13.060 --> 00:00:15.320]  Jericho,有誰沒有聽過?
[00:00:15.320 --> 00:00:20.520]  因為我們想起這個故事,或者想起這個戰爭
[00:00:20.520 --> 00:00:24.260]  就是約書亞大尼意識別人進入迦南地的時候
[00:00:24.260 --> 00:00:26.160]  第一場的戰爭
[00:00:26.160 --> 00:00:31.240]  耳熟銀牆的一個故事,無論是大人,或者我們主要學的小孩子
[00:00:31.240 --> 00:00:34.280]  都非常熟悉的,約書亞記第六章
[00:00:34.280 --> 00:00:38.320]  如果你有聖經的話,可以翻開去這個地方,在你的手機
[00:00:38.320 --> 00:00:42.360]  先打開約書亞記第六章
[00:00:42.360 --> 00:00:46.160]  其實這個地方
[00:00:46.160 --> 00:00:52.800]  耶利哥,不單止是聖經故事裡面最著名的
[00:00:52.800 --> 00:00:56.260]  也在世界裡面最著名的一個地方
[00:00:56.260 --> 00:01:01.080]  因為有一個所謂世界的文化遺產,UNESCO
[00:01:01.080 --> 00:01:06.680]  定了耶利哥這個地方是世界遺產的其中一部分
[00:01:06.680 --> 00:01:09.740]  所以這個地方,雖然是一個小小的地方
[00:01:09.740 --> 00:01:15.640]  但是非常出名的,因為這個耶利哥的地方
[00:01:15.640 --> 00:01:23.100]  其實是世界上其中一個最古老的城市
[00:01:23.100 --> 00:01:26.100]  最古老的城市,看你跟誰比較
[00:01:26.100 --> 00:01:29.760]  應該是全世界最古老的城市,什麼意思呢?
[00:01:29.760 --> 00:01:34.580]  就是說以前的人,他們是打獵為生,採摘為生
[00:01:34.580 --> 00:01:38.860]  到了某個時間的時候,他們聚居在一起
[00:01:38.860 --> 00:01:42.060]  大家組織所謂城邦,城市
[00:01:42.060 --> 00:01:47.540]  然後有一個中央的機構或者中央的組織
[00:01:47.540 --> 00:01:50.200]  所以他們就在一個地方聚居
[00:01:50.200 --> 00:01:52.040]  建立一些不同的城市
[00:01:52.040 --> 00:01:55.520]  最早建立的城市就是Jericho這個地方
[00:01:55.520 --> 00:01:58.820]  所以今天我們去看看耶利哥這個故事
[00:01:58.820 --> 00:02:02.040]  看看對我們今天有什麼提醒
[00:02:02.040 --> 00:02:03.480]  只有兩點
[00:02:03.480 --> 00:02:06.640]  第一點就是先講講耶利哥
[00:02:06.640 --> 00:02:10.720]  這個小城,古城,或者小鎮古城
[00:02:10.720 --> 00:02:16.120]  第二就是講到這個對我們今天有什麼意義
[00:02:16.120 --> 00:02:18.880]  一個小城,對我們來說
[00:02:18.880 --> 00:02:23.780]  有什麼重大的事情是需要我們留意的
[00:02:23.780 --> 00:02:25.260]  正如我剛才所說
[00:02:25.260 --> 00:02:27.680]  這個地方是一個最古老的城市
[00:02:27.680 --> 00:02:29.960]  為什麼會在這個地方
[00:02:29.960 --> 00:02:32.020]  你想想,荒蕪之地
[00:02:32.020 --> 00:02:35.920]  在那裡有第一個,人類歷史裡面第一個
[00:02:35.920 --> 00:02:40.800]  在主殿一萬年的時候,一萬二千年之前
[00:02:40.800 --> 00:02:42.080]  就有人在那裡聚居
[00:02:42.080 --> 00:02:44.960]  原因就是那裡有一個水泉
[00:02:44.960 --> 00:02:46.920]  後世就叫它做伊利沙泉
[00:02:46.920 --> 00:02:48.400]  你記得伊利沙有一個故事
[00:02:48.400 --> 00:02:52.640]  又是在耶利哥的水泉那裡發生的
[00:02:52.640 --> 00:02:54.680]  所以我們想起耶利哥的時候
[00:02:54.680 --> 00:02:56.320]  我們就想起很多事情
[00:02:56.320 --> 00:02:57.840]  我不知道你構想到什麼
[00:02:57.840 --> 00:03:00.520]  當我們想起聖經裡面說
[00:03:00.520 --> 00:03:02.320]  以色列人攻打耶利哥的時候
[00:03:02.320 --> 00:03:03.600]  第一仗
[00:03:03.600 --> 00:03:07.640]  當時想起小朋友的聖經故事
[00:03:07.640 --> 00:03:09.680]  有時候有些插圖在那裡
[00:03:09.680 --> 00:03:11.640]  這些插圖就是讓我們看到
[00:03:11.640 --> 00:03:15.960]  以色列人圍繞耶利哥走七天
[00:03:15.960 --> 00:03:20.360]  最後城牆便倒塌下來
[00:03:20.360 --> 00:03:22.120]  歌仔有一場
[00:03:22.120 --> 00:03:25.400]  我們想像到一些很高的城牆
[00:03:25.400 --> 00:03:27.800]  很高崇的,很堅實的城牆
[00:03:27.800 --> 00:03:30.920]  然後祭司最後繞成了之後
[00:03:30.920 --> 00:03:32.200]  他們就吹國
