
[00:00:00.000 --> 00:00:03.020]  上星期提到的題目是
[00:00:03.020 --> 00:00:05.020]  除舊迎新
[00:00:05.020 --> 00:00:08.240]  雖然我們都是連題 裝備門徒 迎向挑戰
[00:00:08.240 --> 00:00:09.960]  但我們要除舊迎新
[00:00:09.960 --> 00:00:12.920]  即是要脫去舊人 穿上新人
[00:00:12.920 --> 00:00:14.920]  其實這是我們每一天的選擇
[00:00:14.920 --> 00:00:17.720]  我還記得Winston在祖堂念五堂說
[00:00:17.720 --> 00:00:20.820]  這不單是每一天 可能是每分鐘的抉擇
[00:00:20.820 --> 00:00:22.820]  因為舊我是很舒服的
[00:00:22.820 --> 00:00:25.320]  你習慣了一些舒適
[00:00:25.320 --> 00:00:28.320]  但這些舊我 這些壞習慣
[00:00:28.320 --> 00:00:31.320]  他們會帶來我們與神隔絕
[00:00:31.320 --> 00:00:33.320]  而新我 新人的生命
[00:00:33.320 --> 00:00:36.320]  是需要我們努力去付出 去信服的
[00:00:36.320 --> 00:00:39.320]  但代表我們有一個真正生命的意義和盼望
[00:00:39.320 --> 00:00:42.320]  所以不知道大家在過去一個星期裡面
[00:00:42.320 --> 00:00:45.320]  怎樣實踐這段經文
[00:00:45.320 --> 00:00:48.320]  脫去舊我 穿上新人
[00:00:48.320 --> 00:00:50.320]  還記得張師奶的故事
[00:00:50.320 --> 00:00:52.320]  張師奶去超級市場
[00:00:52.320 --> 00:00:54.320]  人家收少了她的錢
[00:00:54.320 --> 00:00:57.320]  她就當我劫富濟貧 不用再給她
[00:00:57.320 --> 00:01:00.320]  剛剛這個星期我遇到同樣的情況
[00:01:00.320 --> 00:01:02.320]  是我自己的
[00:01:02.320 --> 00:01:04.320]  現在我駕駛電車
[00:01:04.320 --> 00:01:06.320]  電車是充電的
[00:01:06.320 --> 00:01:10.320]  我去商場的停車場充電
[00:01:10.320 --> 00:01:13.320]  星期二在一間長沙灣的停車場充電
[00:01:13.320 --> 00:01:15.320]  你們應該不知道的
