
[00:00:00.000 --> 00:00:02.500]  今天是母親節 我們看到很偉大
[00:00:02.500 --> 00:00:04.000]  母親是非常偉大
[00:00:04.000 --> 00:00:06.700]  坐在你旁邊的女士是一個偉大的女士
[00:00:06.700 --> 00:00:08.700]  跟她說一聲 母親節快樂
[00:00:08.700 --> 00:00:11.700]  多說兩次都不怕的 是不是
[00:00:11.700 --> 00:00:17.100]  我們最近都有一位母親
[00:00:17.100 --> 00:00:18.500]  為了一個行李箱
[00:00:18.500 --> 00:00:21.600]  搞了我們香港十幾天新聞 是不是
[00:00:21.600 --> 00:00:24.700]  是 確實是不簡單的事
[00:00:24.700 --> 00:00:27.700]  我們今天很想藉著一段經文去
[00:00:27.700 --> 00:00:29.700]  不止一段經文 很多段經文
[00:00:29.700 --> 00:00:31.400]  去分享這個題目
[00:00:31.400 --> 00:00:33.400]  究竟是勞碌暴風
[00:00:33.400 --> 00:00:35.400]  還是享受安寧的人生
[00:00:35.400 --> 00:00:38.900]  在傳道書第四章第五到六節這樣說
[00:00:38.900 --> 00:00:41.400]  愚昧人抱著雙臂自食其肉
[00:00:41.400 --> 00:00:43.400]  一掌滿滿而得享安靜
[00:00:43.400 --> 00:00:46.400]  勝過兩掌滿滿而勞碌暴風
[00:00:46.400 --> 00:00:50.900]  猶太人說話很喜歡用圖像或者圖畫
[00:00:50.900 --> 00:00:53.900]  這三節的經文就有三幅圖畫
[00:00:53.900 --> 00:00:55.900]  第一幅圖畫他說
[00:00:55.900 --> 00:00:57.900]  愚昧人抱著雙臂自食其肉
[00:00:57.900 --> 00:01:00.900]  我記得小時候聽過一個故事
[00:01:00.900 --> 00:01:02.900]  有一個老公很懶
[00:01:02.900 --> 00:01:05.900]  老婆要回外家 怕老公餓死
[00:01:05.900 --> 00:01:07.900]  所以做了一個很大的餅
[00:01:07.900 --> 00:01:10.900]  中間的洞就在脖子那裡插進去
[00:01:10.900 --> 00:01:12.900]  老公就睡在床上
[00:01:12.900 --> 00:01:14.900]  她以為她老公尾聲不做事
[00:01:14.900 --> 00:01:16.900]  就這樣吃著吃著那個餅
[00:01:16.900 --> 00:01:18.900]  到她回家 外家回來
[00:01:18.900 --> 00:01:19.900]  有足夠的糧食給他吃
[00:01:19.900 --> 00:01:21.900]  還做大了那個餅
[00:01:21.900 --> 00:01:22.900]  誰不知她回來之後
[00:01:22.900 --> 00:01:25.900]  發現老公真的死了 還是餓死
[00:01:25.900 --> 00:01:28.900]  為什麼呢 因為老公懶得連轉餅都不轉
[00:01:28.900 --> 00:01:30.900]  這段經文說
[00:01:30.900 --> 00:01:34.900]  抱著雙臂自食其肉
[00:01:34.900 --> 00:01:36.900]  這些人真慘
[00:01:36.900 --> 00:01:37.900]  餓死得很慘
[00:01:37.900 --> 00:01:39.900]  回到家裡 兒子餓死了
[00:01:39.900 --> 00:01:42.900]  居然家裡整間屋都是公仔麵
[00:01:42.900 --> 00:01:43.900]  真是很不濟
[00:01:43.900 --> 00:01:45.900]  我們這一代年青那些
[00:01:45.900 --> 00:01:49.900]  你的孫子 兒女 很小的那些
[00:01:49.900 --> 00:01:51.900]  凡是要剝的東西都不吃
[00:01:51.900 --> 00:01:59.900]  蝦不吃 蟹殼也不吃
[00:01:59.900 --> 00:02:01.900]  龍眼也不吃 因為要剝殼
[00:02:01.900 --> 00:02:04.900]  朱古力也不吃 因為要剝籽
[00:02:04.900 --> 00:02:07.900]  所以什麼都要剝好給他吃
[00:02:07.900 --> 00:02:10.900]  這是一個很類近的圖畫
[00:02:10.900 --> 00:02:12.900]  我們看到第二個圖畫
[00:02:12.900 --> 00:02:15.900]  整個兩掌滿滿 而勞碌暴風
[00:02:15.900 --> 00:02:16.900]  是什麼意思呢
[00:02:16.900 --> 00:02:21.900]  就是當你雙手伸開 不斷抓
[00:02:21.900 --> 00:02:23.900]  抓到很多東西
[00:02:23.900 --> 00:02:25.900]  但一放手就沒有了
[00:02:25.900 --> 00:02:27.900]  再抓 放手就沒有了
[00:02:27.900 --> 00:02:30.900]  很勞碌 但最後是暴風
[00:02:30.900 --> 00:02:32.900]  香港人什麼都先拿
[00:02:32.900 --> 00:02:34.900]  所以香港人可以拿兩個護照
[00:02:34.900 --> 00:02:36.900]  三個護照
[00:02:36.900 --> 00:02:38.900]  在香港買樓買不到
[00:02:38.900 --> 00:02:41.900]  就回大陸買一個地方葬自己
[00:02:41.900 --> 00:02:42.900]  香港買不到樓
[00:02:42.900 --> 00:02:45.900]  回大陸買一個葬自己的地方
[00:02:45.900 --> 00:02:48.900]  兒女看看 將來死了就葬那裡
[00:02:48.900 --> 00:02:50.900]  什麼都先拿
[00:02:50.900 --> 00:02:53.900]  你見姐妹去旅行你就明白
[00:02:53.900 --> 00:02:55.900]  什麼都買
[00:02:55.900 --> 00:02:58.900]  我去年才有機會去韓國
[00:02:58.900 --> 00:03:01.900]  我真的明白什麼叫做明洞
[00:03:01.900 --> 00:03:05.900]  很明白它是一個洞
[00:03:05.900 --> 00:03:08.900]  這個洞男人真的踩不下去
[00:03:08.900 --> 00:03:10.900]  男人去到明洞做什麼
[00:03:10.900 --> 00:03:11.900]  你們告訴我
[00:03:11.900 --> 00:03:15.900]  明昆 我們昆明道叫明昆
[00:03:15.900 --> 00:03:17.900]  我們男人去做什麼
[00:03:17.900 --> 00:03:19.900]  我初初想韓國看到三星
[00:03:19.900 --> 00:03:21.900]  為什麼明洞沒有三星
[00:03:21.900 --> 00:03:23.900]  所有都是女人要買的東西
[00:03:23.900 --> 00:03:25.900]  我們男人做什麼 喝咖啡
[00:03:25.900 --> 00:03:28.900]  喝完還沒買完再喝咖啡
[00:03:28.900 --> 00:03:31.900]  喝完還沒買完再繼續喝咖啡
[00:03:31.900 --> 00:03:34.900]  女人買到一袋袋滿滿出來
[00:03:34.900 --> 00:03:35.900]  買很多東西
[00:03:35.900 --> 00:03:36.900]  總買那麼多 香港網賣嗎
[00:03:36.900 --> 00:03:38.900]  便宜
[00:03:38.900 --> 00:03:41.900]  有些女士去旅行 韓國很恐怖
[00:03:41.900 --> 00:03:44.900]  晚上坐飛機去
[00:03:44.900 --> 00:03:48.900]  然後買東西 酒店都不住
[00:03:48.900 --> 00:03:50.900]  由早買到晚上
[00:03:50.900 --> 00:03:52.900]  再繼續買東西 又不睡
[00:03:52.900 --> 00:03:56.900]  買到第三天早上坐飛機回香港
[00:03:56.900 --> 00:03:58.900]  所以韓國沒有住過酒店
[00:03:58.900 --> 00:04:01.900]  住酒店的費用全部要來買東西
[00:04:01.900 --> 00:04:03.900]  買買買
[00:04:03.900 --> 00:04:05.900]  然後你問女士買那麼多回來做什麼
[00:04:05.900 --> 00:04:08.900]  送給別人 手信來的
[00:04:08.900 --> 00:04:10.900]  送給誰 回去再想
[00:04:10.900 --> 00:04:14.900]  回來的手信要過期就扔了
[00:04:14.900 --> 00:04:17.900]  勞碌暴風
[00:04:17.900 --> 00:04:19.900]  看到是這樣的
[00:04:19.900 --> 00:04:21.900]  男人要狂找狂找
[00:04:21.900 --> 00:04:23.900]  賺很多東西 拿很多東西
[00:04:23.900 --> 00:04:27.900]  拿完之後 勞碌暴風
[00:04:27.900 --> 00:04:31.900]  在外國的風氣流浪到香港
[00:04:31.900 --> 00:04:33.900]  所以我們什麼都打包
[00:04:33.900 --> 00:04:35.900]  吃剩打包
[00:04:35.900 --> 00:04:37.900]  我在外國看到牧師
[00:04:37.900 --> 00:04:39.900]  這是第四包
[00:04:39.900 --> 00:04:41.900]  什麼叫第四包 這是星期第四包
[00:04:41.900 --> 00:04:43.900]  在我們的雪櫃寫著1234
[00:04:43.900 --> 00:04:45.900]  逐格推出來吃
[00:04:45.900 --> 00:04:47.900]  那些打包要來 嘩那麼恐怖
[00:04:47.900 --> 00:04:49.900]  吃不完都要扔了
[00:04:49.900 --> 00:04:51.900]  在這裡扔還是回家扔
[00:04:51.900 --> 00:04:54.900]  我們拿了太多東西
[00:04:54.900 --> 00:04:56.900]  我們很勞碌 卻是暴風
[00:04:56.900 --> 00:04:58.900]  兩手狂找
[00:04:58.900 --> 00:05:00.900]  最後一放手就沒有了
[00:05:00.900 --> 00:05:04.900]  大家說一掌滿滿而得享安靜
[00:05:04.900 --> 00:05:06.900]  說的是什麼呢
[00:05:06.900 --> 00:05:08.900]  反而是攤開一隻手
[00:05:08.900 --> 00:05:10.900]  上帝的恩典滿滿的臨到你身上
[00:05:10.900 --> 00:05:12.900]  攤開一隻手危險
[00:05:12.900 --> 00:05:14.900]  因為隨時有人可以拿走
[00:05:14.900 --> 00:05:16.900]  不需要擔心
[00:05:16.900 --> 00:05:18.900]  當你慷慨去分享的時候
