
[00:00:00.000 --> 00:00:04.000]  繼續和大家看這個C篇23篇
[00:00:04.000 --> 00:00:07.000]  上一次和大家提了
[00:00:07.000 --> 00:00:10.000]  就是「神與我們同在」
[00:00:10.000 --> 00:00:12.000]  「神與我們同在」
[00:00:12.000 --> 00:00:16.000]  今天繼續看看「神與我們同在」有什麼結果呢?
[00:00:16.000 --> 00:00:18.000]  有什麼結果呢?
[00:00:18.000 --> 00:00:20.000]  因為最重要的就是
[00:00:20.000 --> 00:00:23.000]  祂和我們一起,那又如何呢?
[00:00:23.000 --> 00:00:26.000]  有一個小朋友
[00:00:26.000 --> 00:00:32.000]  他和一個人一起走
[00:00:32.000 --> 00:00:34.000]  有人問他
[00:00:34.000 --> 00:00:36.000]  「你去哪了?這麼晚」
[00:00:36.000 --> 00:00:38.000]  那個小朋友說
[00:00:38.000 --> 00:00:40.000]  「我不知道啊」
[00:00:40.000 --> 00:00:45.000]  「我好像是去前面那裡而已」
[00:00:45.000 --> 00:00:47.000]  那些人就說
[00:00:47.000 --> 00:00:51.000]  「前面那裡黑漆漆的,你不怕嗎?」
[00:00:51.000 --> 00:00:54.000]  他說「我不知道啊」
[00:00:54.000 --> 00:00:57.000]  「不過我和祂一起」
[00:00:57.000 --> 00:01:01.000]  那個人一看,就看到一個男士
[00:01:01.000 --> 00:01:03.000]  他說「祂是你誰?」
[00:01:03.000 --> 00:01:05.000]  「祂就是我爸爸」
[00:01:05.000 --> 00:01:08.000]  「總之祂牽著我,帶我去,我就不用怕了」
[00:01:08.000 --> 00:01:10.000]  「我不需要知道我要去哪」
[00:01:10.000 --> 00:01:14.000]  「我又不擔心前面是黑漆漆的」
[00:01:14.000 --> 00:01:17.000]  「因為祂牽著我」
[00:01:17.000 --> 00:01:19.000]  其實很多時候
[00:01:19.000 --> 00:01:23.000]  當我們是真真正正的
[00:01:23.000 --> 00:01:26.000]  相信聖經神的話語
[00:01:26.000 --> 00:01:28.000]  「神與我們同在」
[00:01:28.000 --> 00:01:34.000]  我記得上一次也有這樣分享過
[00:01:34.000 --> 00:01:37.000]  就是「神與我們同在」
[00:01:37.000 --> 00:01:40.000]  這個聖經裡面的真理
[00:01:40.000 --> 00:01:42.000]  是一個重要的真理
[00:01:42.000 --> 00:01:45.000]  因為當我去找「同在」的時候
[00:01:45.000 --> 00:01:48.000]  這個字眼當然不是每一句都說「神與我同在」
[00:01:48.000 --> 00:01:51.000]  可能是誰誰誰一起
[00:01:51.000 --> 00:01:53.000]  但是有209句
[00:01:53.000 --> 00:01:55.000]  我相信
[00:01:55.000 --> 00:01:57.000]  因為我已經看完了
[00:01:57.000 --> 00:01:59.000]  我印象起碼
[00:01:59.000 --> 00:02:01.000]  應該有三分二左右
[00:02:01.000 --> 00:02:03.000]  起碼
[00:02:03.000 --> 00:02:05.000]  是說「神與我們同在」
[00:02:05.000 --> 00:02:07.000]  今天和大家繼續看這個
[00:02:07.000 --> 00:02:09.000]  C篇23篇第4節
[00:02:09.000 --> 00:02:12.000]  「我雖然行過死刃的幽谷」
[00:02:12.000 --> 00:02:14.000]  死刃的幽谷
[00:02:14.000 --> 00:02:16.000]  是一個
[00:02:16.000 --> 00:02:18.000]  說明又死又陰
[00:02:18.000 --> 00:02:21.000]  誰喜歡去一個地方又死又陰
[00:02:21.000 --> 00:02:23.000]  死氣沉沉
[00:02:23.000 --> 00:02:25.000]  陰森恐怖
[00:02:25.000 --> 00:02:27.000]  誰想去呢
[00:02:27.000 --> 00:02:31.000]  我想沒有必要你不會想去這些地方
[00:02:31.000 --> 00:02:33.000]  但是他不怕遭害
[00:02:33.000 --> 00:02:35.000]  為什麼呢?原因就是
[00:02:35.000 --> 00:02:37.000]  「你與我同在」
[00:02:37.000 --> 00:02:38.000]  「因為」
[00:02:38.000 --> 00:02:40.000]  我很喜歡「因為」這兩個字
[00:02:40.000 --> 00:02:45.000]  很多年來人們都說
[00:02:45.000 --> 00:02:47.000]  以前在加拿大
[00:02:47.000 --> 00:02:49.000]  我記得我姊妹
[00:02:49.000 --> 00:02:51.000]  她說「你呀」
[00:02:51.000 --> 00:02:53.000]  她說「你呀」
[00:02:53.000 --> 00:02:55.000]  那時候我是一個傳道
[00:02:55.000 --> 00:02:56.000]  她說「你呀」
[00:02:56.000 --> 00:02:58.000]  「自信心爆棚的你」
[00:02:58.000 --> 00:03:00.000]  這樣形容我
[00:03:00.000 --> 00:03:01.000]  和我很friend的
[00:03:01.000 --> 00:03:03.000]  不過不知道為什麼有一天她這樣說
[00:03:03.000 --> 00:03:05.000]  也有一些
[00:03:05.000 --> 00:03:08.000]  我記得讀大學的時候
[00:03:08.000 --> 00:03:11.000]  我是讀生物、化學那些的
[00:03:11.000 --> 00:03:13.000]  但是我有一個同屋主
[00:03:13.000 --> 00:03:15.000]  就是六個學生
[00:03:15.000 --> 00:03:17.000]  住在一起的一間屋
[00:03:17.000 --> 00:03:19.000]  在多倫多
[00:03:19.000 --> 00:03:21.000]  其中一個叫做鬼仔
[00:03:21.000 --> 00:03:23.000]  就是外國人
[00:03:23.000 --> 00:03:25.000]  他說「你想的東西」
[00:03:25.000 --> 00:03:27.000]  「很邏輯性的」
[00:03:27.000 --> 00:03:30.000]  「經常都在說理由」
[00:03:30.000 --> 00:03:33.000]  他不一定是讚我的
[00:03:33.000 --> 00:03:35.000]  你經常說理由、邏輯性的
[00:03:35.000 --> 00:03:37.000]  你不如讀數學吧
[00:03:37.000 --> 00:03:39.000]  他讀數學的
[00:03:39.000 --> 00:03:41.000]  所以我看到這個字眼
[00:03:41.000 --> 00:03:43.000]  「因為」這兩個字
[00:03:43.000 --> 00:03:45.000]  「因為」這兩個字當然是有什麼
[00:03:45.000 --> 00:03:47.000]  那你應該害怕的
[00:03:47.000 --> 00:03:49.000]  為什麼你不害怕呢?
[00:03:49.000 --> 00:03:51.000]  「因為神與你同在」
[00:03:51.000 --> 00:03:54.000]  聖經裡面是有很多合情合理的說話的
[00:03:54.000 --> 00:03:55.000]  不應該是很多
[00:03:55.000 --> 00:03:57.000]  其實聖經就是神的話語
[00:03:57.000 --> 00:03:58.000]  就是真理
