
[00:00:00.000 --> 00:00:01.480]  頂曉門平安
[00:00:01.480 --> 00:00:04.600]  都讓我一齊開始的時候一齊禱告
[00:00:04.600 --> 00:00:07.600]  主耶穌我們感謝祢讓我們一齊在祢面前去敬拜
[00:00:07.600 --> 00:00:10.000]  求祢在我們中間親自幫助我們
[00:00:10.000 --> 00:00:11.200]  就好像師哥那樣說
[00:00:11.200 --> 00:00:12.200]  祢是世界的光
[00:00:12.200 --> 00:00:13.200]  跟隨你的夢
[00:00:13.200 --> 00:00:15.000]  就不在黑暗裏面去走
[00:00:15.000 --> 00:00:16.600]  祢就是那位奇妙的救主
[00:00:16.600 --> 00:00:17.400]  幫助我們
[00:00:17.400 --> 00:00:21.000]  讓我們去認定祢是我們生命的主
[00:00:21.000 --> 00:00:22.600]  我們將整個敬拜獻呈給祢
[00:00:22.600 --> 00:00:23.600]  求祢親自閱立
[00:00:23.600 --> 00:00:25.600]  聽我們祈禱奉主耶穌的名頭
[00:00:25.600 --> 00:00:26.600]  阿門
[00:00:29.400 --> 00:00:33.800]  其實聖經裏面很多時候都講到食物
[00:00:33.800 --> 00:00:35.800]  我們看回《五經》的時間
[00:00:35.800 --> 00:00:37.400]  其實《創世紀》的時間一開始的時候
[00:00:37.400 --> 00:00:40.400]  講到言中裏面很多不同的果子
[00:00:40.400 --> 00:00:42.400]  有講到食物
[00:00:42.400 --> 00:00:43.800]  在《揣俗記》的裏面
[00:00:43.800 --> 00:00:45.800]  其實講到禹節
[00:00:45.800 --> 00:00:47.200]  有講食物
[00:00:47.200 --> 00:00:48.800]  《利未記》五祭七節期的時間
[00:00:48.800 --> 00:00:50.000]  有講到哪些食物可以吃
[00:00:50.000 --> 00:00:51.600]  哪些不可以吃
[00:00:51.600 --> 00:00:52.800]  去到《文素記》的時間
[00:00:52.800 --> 00:00:55.400]  其實講到馬拿和鵪鶉
[00:00:55.400 --> 00:00:56.400]  去到《生命紀》的時候
[00:00:56.400 --> 00:00:57.600]  講到我們很熟悉
[00:00:57.600 --> 00:00:59.000]  人活著不是單靠食物
[00:00:59.000 --> 00:01:01.800]  乃至靠神口中所出的每一句話
[00:01:01.800 --> 00:01:03.400]  所以我們見到在聖經裏面
[00:01:03.400 --> 00:01:06.600]  食物這個主題經常在裏面出現
[00:01:06.600 --> 00:01:09.000]  今天和大家看哥倫多前書
[00:01:09.000 --> 00:01:10.600]  第八章一到十三節
[00:01:10.600 --> 00:01:13.600]  從十章二十三節到十一章第一節
[00:01:13.600 --> 00:01:15.800]  其實亦都講到一些食物
[00:01:15.800 --> 00:01:18.400]  特別講到製藕醬的食物
[00:01:18.400 --> 00:01:20.400]  其實哥倫多前書
[00:01:20.400 --> 00:01:22.000]  應該由第八章第一節
[00:01:22.000 --> 00:01:24.000]  去到第十一章第一節
[00:01:24.000 --> 00:01:27.000]  三章的經文其實是一個段落
[00:01:27.000 --> 00:01:29.200]  因為時間關係
[00:01:29.200 --> 00:01:31.200]  選段和大家去看
[00:01:31.200 --> 00:01:34.400]  第十章其實下星期梁國權先生會去講
