
[00:00:00.000 --> 00:00:01.720]  對於志願會的親愛的朋友
[00:00:01.720 --> 00:00:04.920]  Happy New Year
[00:00:04.920 --> 00:00:06.200]  不知道在說什麼
[00:00:06.200 --> 00:00:08.000]  再說一次
[00:00:08.000 --> 00:00:11.840]  Happy New Year
[00:00:11.840 --> 00:00:17.320]  我記得我學生年代有一年就是這樣說的
[00:00:17.320 --> 00:00:19.320]  那就證明現在不流行了
[00:00:19.320 --> 00:00:20.240]  但不要緊的
[00:00:20.240 --> 00:00:22.760]  總之都跟大家說一句新年快樂
[00:00:22.760 --> 00:00:24.520]  我不知道你新年的願望是什麼呢
[00:00:24.520 --> 00:00:26.120]  有沒有人新年願望是買一層樓的
[00:00:26.120 --> 00:00:27.600]  舉手吧
[00:00:27.600 --> 00:00:31.080]  個個都是 不過不舉手而已
[00:00:31.080 --> 00:00:33.400]  在香港現在買樓很艱難
[00:00:33.400 --> 00:00:34.760]  很貴很貴
[00:00:34.760 --> 00:00:36.760]  但是其實在剛才讀的那段經文
[00:00:36.760 --> 00:00:38.160]  我不知道你有沒有留意到
[00:00:38.160 --> 00:00:42.160]  是用工程或者建房屋來比喻我們的屬靈生命
[00:00:42.160 --> 00:00:43.960]  所以我就批准了這件事
[00:00:43.960 --> 00:00:45.760]  今天希望跟大家說一個
[00:00:45.760 --> 00:00:46.840]  我們新年裡面
[00:00:46.840 --> 00:00:49.320]  我希望不是單單新年
[00:00:49.320 --> 00:00:51.120]  我們作為基督的門徒的話
[00:00:51.120 --> 00:00:53.360]  我們應該有一個人生的目標
[00:00:53.360 --> 00:00:55.400]  就是我們生命要徹底被神改造
[00:00:55.400 --> 00:00:57.720]  就是一個生命徹底改造工程
[00:00:57.720 --> 00:00:58.240]  好不好
[00:00:58.240 --> 00:01:00.240]  我們看看這個powerpoint
[00:01:00.240 --> 00:01:02.240]  我顧名思義
[00:01:02.240 --> 00:01:04.920]  這個工程第一是生命的工程
[00:01:04.920 --> 00:01:06.080]  就不是表面的
[00:01:06.080 --> 00:01:07.760]  不只是參加什麼聚會
[00:01:07.760 --> 00:01:09.120]  讀多少聖經
[00:01:09.120 --> 00:01:10.600]  做了什麼
[00:01:10.600 --> 00:01:12.720]  而是切切實實在在的
[00:01:12.720 --> 00:01:16.560]  是我們自己生命當中要被神去對付的
[00:01:16.560 --> 00:01:18.880]  還有這個對付不是單單表面的
[00:01:18.880 --> 00:01:21.120]  而是很深層次的
[00:01:21.120 --> 00:01:23.440]  是會解決到我們最大的問題
[00:01:23.440 --> 00:01:24.480]  最深層的問題
[00:01:24.480 --> 00:01:25.800]  是治標又怎麼樣
[00:01:25.800 --> 00:01:27.520]  又治本的
[00:01:27.520 --> 00:01:28.920]  好了我們在香港居住
[00:01:28.920 --> 00:01:30.120]  我們都不會陌生的了
[00:01:30.120 --> 00:01:31.600]  對於市區重建
[00:01:31.600 --> 00:01:33.160]  譬如很多區
[00:01:33.160 --> 00:01:34.320]  這裡附近
