
[00:00:00.000 --> 00:00:02.000]  各位理事會早晨
[00:00:02.000 --> 00:00:04.000]  不知道大家腦子裡還記不記得
[00:00:04.000 --> 00:00:08.000]  上個禮拜和再上個禮拜的講道
[00:00:08.000 --> 00:00:12.000]  希望記得多少都要記得大衛
[00:00:12.000 --> 00:00:14.000]  還有今天都是進入到
[00:00:14.000 --> 00:00:17.000]  第三講的一個很重要的段落
[00:00:17.000 --> 00:00:21.000]  就是犯罪和悔改
[00:00:21.000 --> 00:00:24.000]  有沒有人沒有犯過罪在這裡
[00:00:24.000 --> 00:00:25.000]  我想應該沒有
[00:00:25.000 --> 00:00:27.000]  如果有就可能你都
[00:00:27.000 --> 00:00:29.000]  我們要和你聊聊天
[00:00:29.000 --> 00:00:31.000]  讓你明白什麼是罪
[00:00:31.000 --> 00:00:33.000]  稍後我們都會看看什麼是罪
[00:00:33.000 --> 00:00:36.000]  但是犯罪最好不要
[00:00:36.000 --> 00:00:38.000]  但是你犯罪都不要緊
[00:00:38.000 --> 00:00:40.000]  為什麼最重要是什麼
[00:00:40.000 --> 00:00:43.000]  悔改 沒錯 非常有智慧
[00:00:43.000 --> 00:00:45.000]  我們每個人都是一個犯罪的人
[00:00:45.000 --> 00:00:47.000]  但是我們每一個人都是一個
[00:00:47.000 --> 00:00:49.000]  我們每一個基督徒都是一個願意悔改的人
[00:00:49.000 --> 00:00:51.000]  所以我才能夠坐在這裡
[00:00:51.000 --> 00:00:53.000]  去成為神的兒女
[00:00:53.000 --> 00:00:58.000]  在第三講和第四講是很有關聯的
[00:00:58.000 --> 00:01:00.000]  你看到經文
[00:01:00.000 --> 00:01:02.000]  撒姆爾記下十一章至十二章
[00:01:02.000 --> 00:01:04.000]  一至十四節
[00:01:04.000 --> 00:01:06.000]  下個禮拜會講十五至二十五節
[00:01:06.000 --> 00:01:08.000]  和CP五十一篇
[00:01:08.000 --> 00:01:10.000]  CP五十一篇是一篇很經典
[00:01:10.000 --> 00:01:12.000]  很重要的大衛的詩篇
[00:01:12.000 --> 00:01:14.000]  是一篇認罪的詩篇
[00:01:14.000 --> 00:01:17.000]  我們下個禮拜會再看得更加細緻一點
[00:01:17.000 --> 00:01:19.000]  我們就看看大衛怎樣犯罪
[00:01:19.000 --> 00:01:22.000]  和怎樣悔改
[00:01:22.000 --> 00:01:24.000]  我想補充一點
[00:01:24.000 --> 00:01:26.000]  上個禮拜的講道有一點
[00:01:26.000 --> 00:01:28.000]  我都覺得很值得我們去反思
[00:01:28.000 --> 00:01:30.000]  所以作為這裡去引入
[00:01:30.000 --> 00:01:32.000]  下一章的題目
[00:01:32.000 --> 00:01:34.000]  如果記得我上個禮拜講見殿
[00:01:34.000 --> 00:01:36.000]  就是
[00:01:36.000 --> 00:01:38.000]  大衛住在香柏木的宮中
[00:01:38.000 --> 00:01:40.000]  但是神的約跪
[00:01:40.000 --> 00:01:42.000]  就在帳幕
[00:01:42.000 --> 00:01:44.000]  在一個
[00:01:44.000 --> 00:01:46.000]  沒有一個香柏木的皇宮
[00:01:46.000 --> 00:01:48.000]  或者聖殿裡面
[00:01:48.000 --> 00:01:50.000]  所以大衛想到我住得這麼舒服
[00:01:50.000 --> 00:01:52.000]  上帝給了我這麼多福氣
[00:01:52.000 --> 00:01:54.000]  但是我所敬拜的上帝
[00:01:54.000 --> 00:01:56.000]  就是在會幕裡面
[00:01:56.000 --> 00:01:58.000]  我很想為祂建一個香柏木的聖殿
[00:01:58.000 --> 00:02:00.000]  上帝說
[00:02:00.000 --> 00:02:02.000]  不需要
[00:02:02.000 --> 00:02:04.000]  你的兒子將會為我建聖殿
[00:02:04.000 --> 00:02:06.000]  但是我要大大賜福給你
[00:02:06.000 --> 00:02:08.000]  你的皇位
[00:02:08.000 --> 00:02:10.000]  將會有你的兒子
[00:02:10.000 --> 00:02:12.000]  你的後代接觸
[00:02:12.000 --> 00:02:14.000]  大衛的皇朝將會
[00:02:14.000 --> 00:02:16.000]  永遠建立
[00:02:16.000 --> 00:02:18.000]  當
[00:02:18.000 --> 00:02:20.000]  大衛或者當時的人們聽到
[00:02:20.000 --> 00:02:22.000]  當然很高興很感恩
[00:02:22.000 --> 00:02:24.000]  說我們以色列國終於不需要
[00:02:24.000 --> 00:02:26.000]  不斷在換士司
[00:02:26.000 --> 00:02:28.000]  換皇帝了
[00:02:28.000 --> 00:02:30.000]  大衛的皇朝將會壓納不到
[00:02:30.000 --> 00:02:32.000]  大衛還只是在如日中
[00:02:32.000 --> 00:02:34.000]  但如果你知道
[00:02:34.000 --> 00:02:36.000]  其實撒姆爾記
[00:02:36.000 --> 00:02:38.000]  列王記
[00:02:38.000 --> 00:02:40.000]  其實的記載
[00:02:40.000 --> 00:02:42.000]  或者成書的日期
[00:02:42.000 --> 00:02:44.000]  估計應該是在
[00:02:44.000 --> 00:02:46.000]  秘魯的時間
[00:02:46.000 --> 00:02:48.000]  還有一個叫歷代志
[00:02:48.000 --> 00:02:50.000]  在舊聖經裡面
[00:02:50.000 --> 00:02:52.000]  我可以詳細說一下
[00:02:52.000 --> 00:02:54.000]  歷代志就是在
[00:02:54.000 --> 00:02:56.000]  秘魯之後回歸
[00:02:56.000 --> 00:02:58.000]  在耶路撒冷時候所
[00:02:58.000 --> 00:03:00.000]  所集成的著作
[00:03:00.000 --> 00:03:02.000]  就是說
[00:03:02.000 --> 00:03:04.000]  秘魯的時候就是
[00:03:04.000 --> 00:03:06.000]  以色列和猶大國已經亡了
[00:03:06.000 --> 00:03:08.000]  聖殿已經被毀
[00:03:08.000 --> 00:03:10.000]  他們被巴比倫
[00:03:10.000 --> 00:03:12.000]  俘虜到
[00:03:12.000 --> 00:03:14.000]  不同的地方
[00:03:14.000 --> 00:03:16.000]  而當時
[00:03:16.000 --> 00:03:18.000]  那幫在流散於各地的
[00:03:18.000 --> 00:03:20.000]  猶太人民事
[00:03:20.000 --> 00:03:22.000]  他們就集結了昔日
[00:03:22.000 --> 00:03:24.000]  他們的歷史寫下了這個
[00:03:24.000 --> 00:03:26.000]  撒姆爾記和列王記
[00:03:26.000 --> 00:03:28.000]  不知道大家明不明白我在說什麼
[00:03:28.000 --> 00:03:30.000]  就是如果這幫秘魯的
[00:03:30.000 --> 00:03:32.000]  子民看回這段信息的時候
[00:03:32.000 --> 00:03:34.000]  是什麼感受呢
[00:03:34.000 --> 00:03:36.000]  上帝你說
[00:03:36.000 --> 00:03:38.000]  大衛的國度是會
[00:03:38.000 --> 00:03:40.000]  直立永遠的嘛
[00:03:40.000 --> 00:03:42.000]  為什麼今天聖殿已經被毀了
[00:03:42.000 --> 00:03:44.000]  我們大衛的國度已經沒有了
[00:03:44.000 --> 00:03:46.000]  大衛王他的子孫已經不能再做王了
[00:03:46.000 --> 00:03:48.000]  已經被巴比倫征服了
[00:03:48.000 --> 00:03:50.000]  我們以色列了
[00:03:50.000 --> 00:03:52.000]  連聖殿都毀了
[00:03:52.000 --> 00:03:54.000]  上帝你的說話是不是落空了呢
[00:03:54.000 --> 00:03:56.000]  不知道大家有沒有
[00:03:56.000 --> 00:03:58.000]  這樣的想法
[00:03:58.000 --> 00:04:00.000]  第二
[00:04:00.000 --> 00:04:02.000]  如果你有參加我們教會的
[00:04:02.000 --> 00:04:04.000]  靈修運動
[00:04:04.000 --> 00:04:06.000]  或者沒有參加不要緊
[00:04:06.000 --> 00:04:08.000]  在耶利米說33章20節
[00:04:08.000 --> 00:04:10.000]  耶和華二處說
[00:04:10.000 --> 00:04:12.000]  你們若能廢棄我所納八日黑夜的藥
