
[00:00:00.000 --> 00:00:01.440]  好 各位網友朋友 你們好
[00:00:01.440 --> 00:00:04.120]  我們又開始星期三晚的《查經》了
[00:00:04.120 --> 00:00:06.520]  我們一直都是在查大衛的
[00:00:06.520 --> 00:00:09.320]  但是今晚我們就不會了
[00:00:09.320 --> 00:00:12.440]  我們下個星期才會繼續看大衛逃亡的時候
[00:00:12.440 --> 00:00:14.560]  所經歷的一些事情
[00:00:14.560 --> 00:00:19.000]  為什麼呢 因為這個星期天就是父親節
[00:00:19.000 --> 00:00:25.720]  我經常都說在英國的香港或者中國的姊妹
[00:00:25.720 --> 00:00:28.520]  你們就會幸福很多了
[00:00:28.520 --> 00:00:32.400]  因為英國的母親節原來是不定時的
[00:00:32.400 --> 00:00:34.240]  但是今年就是在三月
[00:00:34.240 --> 00:00:37.000]  所以一定要慶祝母親節
[00:00:37.000 --> 00:00:38.520]  那時候可能你丈夫說
[00:00:38.520 --> 00:00:40.280]  我們5月2日禮拜 當然不是
[00:00:40.280 --> 00:00:41.320]  我們來到英國的時候
[00:00:41.320 --> 00:00:43.360]  我們當然要跟英國一起看齊的
[00:00:43.360 --> 00:00:45.360]  那你已經過了母親節了
[00:00:45.360 --> 00:00:49.120]  那接著呢 5月2日的星期也是母親節
[00:00:49.120 --> 00:00:50.520]  那你又說不是啊 已經慶祝了
[00:00:50.520 --> 00:00:52.240]  那我們是香港來的嘛
[00:00:52.240 --> 00:00:55.280]  那我們是不是應該不可以忘本呢
[00:00:55.280 --> 00:00:57.760]  所以有兩個母親節
[00:00:57.760 --> 00:01:01.440]  但是父親節呢 哎呀
[00:01:01.440 --> 00:01:04.480]  無論是香港還是英國都是6月3日的星期
[00:01:04.480 --> 00:01:06.640]  那這個星期就是父親節了
[00:01:06.640 --> 00:01:09.280]  所以我會想跟大家再探討一下
[00:01:09.280 --> 00:01:12.440]  究竟父親應該扮演什麼角色
[00:01:12.440 --> 00:01:14.160]  但是先想一想
[00:01:14.160 --> 00:01:18.240]  在聖經裡面有哪些父親
[00:01:18.240 --> 00:01:23.360]  或者哪一個父親是令你覺得很好
[00:01:23.360 --> 00:01:25.200]  我想大家都會想到
[00:01:25.200 --> 00:01:29.280]  在《路透風》第15章裡面 浪子的比喻
[00:01:29.280 --> 00:01:31.400]  那個父親非常好
[00:01:31.400 --> 00:01:34.560]  但我想告訴大家 這是一個比喻而已
[00:01:34.560 --> 00:01:37.200]  不是真實的 在現實裡面是不會的
[00:01:37.200 --> 00:01:38.480]  你想想 你兒子跟你說
[00:01:38.480 --> 00:01:42.480]  爸爸 把我應該得的家產來帶去給我吧
[00:01:42.480 --> 00:01:44.360]  你會不會啊 什麼叫應得啊
[00:01:44.360 --> 00:01:46.720]  一定要給你這麼傻的 是不是
[00:01:46.720 --> 00:01:50.600]  所以絕對不要想著 這是一個真實的父親
[00:01:50.600 --> 00:01:55.120]  這個比喻裡面其實它只是投射在天父的愛
[00:01:55.120 --> 00:01:57.680]  大家有興趣可以上網找回
[00:01:57.680 --> 00:02:00.400]  我講過的在YouTube裡面
[00:02:00.400 --> 00:02:02.600]  有一個叫做《止赤危情》的
[00:02:02.600 --> 00:02:05.000]  就有這個信息了
[00:02:05.000 --> 00:02:06.800]  如果我們再看的時候
[00:02:06.800 --> 00:02:09.400]  在聖經裡面有些很熟悉的人物
[00:02:09.400 --> 00:02:13.640]  但他們都不是一個好的父親
[00:02:13.640 --> 00:02:16.720]  阿伯拉罕 信心之父 是不是
[00:02:16.720 --> 00:02:18.920]  但絕對不是一個好的父親
[00:02:18.920 --> 00:02:22.280]  因為怕太太又沒有自己的主見
[00:02:22.280 --> 00:02:25.040]  連自己的親生兒子以臣罵你
[00:02:25.040 --> 00:02:28.160]  都要趕他們走 沒有再去你會去的
[00:02:28.160 --> 00:02:31.840]  好了 以色列 即是瓦割
[00:02:31.840 --> 00:02:35.600]  是以色列這個國家裡面的割父母的程度
[00:02:35.600 --> 00:02:37.920]  12個兒子加1個女兒
[00:02:37.920 --> 00:02:39.760]  但是他偏愛什麼呢
[00:02:39.760 --> 00:02:41.440]  就是約瑟和彬雅文
[00:02:41.440 --> 00:02:43.840]  都引致他們兄弟對他們不滿
[00:02:43.840 --> 00:02:48.560]  所以他的偏心都帶來了很多的禍害
[00:02:48.560 --> 00:02:50.880]  我們一直在看大衛 是不是
[00:02:50.880 --> 00:02:53.520]  大衛更加不是一個好的父親
[00:02:53.520 --> 00:02:57.520]  即是當兒子犯錯 奸淫 亂倫
[00:02:57.520 --> 00:02:59.200]  他沒有去責備
[00:02:59.200 --> 00:03:03.840]  後來被姦污的妹妹的哥哥就是鴨沙龍
[00:03:03.840 --> 00:03:07.200]  就殺了這個哥哥
[00:03:07.200 --> 00:03:12.000]  但是大衛其實都沒有好好的去面對
[00:03:12.000 --> 00:03:14.880]  甚至雖然疼愛兒子 但是不懂表露
[00:03:14.880 --> 00:03:16.960]  我們稍後查大衛的時候
