
[00:00:00.000 --> 00:00:02.920]  話說前幾天有一位弟兄來跟我聊天
[00:00:02.920 --> 00:00:08.580]  他說牧師啊,我發現我公司的人的相處有些改變
[00:00:08.580 --> 00:00:12.720]  我說是甚麼,他說以前同事知道我是基督徒很不喜歡我
[00:00:12.720 --> 00:00:16.580]  經常都會說我,甚至用很難聽的說話說我
[00:00:16.580 --> 00:00:20.560]  近來不同了,近來我們相處得很融洽
[00:00:20.560 --> 00:00:24.560]  我就說,我心想多好,我問他為甚麼融洽了
[00:00:24.560 --> 00:00:29.680]  因為那些朋友同事覺得我這些基督徒原來和他差不多
[00:00:29.680 --> 00:00:32.580]  一樣的,做的事一樣,關心的事一樣
[00:00:32.580 --> 00:00:35.960]  都是一樣,只是用不同的方法去表達
[00:00:35.960 --> 00:00:38.760]  然後我問他,那即是怎樣,我心裏都一沉
[00:00:38.760 --> 00:00:42.800]  他說因為他同事以前覺得基督徒和他們很不同
[00:00:42.800 --> 00:00:45.900]  特別是這段日子,可能是社會政治等等的原因
[00:00:45.900 --> 00:00:48.600]  一起罵,或者一起表達等等
[00:00:48.600 --> 00:00:52.040]  覺得基督徒有時表達得比他們更用力
[00:00:52.040 --> 00:00:54.640]  所以覺得很相似
[00:00:54.640 --> 00:00:59.760]  我一方面就和這位弟兄傾談,我說也好,你能夠溝通到同事
[00:00:59.760 --> 00:01:02.800]  另一方面我心裏一沉
[00:01:02.800 --> 00:01:06.580]  當你一日發現你身邊的同事告訴你,或者你的朋友告訴你
[00:01:06.580 --> 00:01:08.640]  其實你和我差不多
[00:01:08.640 --> 00:01:12.180]  那我就要問,我們作為基督徒
[00:01:12.180 --> 00:01:15.440]  和身邊的未信主的朋友如果差不多,甚至一樣
[00:01:15.440 --> 00:01:21.120]  是應該開心的事,還是應該好好反省的事
[00:01:21.120 --> 00:01:24.640]  寫在裏面這段經文給我很大的體會
[00:01:24.640 --> 00:01:30.360]  耶穌講我們怎樣和未信的人,或者未認識信仰的人相處
[00:01:30.360 --> 00:01:34.920]  又或者耶穌怎樣拆遣門徒,進入未信的人當中
[00:01:34.920 --> 00:01:39.000]  這段經文我們常常看,就是上帝呼召我們去傳福音
[00:01:39.000 --> 00:01:44.680]  即是看這段經文,哇,這個第二節要收的莊稼多,作供的人少
[00:01:44.680 --> 00:01:48.320]  常常都想起,很多人未信主,我們要去傳福音
[00:01:48.320 --> 00:01:51.120]  當然這段經文有很重要的向導
[00:01:51.120 --> 00:01:56.000]  但這段經文有一個很特別的事情,就是在講耶穌呼召門徒
[00:01:56.000 --> 00:02:00.840]  要去到第一節講,往自己所要到的各城各地去
[00:02:00.840 --> 00:02:05.920]  要進入那些人當中,而那些人是未認識信仰的人
[00:02:05.920 --> 00:02:09.920]  耶穌在這裏其實教我們一個態度或者方法
[00:02:09.920 --> 00:02:15.400]  當你要去和一班跟你信仰,跟你想法可能不同的人去相處
[00:02:15.400 --> 00:02:22.200]  甚至你要進入那班人群當中的時候,有些什麼你要留意的
[00:02:22.200 --> 00:02:27.080]  第一句是很重要的,聖經一開始講,這些事以後
[00:02:27.080 --> 00:02:29.200]  通常看到這句你會怎樣呢?
[00:02:29.200 --> 00:02:32.320]  第一時間當然是看前面講了些什麼,所以打開聖經是很重要的
[00:02:32.320 --> 00:02:37.720]  前面講了些什麼呢?原來前面九章57到62節是耶穌一直在講
