
[00:00:00.000 --> 00:00:01.720]  今天的正餐
[00:00:01.720 --> 00:00:02.940]  這個是最重要的
[00:00:02.940 --> 00:00:06.900]  我希望大家可以聽得明白《迦拉泰書》
[00:00:06.900 --> 00:00:11.560]  《迦拉泰書》是一本多難讀的書
[00:00:11.560 --> 00:00:14.480]  多難讀就不是裏面有些心字
[00:00:14.480 --> 00:00:18.060]  多難讀是多難讀得明白的一本書
[00:00:18.060 --> 00:00:22.160]  但是在基督教現在或者過去很多年
[00:00:22.160 --> 00:00:24.200]  都是很多爭論性的
[00:00:24.200 --> 00:00:30.600]  第一,就是有北加拉泰和南加拉泰兩個理論
[00:00:30.600 --> 00:00:33.200]  你不用理那麼多學術的東西
[00:00:33.200 --> 00:00:34.880]  簡單來講,我就說
[00:00:34.880 --> 00:00:42.760]  大部分信主的聖經學者都相信是南加拉泰的一個理論
[00:00:42.760 --> 00:00:43.960]  就是什麼呢?
[00:00:43.960 --> 00:00:45.560]  保羅寫這封信
[00:00:45.560 --> 00:00:48.280]  就在耶路撒冷開會之前
[00:00:48.280 --> 00:00:50.840]  寫給他去了
[00:00:50.840 --> 00:00:52.840]  你看不看到Galatians
[00:00:52.840 --> 00:00:58.080]  是南加拉泰省建立的那幾家教會
[00:00:58.080 --> 00:00:59.320]  有幾個城市呢?
[00:00:59.320 --> 00:01:00.920]  如果你看《四環傳》
[00:01:00.920 --> 00:01:02.920]  保羅去過Antioch
[00:01:02.920 --> 00:01:04.440]  Econium
[00:01:04.440 --> 00:01:05.400]  Nestor
[00:01:05.400 --> 00:01:06.200]  Derby
[00:01:06.200 --> 00:01:08.120]  這幾個城市
[00:01:08.120 --> 00:01:09.960]  所以其中一個理論就是
[00:01:09.960 --> 00:01:13.640]  他寫給這幫弟兄姐妹
[00:01:13.640 --> 00:01:15.480]  就是他走了之後
[00:01:15.480 --> 00:01:17.320]  那家教會出了事
[00:01:17.320 --> 00:01:19.080]  保羅建立了這家教會之後
[00:01:19.080 --> 00:01:22.600]  走了之後有假教師進了這幾家教會
[00:01:22.600 --> 00:01:25.160]  開始和他們講一個不一樣的福音
[00:01:25.160 --> 00:01:28.600]  你大概抓到這個就行了
[00:01:28.600 --> 00:01:30.920]  三點
[00:01:30.920 --> 00:01:31.640]  第一
[00:01:31.640 --> 00:01:34.280]  驚訝離開
[00:01:34.280 --> 00:01:36.840]  隨從虛假的福音
[00:01:36.840 --> 00:01:39.480]  保羅驚訝他們這麼快就離開了
[00:01:39.480 --> 00:01:42.280]  原本他傳給他們的福音
[00:01:42.280 --> 00:01:43.640]  隨從虛假的福音
[00:01:43.640 --> 00:01:44.280]  第二
[00:01:44.280 --> 00:01:45.400]  因順清而
[00:01:45.400 --> 00:01:47.000]  一個是反的一個是正的
[00:01:47.000 --> 00:01:47.960]  正的是什麼呢?
[00:01:47.960 --> 00:01:52.360]  因順清而不以別的誇口
[00:01:52.360 --> 00:01:53.480]  稍後我們會再講
[00:01:53.480 --> 00:01:54.920]  什麼叫因順清而
[00:01:54.920 --> 00:01:57.160]  什麼叫不以別的誇口
[00:01:57.160 --> 00:01:58.600]  一個反面一個正面
[00:01:58.600 --> 00:01:59.320]  最後
[00:01:59.320 --> 00:02:03.000]  不再是我今生傳說基督
[00:02:03.000 --> 00:02:04.600]  有很多時候我們問人
[00:02:04.600 --> 00:02:06.520]  我們說你信不信因順清而
[00:02:06.520 --> 00:02:09.240]  人家一會說信一會說不信
[00:02:09.240 --> 00:02:12.200]  但是其實口講無憑
[00:02:12.200 --> 00:02:13.880]  或者talk as cheap
[00:02:13.880 --> 00:02:16.440]  其實你在整個《皆體書》裏面
[00:02:16.440 --> 00:02:17.640]  你掌握到一件事
[00:02:17.640 --> 00:02:20.760]  什麼人是真正相信因順清而
[00:02:20.760 --> 00:02:23.400]  就是第三年的人
[00:02:23.400 --> 00:02:25.720]  不再是我今生傳說基督
[00:02:25.720 --> 00:02:29.240]  如果你不是在活着人生的時候
[00:02:29.240 --> 00:02:31.800]  其實你根本沒有信因順清而
[00:02:31.800 --> 00:02:33.080]  稍後我解釋給你聽
[00:02:33.080 --> 00:02:34.040]  你慢慢明白
[00:02:34.040 --> 00:02:36.120]  我們先開始第一點
[00:02:36.120 --> 00:02:37.400]  保羅說
[00:02:37.400 --> 00:02:41.720]  他驚訝他們這麼快就隨從了一個虛假的福音
[00:02:41.720 --> 00:02:43.000]  第一章第六節
[00:02:43.000 --> 00:02:43.800]  《皆體書》
[00:02:43.800 --> 00:02:47.320]  我很驚訝你們這麼快就離開
[00:02:47.320 --> 00:02:51.480]  那位藉着基督之恩呼召你們的上帝
[00:02:51.480 --> 00:02:55.160]  而去隨從別的福音
[00:02:55.160 --> 00:02:58.200]  其實並沒有另外一個福音
[00:02:58.200 --> 00:03:01.240]  不過有些人騷擾你們
[00:03:01.240 --> 00:03:05.080]  要把基督的福音更改了
[00:03:05.080 --> 00:03:08.440]  但無論是我們或是天上來的使者
[00:03:08.440 --> 00:03:09.720]  即是天使
[00:03:09.720 --> 00:03:11.400]  若傳福音給你們
[00:03:11.400 --> 00:03:14.520]  與我們所傳給你們的不同
[00:03:14.520 --> 00:03:16.760]  他該受咒詛
[00:03:16.760 --> 00:03:18.120]  我們已經說了
[00:03:18.120 --> 00:03:19.800]  現在我再說
[00:03:19.800 --> 00:03:22.920]  若有人傳福音給你們
[00:03:22.920 --> 00:03:27.400]  與你們以往所領受的不同
[00:03:27.400 --> 00:03:28.920]  他該受咒詛
[00:03:28.920 --> 00:03:33.080]  你已經看到有個重複了的句子
[00:03:33.080 --> 00:03:34.200]  他說
[00:03:34.200 --> 00:03:36.920]  如果有個人傳了一個這樣的福音
[00:03:36.920 --> 00:03:38.040]  一個不一樣的福音
[00:03:38.040 --> 00:03:41.000]  一個不是福音的福音給你們
[00:03:41.000 --> 00:03:42.520]  這個人是該受咒詛
[00:03:42.520 --> 00:03:46.040]  保羅是在講粗口
[00:03:46.040 --> 00:03:48.120]  他很少這麼生氣
[00:03:48.120 --> 00:03:50.440]  其實他也挺生氣的
[00:03:50.440 --> 00:03:53.080]  不過這個人真的特別生氣
[00:03:53.080 --> 00:03:55.000]  他在講粗口罵這些人
