
[00:00:00.000 --> 00:00:04.800]  好,弟兄姐妹平安,先恭祝大家新年快樂
[00:00:04.800 --> 00:00:07.600]  雖然我們這裡沒有什麼新年的氣氛
[00:00:07.600 --> 00:00:11.720]  但是對中國人來說是一個農曆新年的日子
[00:00:11.720 --> 00:00:19.080]  讓我們都很有歡喜快樂地去過一個新的農曆年的年頭
[00:00:19.080 --> 00:00:20.840]  好,我們一起祈禱
[00:00:20.840 --> 00:00:25.960]  天婦,我們多謝你讓我們有你的華語
[00:00:25.960 --> 00:00:29.520]  幫助我們生命裡有你的說話去滋潤我們
[00:00:29.520 --> 00:00:32.400]  去銷喚我們,去建立我們的生命
[00:00:32.400 --> 00:00:35.880]  願主你有我們在中國人的蛇年裡
[00:00:35.880 --> 00:00:39.080]  我們都能夠歡天喜地去敬拜你
[00:00:39.080 --> 00:00:43.040]  願意聽主你自己的教訓和提醒
[00:00:43.040 --> 00:00:44.400]  建立我們的生命
[00:00:44.400 --> 00:00:45.920]  求主你幫助我們
[00:00:45.920 --> 00:00:48.840]  聽我們祈禱,奉爺蘇明智而求
[00:00:48.840 --> 00:00:49.840]  下門
[00:00:49.840 --> 00:00:54.760]  好,所以今年是蛇年
[00:00:54.760 --> 00:00:58.160]  不過有些問題,不知道要不要哭哭大家
[00:00:58.160 --> 00:01:03.800]  不知道,我們上次問大家年三十晚多少日
[00:01:03.800 --> 00:01:05.280]  大家就說沒有
[00:01:05.280 --> 00:01:07.120]  知道明年年三十晚多少日嗎?
[00:01:07.120 --> 00:01:09.840]  也是沒有的
[00:01:09.840 --> 00:01:14.360]  應該是連續幾年都沒有年三十晚了
[00:01:14.360 --> 00:01:18.800]  所以我們年二十九就要爭取時間慶祝了
[00:01:18.800 --> 00:01:20.640]  很特別
[00:01:20.640 --> 00:01:23.920]  至於蛇年,蛇年一開始的時候
[00:01:23.920 --> 00:01:26.360]  通常就要祝賀別人
[00:01:26.360 --> 00:01:30.000]  接下來梁牧師會和我們多說一些蛇年的事情
[00:01:30.000 --> 00:01:31.560]  我就不會說太多
[00:01:31.560 --> 00:01:34.960]  但是蛇年,你想怎樣恭賀別人呢?
[00:01:34.960 --> 00:01:36.280]  怎樣祝福別人呢?
[00:01:36.280 --> 00:01:37.840]  有兩個給你選擇
[00:01:37.840 --> 00:01:41.200]  一個就是「蛇鼠一窩」
[00:01:41.200 --> 00:01:44.600]  一個就是「靈巧象蛇」
[00:01:44.600 --> 00:01:49.000]  你會怎樣去祝賀別人呢?
[00:01:49.000 --> 00:01:52.360]  正常應該都是選擇右邊那個
[00:01:52.360 --> 00:01:56.600]  都很想像蛇一樣靈巧
[00:01:56.600 --> 00:01:59.320]  當然蛇都有些不好的地方
[00:01:59.320 --> 00:02:02.040]  梁牧師會和我們分享下個星期
[00:02:02.040 --> 00:02:06.760]  但是實在我們都很明顯知道
[00:02:06.760 --> 00:02:09.120]  蛇鼠一窩都是一些不好的東西
[00:02:09.120 --> 00:02:14.200]  我們應該基督徒都會選一些不好的東西
[00:02:14.200 --> 00:02:16.440]  但是我們都很自然地會告訴我們
[00:02:16.440 --> 00:02:18.120]  應該要選一些好東西
[00:02:18.120 --> 00:02:19.120]  好像靈巧
[00:02:19.120 --> 00:02:23.160]  靈巧的翻譯叫做「機警」,好像蛇一樣「機警」
[00:02:23.160 --> 00:02:26.360]  但是有時候我們會不會
[00:02:26.360 --> 00:02:28.680]  未必真的那麼容易選擇到呢?
[00:02:28.680 --> 00:02:32.400]  有時候我們會不會「騎牆」呢?
[00:02:32.400 --> 00:02:35.640]  「騎牆」就是一半一半
[00:02:35.640 --> 00:02:38.120]  就是讓你選擇左邊
[00:02:38.120 --> 00:02:42.320]  左邊就是小丑,就是蝙蝠俠裡面的小丑
[00:02:42.320 --> 00:02:44.440]  右邊就是蝙蝠俠
[00:02:44.440 --> 00:02:48.600]  當然我們要嘗試簡單去理解就是
[00:02:48.600 --> 00:02:54.040]  我們一方面就不會選擇做惡人的
[00:02:54.040 --> 00:02:56.080]  但是我問你是不是異人呢?
[00:02:56.080 --> 00:02:58.640]  有時候你又說自己不是異人
[00:02:58.640 --> 00:02:59.760]  你明白我的意思嗎?
[00:02:59.760 --> 00:03:03.600]  所以有時候我們好像兩邊都不是人一樣
[00:03:03.600 --> 00:03:05.960]  說惡人你又說不是自己惡人
[00:03:05.960 --> 00:03:08.680]  但是說異人你又覺得自己不夠公義
[00:03:08.680 --> 00:03:10.320]  又不覺得自己是異人
[00:03:10.320 --> 00:03:12.600]  所以可能一半一半
[00:03:12.600 --> 00:03:15.560]  或者四成、六成
[00:03:15.560 --> 00:03:18.120]  不過神告訴我們
[00:03:18.120 --> 00:03:21.240]  如果要選擇就決心要選擇一個
[00:03:21.240 --> 00:03:25.040]  希望我們今天都決心去選擇一個
[00:03:25.040 --> 00:03:29.000]  今天我們跟大家去看的就是詩篇
[00:03:29.000 --> 00:03:31.640]  詩篇來說其實在整個聖經裡面
[00:03:31.640 --> 00:03:35.200]  這個經卷就是一個詩歌智慧書
[00:03:35.200 --> 00:03:39.680]  裡面其實詩篇有150篇
[00:03:39.680 --> 00:03:42.760]  其實150篇裡面按著分類
[00:03:42.760 --> 00:03:48.040]  其實通常我們就會分開做五卷的詩篇
