
[00:00:00.000 --> 00:00:04.000]  各位朋友、各位記者、姐妹們,晚安!
[00:00:04.000 --> 00:00:09.000]  主席剛才祈禱我們的疫情可以平復
[00:00:09.000 --> 00:00:12.000]  希望我們快點有正常生活的時候
[00:00:12.000 --> 00:00:15.000]  我相信這是我們每一個人的心願
[00:00:15.000 --> 00:00:16.000]  亦是我們期盼的
[00:00:16.000 --> 00:00:17.000]  不過我不知道這兩三天
[00:00:17.000 --> 00:00:21.000]  又會不會令到你這個期盼開始有些搖動
[00:00:21.000 --> 00:00:24.000]  知不知道今天和昨天多少人確診?
[00:00:24.000 --> 00:00:25.000]  八千
[00:00:25.000 --> 00:00:26.000]  八千,是吧?
[00:00:26.000 --> 00:00:27.000]  之前我們見到四千多
[00:00:27.000 --> 00:00:28.000]  五千、五千、四千
[00:00:28.000 --> 00:00:30.000]  四千、五千、五千、六千
[00:00:30.000 --> 00:00:34.000]  然後我就以為應該都是差不多了
[00:00:34.000 --> 00:00:37.000]  今天的新聞,醫管局就說
[00:00:37.000 --> 00:00:42.000]  再這樣下去,醫院有些服務需要停止
[00:00:42.000 --> 00:00:46.000]  因為多了一些人確診,需要來治癒院
[00:00:46.000 --> 00:00:49.000]  我不知道過去這幾年的生活當中
[00:00:49.000 --> 00:00:51.000]  大家有些什麼感覺
[00:00:51.000 --> 00:00:53.000]  我想可能很多人
[00:00:53.000 --> 00:00:55.000]  你可能覺得我和我一樣
[00:00:55.000 --> 00:00:58.000]  就是三年前當這個疫情開始的時候
[00:00:58.000 --> 00:01:00.000]  心裡面可能都是這樣想的
[00:01:00.000 --> 00:01:02.000]  就說大筆電好像沙士一樣
[00:01:02.000 --> 00:01:04.000]  就是過幾個月
[00:01:04.000 --> 00:01:08.000]  就是戴著口罩焗幾個月
[00:01:08.000 --> 00:01:13.000]  事情應該就可以過去了
[00:01:13.000 --> 00:01:14.000]  不過半年過去
[00:01:14.000 --> 00:01:15.000]  一年過去
[00:01:15.000 --> 00:01:16.000]  兩年過去
[00:01:16.000 --> 00:01:19.000]  到今天的口罩都還在我口裡
[00:01:19.000 --> 00:01:21.000]  我一次見到一個小朋友我就想
[00:01:21.000 --> 00:01:24.000]  如果那個小朋友三歲以下
[00:01:24.000 --> 00:01:27.000]  他會不會覺得這樣才是人來的
[00:01:27.000 --> 00:01:31.000]  就是戴著口罩才是正常的人來的
[00:01:31.000 --> 00:01:33.000]  將來不知道過了以後要脫口罩
[00:01:33.000 --> 00:01:34.000]  他有什麼感覺
[00:01:34.000 --> 00:01:37.000]  因為他一出生就是戴著口罩
[00:01:37.000 --> 00:01:40.000]  這些事情我們打算捱一捱
[00:01:40.000 --> 00:01:42.000]  過去幾個月就完了
[00:01:42.000 --> 00:01:43.000]  不過兩年過去
[00:01:43.000 --> 00:01:45.000]  差不多三年都來
[00:01:45.000 --> 00:01:48.000]  情況都沒有絲毫的改善
[00:01:48.000 --> 00:01:50.000]  所以我們見到突然間
[00:01:50.000 --> 00:01:52.000]  那個情況真的越來越差
[00:01:52.000 --> 00:01:53.000]  可能大家都記得
[00:01:53.000 --> 00:01:55.000]  今年年初一月份的時候
[00:01:55.000 --> 00:01:57.000]  當我們打算過完新年
[00:01:57.000 --> 00:01:59.000]  以為好景就來的時候
[00:01:59.000 --> 00:02:04.000]  突然間確診人數上升到過萬
[00:02:04.000 --> 00:02:05.000]  上升到過萬的時候
[00:02:05.000 --> 00:02:07.000]  就開始我們發覺
[00:02:07.000 --> 00:02:09.000]  所有如果你要上班的人
[00:02:09.000 --> 00:02:11.000]  你發覺你就要在家裡工作
[00:02:11.000 --> 00:02:13.000]  因為政府就說在家居工作好
[00:02:13.000 --> 00:02:15.000]  就是避免太多人的接觸
[00:02:15.000 --> 00:02:18.000]  同樣讀書的學生都是一樣
[00:02:18.000 --> 00:02:21.000]  都是要留在家裡學習
[00:02:21.000 --> 00:02:23.000]  餐廳不准吃東西
[00:02:23.000 --> 00:02:25.000]  所以我們見到很多人都買外賣
[00:02:25.000 --> 00:02:27.000]  用很多的方法
