
[00:00:00.000 --> 00:00:03.520]  好,今次我們繼續講這個罌
[00:00:03.520 --> 00:00:05.440]  如果你新來的朋友,你未有的話
[00:00:05.440 --> 00:00:07.440]  等下出去的時候,我們送一個給你,好嗎?
[00:00:07.440 --> 00:00:10.560]  一個玻璃罌,裡面有不同的物件
[00:00:10.560 --> 00:00:12.640]  就是我每一次講到新的一年
[00:00:12.640 --> 00:00:14.880]  我們十週年這個系列的時候
[00:00:14.880 --> 00:00:17.760]  我們就會從聖經由頭到尾
[00:00:17.760 --> 00:00:20.000]  我們看看這位的上帝是一個怎樣的上帝
[00:00:20.000 --> 00:00:21.280]  你記得我第一次講的時候
[00:00:21.280 --> 00:00:22.600]  今次是第三次了
[00:00:22.600 --> 00:00:25.560]  第一次講的時候,我說上帝是一個怎樣的上帝?
[00:00:25.560 --> 00:00:27.520]  God on a mission
[00:00:27.520 --> 00:00:29.200]  上帝是由頭到尾
[00:00:29.200 --> 00:00:30.520]  祂不單止創造了這個世界
[00:00:30.520 --> 00:00:32.800]  知道人類是叛逆祂也好
[00:00:32.800 --> 00:00:34.600]  但是祂沒有放棄過這個世界
[00:00:34.600 --> 00:00:37.880]  祂繼續是on a mission去拯救這個世界
[00:00:37.880 --> 00:00:39.600]  這個第一次講的時候就是說
[00:00:39.600 --> 00:00:41.280]  這個世界這麼瘋狂
[00:00:41.280 --> 00:00:42.800]  這麼不濟、這麼破碎
[00:00:42.800 --> 00:00:44.120]  上帝做了什麼?
[00:00:44.120 --> 00:00:47.280]  沒有放棄,祂就召喚了Abraham出來
[00:00:47.280 --> 00:00:48.680]  召喚了阿伯拉罕出來
[00:00:48.680 --> 00:00:51.560]  藉著阿伯拉罕、以撒瓦國
[00:00:51.560 --> 00:00:53.640]  成為一個家、成為一個國
[00:00:53.640 --> 00:00:55.040]  成為一個子民
[00:00:55.040 --> 00:00:58.720]  這個上帝的子民就是在上帝的計劃裡面
[00:00:58.720 --> 00:01:00.920]  去做上帝的工具
[00:01:00.920 --> 00:01:04.040]  以至上帝的祝福能夠流向萬國
[00:01:04.040 --> 00:01:05.440]  這是第一次
[00:01:05.440 --> 00:01:09.880]  上一次我們講到族長的故事
[00:01:09.880 --> 00:01:14.000]  就是說這些族長、阿伯拉罕、以撒瓦國
[00:01:14.000 --> 00:01:16.360]  他們不是什麼英雄人物
[00:01:16.360 --> 00:01:17.840]  我們不需要將他們美化
[00:01:17.840 --> 00:01:22.240]  他們都是在掙扎、跌又碰的裡面跟隨上帝
[00:01:22.240 --> 00:01:25.040]  去承接這個呼召
[00:01:25.040 --> 00:01:26.560]  拿起這個使命
[00:01:26.560 --> 00:01:28.480]  去使萬國能夠得福
[00:01:28.480 --> 00:01:31.960]  這個是整本《創世紀》的結束
[00:01:31.960 --> 00:01:33.520]  《創世紀》就是告訴我們
[00:01:33.520 --> 00:01:36.640]  上帝藉著這些弱小的人
[00:01:36.640 --> 00:01:38.640]  他要去成就他自己的心意
[00:01:38.640 --> 00:01:40.760]  所以我們每一個上帝的子民
[00:01:40.760 --> 00:01:42.400]  我們有一個identity
[00:01:42.400 --> 00:01:43.920]  一個名分
[00:01:43.920 --> 00:01:45.800]  這個名分就是上帝賜給我們
[00:01:45.800 --> 00:01:47.840]  作為他自己的people
[00:01:47.840 --> 00:01:49.200]  我們都是on the mission
[00:01:49.200 --> 00:01:51.360]  因為上帝就是on the mission
[00:01:51.360 --> 00:01:55.000]  這次我們繼續trace整個聖經的大故事
[00:01:55.000 --> 00:01:57.640]  完了《創世紀》就到出《埃及紀》
[00:01:57.640 --> 00:02:00.520]  你記得《創世紀》最後的時候發生什麼事嗎?
[00:02:00.520 --> 00:02:02.920]  瓦國他們一家去了哪裡?
[00:02:02.920 --> 00:02:04.440]  去了埃及,是嗎?
[00:02:04.440 --> 00:02:05.240]  去了埃及
[00:02:05.240 --> 00:02:08.960]  然後在埃及他們一代一代受苦
