
[00:00:00.000 --> 00:00:02.200]  今天的《港道經文》
[00:00:02.200 --> 00:00:07.480]  記載在《初一級記》第十七章一到第七節
[00:00:07.480 --> 00:00:09.400]  《唐用聖經》第一百頁
[00:00:09.400 --> 00:00:13.080]  如果你看《和合本聖經》的時候
[00:00:13.080 --> 00:00:16.080]  你會看到寫着第十七章
[00:00:16.080 --> 00:00:20.000]  然後寫着盆石出水有個括弧
[00:00:20.000 --> 00:00:23.800]  這個括弧有一個指引
[00:00:23.800 --> 00:00:31.440]  可以參考《文素記》第二十章一到十三節
[00:00:31.440 --> 00:00:36.760]  雖然這兩段的經文都是盆石出水
[00:00:36.760 --> 00:00:40.080]  但原來它們不是同一個事件
[00:00:40.080 --> 00:00:41.720]  待會我們都一起看
[00:00:41.720 --> 00:00:47.200]  當我看了今天的經文之後
[00:00:47.200 --> 00:00:51.520]  我就想起那時候我讀大學
[00:00:51.520 --> 00:00:55.520]  我讀管理
[00:00:55.520 --> 00:00:57.640]  對於一位領袖來說
[00:00:57.640 --> 00:01:02.960]  要做對事情其實是一個很大的挑戰
[00:01:02.960 --> 00:01:08.400]  但如果你是純粹自己做對事情
[00:01:08.400 --> 00:01:11.880]  那就算失敗了,失敗了也是自己失敗
[00:01:11.880 --> 00:01:16.000]  但你作爲一個領袖,甚至是一個管理層
[00:01:16.000 --> 00:01:17.760]  挑戰就更加大
[00:01:17.760 --> 00:01:21.480]  因爲當你不能夠做對事情的時候
[00:01:21.480 --> 00:01:23.080]  影響的不只是你自己
[00:01:23.080 --> 00:01:26.560]  是整班人都因此而受影響
[00:01:26.560 --> 00:01:33.680]  剛纔我提過在大學讀過管理
[00:01:33.680 --> 00:01:38.520]  管理裏面大概有分兩大類的領袖
[00:01:38.520 --> 00:01:41.880]  第一就是以目標爲本
[00:01:41.880 --> 00:01:46.120]  Results Oriented或者是Tasks Oriented
[00:01:46.120 --> 00:01:51.600]  另外一個極端就是以關係爲本,或者以人爲本
[00:01:51.600 --> 00:01:53.720]  Relationship Oriented
[00:01:53.720 --> 00:01:57.480]  這兩個極端
[00:01:57.480 --> 00:02:05.520]  就是要讓管理層在中間找一個最適合的地方落幕
[00:02:05.520 --> 00:02:14.680]  務求能夠達至一個比較平衡的狀況
[00:02:14.680 --> 00:02:17.080]  你說一間私營的公司
[00:02:17.080 --> 00:02:20.840]  他們當然是趨向以目標爲本,要賺錢
[00:02:20.840 --> 00:02:22.240]  這是很正常的
[00:02:22.240 --> 00:02:23.640]  爲了達到目標
[00:02:23.640 --> 00:02:27.800]  他可以不需要考慮其他員工所謂的感受
[00:02:27.800 --> 00:02:32.760]  瘦身,炒人,沒有問題,也沒有辦法
[00:02:32.760 --> 00:02:37.320]  你要完成責任,就整班人一起努力去做
[00:02:37.320 --> 00:02:42.360]  所以就會傾向以目標爲本
[00:02:42.360 --> 00:02:45.160]  政府和公營機構是怎樣的呢?
[00:02:45.160 --> 00:02:48.880]  他們當然也會以目標爲本
[00:02:48.880 --> 00:02:52.440]  但是因爲他們是管理或者照顧一班人
[00:02:52.440 --> 00:02:54.960]  譬如香港市民
[00:02:54.960 --> 00:02:57.760]  當他們要推行政策的時候
[00:02:57.760 --> 00:03:02.320]  就不能單單說我們打算要這樣做
[00:03:02.320 --> 00:03:05.200]  所以不理會大家的感受,就直接去做
[00:03:05.200 --> 00:03:12.640]  所以要在以目標爲本和以關係爲本之間取得平衡
[00:03:12.640 --> 00:03:14.800]  這樣是很難取得的
[00:03:14.800 --> 00:03:18.480]  當我學到這裏的時候,我就想一下
[00:03:18.480 --> 00:03:20.960]  咦,那我們的耶穌基督呢?
[00:03:20.960 --> 00:03:25.320]  耶穌基督究竟是以目標爲本的領袖
[00:03:25.320 --> 00:03:29.000]  還是以關係爲本的領袖呢?
[00:03:29.000 --> 00:03:34.600]  教會的領袖又如何呢?
[00:03:34.600 --> 00:03:38.320]  耶穌基督當然是很有目者的心腸
[00:03:38.320 --> 00:03:41.400]  所以祂也充滿智慧
[00:03:41.400 --> 00:03:45.680]  所以當祂要在這兩者中間取得平衡的時候
[00:03:45.680 --> 00:03:49.920]  祂一定是可以取得一個完美的平衡點
[00:03:49.920 --> 00:03:52.000]  而更加重要的是我們知道
[00:03:52.000 --> 00:03:55.560]  原來耶穌基督要取得這個完美的平衡點
[00:03:55.560 --> 00:03:57.760]  有一個條件
[00:03:57.760 --> 00:03:59.960]  就是祂要犧牲自己
[00:03:59.960 --> 00:04:03.280]  犧牲自己的方法來達至這個平衡
[00:04:03.280 --> 00:04:08.120]  教會未必能夠做得到
[00:04:08.120 --> 00:04:12.320]  一個信仰的羣體當然是比較注重關係的
[00:04:12.320 --> 00:04:18.440]  因此目者多數都會傾向以關係爲本
[00:04:18.440 --> 00:04:21.760]  我所講的目者,不僅是教牧童工
[00:04:21.760 --> 00:04:26.920]  是執事、團隊的導師、小組的組長
