
[00:00:00.000 --> 00:00:03.440]  今日是張臨期第二個主日
[00:00:03.440 --> 00:00:06.120]  張臨期有雙重意思
[00:00:06.120 --> 00:00:08.880]  剛才牧師也說了
[00:00:08.880 --> 00:00:13.320]  一方面是等待聖誕節的來臨
[00:00:13.320 --> 00:00:18.680]  這幫助我們回顧耶穌昔日在伯利恆的降生
[00:00:18.680 --> 00:00:22.120]  另一方面是期待耶穌的再臨
[00:00:22.120 --> 00:00:28.560]  這幫助我們對那個有別於現在現世的
[00:00:28.560 --> 00:00:33.240]  一個新天新地保持著希望
[00:00:33.240 --> 00:00:37.120]  耶穌第一次降臨的時候是一個卑微的人
[00:00:37.120 --> 00:00:39.680]  生在卑微的馬槽裡
[00:00:39.680 --> 00:00:41.760]  耶穌第二次降臨
[00:00:41.760 --> 00:00:44.680]  將會帶著神聖的榮耀
[00:00:44.680 --> 00:00:50.160]  將萬物帶向一個終末的圓滿裡
[00:00:50.160 --> 00:00:53.880]  耶穌第一次降臨的時候就像一粒種子
[00:00:53.880 --> 00:00:57.880]  埋在塵世毫不起眼
[00:00:57.880 --> 00:01:02.720]  祂是在悠長的歲月裡默默地成長
[00:01:02.720 --> 00:01:05.040]  而耶穌第二次降臨的時候
[00:01:05.040 --> 00:01:09.480]  就是這一粒種子長成一棵巨樹
[00:01:09.480 --> 00:01:14.440]  結出累累的生命果實的時刻
[00:01:14.440 --> 00:01:19.080]  今天我們其實身處在一個歷史的進程裡
[00:01:19.080 --> 00:01:21.240]  我們活在這個巨樹
[00:01:21.240 --> 00:01:25.000]  由一粒種子慢慢變成一個巨樹
[00:01:25.000 --> 00:01:29.320]  這個一點一滴的成長的過程裡
[00:01:29.320 --> 00:01:36.600]  我們可能會窒礙這一粒種子的成長
[00:01:36.600 --> 00:01:41.600]  又或者我們只不過是一個無所事事的旁觀者
[00:01:41.600 --> 00:01:46.200]  又或者我們是一個努力灌溉的人
[00:01:46.200 --> 00:01:49.720]  我們是有份將這一粒種子
[00:01:49.720 --> 00:01:53.600]  將它發展成一個巨大的樹
[00:01:53.600 --> 00:01:56.840]  讓天國圓滿的降臨
[00:01:56.840 --> 00:01:58.840]  想到耶穌的再來
[00:01:58.840 --> 00:02:04.120]  總讓我們期待那個由耶穌帶來的一個新的世界
[00:02:04.120 --> 00:02:06.360]  一個新天新地
[00:02:06.360 --> 00:02:11.000]  想到那一個有一天會來到這個世界的新天新地
[00:02:11.000 --> 00:02:13.520]  就會看到我們這個世界
[00:02:13.520 --> 00:02:16.880]  現在這個世界是多麼不濟
[00:02:16.880 --> 00:02:19.120]  人性依然醜惡
[00:02:19.120 --> 00:02:21.800]  公義依舊不彰
[00:02:21.800 --> 00:02:25.440]  和平依舊遙遙無期
[00:02:25.440 --> 00:02:27.880]  對於那個終末的新的世界
[00:02:27.880 --> 00:02:31.800]  古代的先知曾經作出預言
[00:02:31.800 --> 00:02:35.840]  讓我們看回先知以塞亞的預言
[00:02:35.840 --> 00:02:38.360]  就是剛才我們讀的舊約經課
[00:02:38.360 --> 00:02:40.280]  如果有聖經的頂姐妹
[00:02:40.280 --> 00:02:42.120]  可以打開這個經文
[00:02:42.120 --> 00:02:46.760]  以塞亞書第十一章一至第十節
[00:02:46.760 --> 00:02:48.600]  先知這樣說
[00:02:48.600 --> 00:02:52.840]  從耶西的本必發一條
[00:02:52.840 --> 00:02:57.520]  在一棵樹幹那裡會有一個新的苗會走出來
[00:02:57.520 --> 00:03:00.960]  從祂根生的枝子必結果實
[00:03:00.960 --> 00:03:04.160]  耶和華的靈必住在祂的身上
[00:03:04.160 --> 00:03:05.200]  這個靈是什麼呢?
[00:03:05.200 --> 00:03:08.280]  就是使祂有智慧和聰明的靈
[00:03:08.280 --> 00:03:10.480]  謀略和能力的靈
[00:03:10.480 --> 00:03:13.480]  知識和敬畏耶和華的靈
[00:03:13.480 --> 00:03:16.160]  祂必以敬畏耶和華為樂
[00:03:16.160 --> 00:03:18.400]  行審判不憑眼見
