
[00:00:00.000 --> 00:00:05.000]  剛才我們讀了《雅各書》第三章一至十二節
[00:00:05.000 --> 00:00:10.000]  裡面提醒我們要留心舌頭說話
[00:00:10.000 --> 00:00:14.000]  要慎重去說,否則會產生很大的影響
[00:00:14.000 --> 00:00:16.000]  在這裡想問問大家
[00:00:16.000 --> 00:00:19.000]  有沒有試過說錯話,失言呢?
[00:00:19.000 --> 00:00:22.000]  這個不單只說在日常生活裡用口說
[00:00:22.000 --> 00:00:24.000]  也包括在社交媒體
[00:00:24.000 --> 00:00:27.000]  譬如在WhatsApp或者Facebook上所寫的說話
[00:00:27.000 --> 00:00:29.000]  都是你所說的
[00:00:29.000 --> 00:00:32.000]  有沒有試過說錯話,寫錯話
[00:00:32.000 --> 00:00:36.000]  而得罪了別人,產生一些不好的結果呢?
[00:00:36.000 --> 00:00:39.000]  在7月23日我看時代論壇的時候
[00:00:39.000 --> 00:00:43.000]  有一個短信提到一個很有名的牧師
[00:00:43.000 --> 00:00:46.000]  叫畢德森牧師,Eugene Peterson
[00:00:46.000 --> 00:00:48.000]  他是長老會以前的牧師
[00:00:48.000 --> 00:00:51.000]  也是一個很有名的基督教作家
[00:00:51.000 --> 00:00:56.000]  有很多的書籍,造就很多弟兄姊妹信徒牧者
[00:00:56.000 --> 00:01:00.000]  他早前接受了一個信仰新聞社的訪問
[00:01:00.000 --> 00:01:02.000]  訪問裡記者就問他
[00:01:02.000 --> 00:01:05.000]  假如你今天擔任牧職
[00:01:05.000 --> 00:01:07.000]  對你教會一些很有誠信
[00:01:07.000 --> 00:01:09.000]  很好的同性戀的基督徒
[00:01:09.000 --> 00:01:13.000]  他們要求你為他們主持同性戀婚禮
[00:01:13.000 --> 00:01:15.000]  你會不會做這件事呢?
[00:01:15.000 --> 00:01:18.000]  當時畢德森牧師就說,我會
[00:01:18.000 --> 00:01:24.000]  當這段新聞刊登出來的時候
[00:01:24.000 --> 00:01:27.000]  馬上引起教會界很強烈的迴響
[00:01:27.000 --> 00:01:33.000]  其中美國一個最大的基督教零售連鎖店
[00:01:33.000 --> 00:01:35.000]  就立即宣佈
[00:01:35.000 --> 00:01:38.000]  如果畢德森牧師不確認他持有聖經的婚姻觀點
[00:01:38.000 --> 00:01:41.000]  Lyra將不會出售任何著作
[00:01:41.000 --> 00:01:45.000]  之後畢德森牧師就在7月13日
[00:01:45.000 --> 00:01:48.000]  在華盛頓郵報發表了聲明
[00:01:48.000 --> 00:01:51.000]  撤回他的立場,澄清他的觀點
[00:01:51.000 --> 00:01:56.000]  他說當時他在記者採訪之下
[00:01:56.000 --> 00:01:58.000]  逼著他之下
[00:01:58.000 --> 00:02:00.000]  他當時這樣說,我會
[00:02:00.000 --> 00:02:05.000]  但是我進一步反思和祈禱之後
[00:02:05.000 --> 00:02:08.000]  我就希望撤回我的觀點
