
[00:00:00.000 --> 00:00:02.760]  這個問題呢,我究竟想怎樣呢?
[00:00:02.760 --> 00:00:07.040]  是邀請大家在2014年開始去問自己
[00:00:07.040 --> 00:00:09.760]  在今年呢,我究竟想怎樣?
[00:00:09.760 --> 00:00:12.240]  都是我自己問自己的問題
[00:00:12.240 --> 00:00:14.000]  在我們聆聽上的說話之前
[00:00:14.000 --> 00:00:18.420]  讓我們一起低頭祈禱
[00:00:18.420 --> 00:00:20.720]  祭奉著我們獻上感恩
[00:00:20.720 --> 00:00:23.560]  在新的一年第一次的崇拜
[00:00:23.560 --> 00:00:26.360]  請你招待我們在這個殿裡面敬拜
[00:00:26.360 --> 00:00:29.120]  而你招待我們未能回到殿裡面的時候
[00:00:29.120 --> 00:00:32.880]  都一起在網上三點的直播
[00:00:32.880 --> 00:00:34.880]  讓聖靈與我們同在
[00:00:34.880 --> 00:00:36.960]  讓你的話語進入我們的心
[00:00:36.960 --> 00:00:39.520]  成為我們生命的力量和方向
[00:00:39.520 --> 00:00:42.160]  有完講的和聽的都同忙你的月立
[00:00:42.160 --> 00:00:44.320]  祈祿奉主耶穌基督的名求
[00:00:44.320 --> 00:00:46.880]  Amen
[00:00:46.880 --> 00:00:49.040]  今天同樣都是在三大經課裡面
[00:00:49.040 --> 00:00:52.080]  我選了一封書《馬可》這一段
[00:00:52.080 --> 00:00:53.840]  可能這一段對於很多
[00:00:53.840 --> 00:00:56.000]  回教會一段日子的弟兄姊妹來說
[00:00:56.000 --> 00:00:57.680]  都很熟悉
[00:00:57.680 --> 00:01:01.360]  那究竟這段經文在今天這個時刻
[00:01:01.360 --> 00:01:05.920]  在2024年要對我們說些什麼話呢?
[00:01:05.920 --> 00:01:08.400]  四節八節其實是說
[00:01:08.400 --> 00:01:11.520]  斯西約翰他的身份和任務
[00:01:11.520 --> 00:01:14.480]  在今天沒有讀出的經文二節三節
[00:01:14.480 --> 00:01:18.560]  其實是引以塞亞先知和馬拉基先知的寓言
[00:01:18.560 --> 00:01:20.160]  他們指明斯西約翰就是
[00:01:20.160 --> 00:01:23.440]  那位預定要來的先知以利亞
[00:01:23.440 --> 00:01:27.120]  要預備上帝國這個君王的道
[00:01:27.120 --> 00:01:32.480]  和修植救世主要來的大陸
[00:01:32.480 --> 00:01:36.400]  整個話題斯西約翰是穿著駱駝毛
[00:01:36.400 --> 00:01:38.880]  吃的是蝗蟲野脈
[00:01:38.880 --> 00:01:42.240]  在曠野裡面生活行走
[00:01:42.240 --> 00:01:44.800]  這個在猶太人眼裡面
[00:01:44.800 --> 00:01:48.800]  和先知的裝出和行徑很相符
[00:01:48.800 --> 00:01:51.200]  也就是他吃的東西
[00:01:51.200 --> 00:01:55.920]  都合乎猶太人潔淨禮儀的一些食物
[00:01:55.920 --> 00:02:00.240]  斯西約翰的職責是修植救世主的路
[00:02:00.240 --> 00:02:04.400]  預備人心去迎接上帝國的君王
[00:02:04.400 --> 00:02:08.320]  即是說人要有知罪的心
[00:02:08.320 --> 00:02:10.480]  願意承認自己的罪
[00:02:10.480 --> 00:02:14.240]  以及願意用行動去回應悔改
[00:02:14.240 --> 00:02:16.160]  不是只說
[00:02:16.160 --> 00:02:20.000]  也不是只得個立志
[00:02:20.000 --> 00:02:23.280]  斯西約翰很知道自己的位份
[00:02:23.280 --> 00:02:25.840]  他是一個預備者
[00:02:25.840 --> 00:02:27.360]  不是那位君王
[00:02:27.360 --> 00:02:29.680]  不是那位救世主
[00:02:29.680 --> 00:02:33.680]  他所行的是悔改的洗禮
[00:02:33.680 --> 00:02:37.040]  幫助每一個人去預備好自己
[00:02:37.040 --> 00:02:39.200]  帶領他們去到上帝的面前
[00:02:39.200 --> 00:02:43.520]  去獲得赦免和接納
[00:02:43.520 --> 00:02:45.520]  斯西約翰雖然是伊利亞
[00:02:45.520 --> 00:02:47.600]  是一個預備者
[00:02:47.600 --> 00:02:49.920]  他知道自己的位置
[00:02:49.920 --> 00:02:50.800]  他自問自己
