
[00:00:00.000 --> 00:00:02.880]  我住在美孚的家 我住在19樓
[00:00:02.880 --> 00:00:04.880]  這幾天是報佳音的高峰期
[00:00:04.880 --> 00:00:07.680]  晚上竟然都聽見樓下的人大喊
[00:00:07.680 --> 00:00:10.000]  聖誕快樂 耶穌愛你
[00:00:10.000 --> 00:00:12.880]  非常勇敢 喊到19樓都聽到
[00:00:12.880 --> 00:00:14.800]  所以頂智媒很簡單
[00:00:14.800 --> 00:00:16.000]  報佳音很簡單
[00:00:16.000 --> 00:00:17.480]  人人都說聖誕快樂
[00:00:17.480 --> 00:00:19.600]  我們多加一句 耶穌愛你 好嗎
[00:00:19.600 --> 00:00:22.400]  馬上跟隔壁樓說 聖誕快樂 耶穌愛你
[00:00:22.400 --> 00:00:28.160]  我們相信很多頂智媒都過過無數的聖誕節
[00:00:28.160 --> 00:00:31.840]  今天在講台中我們都是重溫一些很古舊的故事
[00:00:31.840 --> 00:00:33.760]  你想想 耶穌自出生
[00:00:33.760 --> 00:00:36.560]  到祂出來侍奉的時候
[00:00:36.560 --> 00:00:39.120]  每一個見到耶穌的人
[00:00:39.120 --> 00:00:41.600]  都是得著一個好的消息
[00:00:41.600 --> 00:00:43.880]  聖誕頂智媒 今天我們說
[00:00:43.880 --> 00:00:45.480]  基督徒很喜歡報佳音
[00:00:45.480 --> 00:00:48.200]  特別是平安夜這個日子
[00:00:48.200 --> 00:00:49.280]  其實我們今天要思考一下
[00:00:49.280 --> 00:00:51.280]  我們有什麼好消息
[00:00:51.280 --> 00:00:53.440]  可以給到我們身邊的朋友
[00:00:53.440 --> 00:00:55.040]  事實上這個好消息
[00:00:55.040 --> 00:00:57.480]  是關於一個小朋友出生的故事
[00:00:57.480 --> 00:00:59.840]  小朋友出生 對於所有家庭來說
[00:00:59.840 --> 00:01:01.200]  都會是一個好消息
[00:01:01.200 --> 00:01:03.440]  都是一個很開心快樂的時間
[00:01:03.440 --> 00:01:05.680]  但是耶穌基督之所以這麼特別
[00:01:05.680 --> 00:01:07.440]  因為這個小朋友的出現
[00:01:07.440 --> 00:01:10.720]  是代表了一個很突破性的時刻
[00:01:10.720 --> 00:01:13.760]  就是上帝要臨在人間
[00:01:13.760 --> 00:01:16.320]  上帝要跟我們同住
[00:01:16.320 --> 00:01:18.960]  在翻譯裡面 我們常常都會叫
[00:01:18.960 --> 00:01:20.360]  就是二馬來離
[00:01:20.360 --> 00:01:21.920]  所以人家恭喜你發財
[00:01:21.920 --> 00:01:23.720]  我們通常說祝你二馬來離
[00:01:23.720 --> 00:01:26.440]  意思就是說祝你能夠可以
[00:01:26.440 --> 00:01:29.600]  時刻都經歷到上帝的同在
[00:01:29.600 --> 00:01:32.520]  事實上在第一次的平安夜
[00:01:32.520 --> 00:01:34.480]  是發生在以色列的地方
[00:01:34.480 --> 00:01:36.720]  這段經文逢生小朋友
[00:01:36.720 --> 00:01:39.040]  讀幼稚園的時候有做過聖旗的
[00:01:39.040 --> 00:01:40.160]  都一定會懂得背的
[00:01:40.160 --> 00:01:41.360]  我們試試重溫一次 好嗎
[00:01:41.360 --> 00:01:42.680]  1 2 3
[00:01:42.680 --> 00:01:44.960]  在百里行之野地裡
[00:01:44.960 --> 00:01:46.320]  有牧羊的人
[00:01:46.320 --> 00:01:49.480]  夜間按著羹似看守羊群
[00:01:49.480 --> 00:01:52.680]  有主的使者站在他們旁邊
[00:01:52.680 --> 00:01:55.720]  主的榮光四面照著他們
[00:01:55.720 --> 00:01:58.120]  牧羊的人就甚懼怕
[00:01:58.120 --> 00:02:01.480]  那天是對他們說不要懼怕
[00:02:01.480 --> 00:02:03.920]  我報給你們大喜的信息
[00:02:03.920 --> 00:02:05.920]  是關乎萬民的
[00:02:05.920 --> 00:02:08.720]  因今天在大衛的城裡
[00:02:08.720 --> 00:02:10.960]  為你們生了救主
[00:02:10.960 --> 00:02:12.720]  就是主基督
[00:02:12.720 --> 00:02:15.160]  你們要看見一個鷹鞋
[00:02:15.160 --> 00:02:16.320]  包著布
[00:02:16.320 --> 00:02:18.280]  臥在馬槽裡
[00:02:18.280 --> 00:02:20.520]  那就是記號了
[00:02:20.520 --> 00:02:22.040]  我們可以想像一下
[00:02:22.040 --> 00:02:26.320]  其實原來第一次報街陰的那群不是人
[00:02:26.320 --> 00:02:28.600]  第一次報街陰的是什麼
[00:02:28.600 --> 00:02:30.160]  是天使
[00:02:30.160 --> 00:02:33.400]  在一個無名的晚上
[00:02:33.400 --> 00:02:35.960]  突然間天上出現了一群天使
[00:02:35.960 --> 00:02:38.040]  要宣佈一個好的消息
[00:02:38.040 --> 00:02:39.920]  而且在經文講得很清楚
[00:02:39.920 --> 00:02:43.280]  這個好消息原來不只是給以色列人的
[00:02:43.280 --> 00:02:45.440]  所以以色列人誤會了
[00:02:45.440 --> 00:02:46.840]  天使講得很清楚
[00:02:46.840 --> 00:02:49.880]  這個好消息是關乎萬民的
[00:02:49.880 --> 00:02:51.640]  是關於每一個人的
[00:02:51.640 --> 00:02:53.400]  這個好消息在說什麼呢
