
[00:00:00.000 --> 00:00:01.720]  好,我們做一個禱告
[00:00:01.720 --> 00:00:07.660]  天父
[00:00:07.660 --> 00:00:15.140]  我們來到您的面前
[00:00:15.140 --> 00:00:16.780]  求您
[00:00:16.780 --> 00:00:20.320]  用您的話語來幫助我們
[00:00:20.320 --> 00:00:21.600]  引導我們
[00:00:21.600 --> 00:00:24.860]  賜下您清潔的心
[00:00:24.860 --> 00:00:26.180]  純正的靈
[00:00:26.180 --> 00:00:29.180]  來幫助我們能夠
[00:00:29.180 --> 00:00:32.340]  知道我們裏面所存的是什麽
[00:00:32.340 --> 00:00:34.380]  能夠在您面前反省
[00:00:34.380 --> 00:00:37.360]  以致我們能夠走在您的心理之上
[00:00:37.360 --> 00:00:40.880]  請您聽我們的禱告
[00:00:40.880 --> 00:00:43.680]  奉我主耶穌基督得聖的之名
[00:00:43.680 --> 00:00:44.680]  阿們
[00:00:44.680 --> 00:00:48.120]  這段經文是對
[00:00:48.120 --> 00:00:49.700]  雅各
[00:00:49.700 --> 00:00:52.060]  就是耶穌的兄弟
[00:00:52.060 --> 00:00:55.580]  雅各對一群基督徒講的
[00:00:55.580 --> 00:00:57.920]  對一群基督徒講的
[00:00:57.920 --> 00:01:00.480]  四章一開始就說
[00:01:00.480 --> 00:01:03.580]  你們中間的征戰鬥毆
[00:01:03.580 --> 00:01:05.220]  從哪裏來的
[00:01:05.220 --> 00:01:09.560]  不是從你們白體中戰鬥之私欲來的嗎
[00:01:09.560 --> 00:01:14.080]  當我們讀到這兒的時候
[00:01:14.080 --> 00:01:17.640]  可能有些人就會問
[00:01:17.640 --> 00:01:22.900]  基督徒中間也有征戰鬥毆嗎
[00:01:22.900 --> 00:01:26.440]  有沒有啊
[00:01:28.900 --> 00:01:33.560]  很多人覺得我們信了耶穌之後
[00:01:33.560 --> 00:01:35.100]  應該是什麽
[00:01:35.100 --> 00:01:37.120]  像聖人一樣
[00:01:37.120 --> 00:01:39.800]  什麽過錯都沒有
[00:01:39.800 --> 00:01:42.080]  凡事想的都是好的
