
[00:00:00.000 --> 00:00:05.140]  約翰一書是約書的門徒約翰
[00:00:05.140 --> 00:00:06.880]  在他年老的時候
[00:00:06.880 --> 00:00:09.520]  也是在第一世紀的末了的時候
[00:00:09.520 --> 00:00:11.000]  他寫下來的
[00:00:11.000 --> 00:00:13.360]  他寫的這本書的目的
[00:00:13.360 --> 00:00:15.920]  你知道我們在讀這些使徒們的書信
[00:00:15.920 --> 00:00:18.080]  他們寫信都有目的的
[00:00:18.080 --> 00:00:20.900]  那約翰他的目的
[00:00:20.900 --> 00:00:24.000]  他是要提醒我們屬神的兒女
[00:00:24.000 --> 00:00:28.040]  要在真理上扎根
[00:00:28.040 --> 00:00:31.320]  而且要與耶穌基督建立關係
[00:00:31.320 --> 00:00:33.800]  免得異端來攪擾的時候
[00:00:33.800 --> 00:00:36.520]  我們就容易失去迷失方向
[00:00:36.520 --> 00:00:38.200]  所以這是約翰的目的
[00:00:38.200 --> 00:00:40.200]  那我們一起來讀一下
[00:00:40.200 --> 00:00:44.920]  約翰一書第一章的第一節到第四節
[00:00:44.920 --> 00:00:48.600]  出來了
[00:00:48.600 --> 00:00:49.800]  我們一起來念
[00:00:49.800 --> 00:00:51.040]  第一節到第四節
[00:00:51.040 --> 00:00:55.520]  論道從起初原有的生命之道
[00:00:55.520 --> 00:00:59.320]  就是我們所聽見、所看見
[00:00:59.320 --> 00:01:02.680]  親眼看過、親手摸過的
[00:01:02.680 --> 00:01:06.000]  這生命已經顯現出來
[00:01:06.000 --> 00:01:07.880]  我們也看見過
[00:01:07.880 --> 00:01:10.120]  現在又做見證
[00:01:10.120 --> 00:01:12.560]  將源於父同在
[00:01:12.560 --> 00:01:16.200]  又顯現於我們那永遠的生命
[00:01:16.200 --> 00:01:17.960]  傳給你們
[00:01:17.960 --> 00:01:21.280]  你們將所看見、所聽見的
[00:01:21.280 --> 00:01:22.480]  傳給你們
[00:01:22.480 --> 00:01:25.080]  使你們與我們相交
[00:01:25.080 --> 00:01:27.360]  我們乃是與父
[00:01:27.360 --> 00:01:30.680]  並他兒子耶穌基督相交的
[00:01:30.680 --> 00:01:33.480]  我們將這些話寫給你們
[00:01:33.480 --> 00:01:38.280]  使你們的喜樂得以充足
[00:01:38.280 --> 00:01:39.680]  到這邊就好了
[00:01:39.680 --> 00:01:43.040]  我們先念四節
[00:01:43.040 --> 00:01:44.760]  這段經文
[00:01:44.760 --> 00:01:47.480]  第一節到第四節這段經文
[00:01:47.480 --> 00:01:49.880]  老約翰是在告訴我們說
[00:01:49.880 --> 00:01:54.880]  耶穌基督他是從起初就有的生命之道
[00:01:54.880 --> 00:01:57.640]  在《創世紀》第一章二十六節的時候
[00:01:57.640 --> 00:01:59.600]  神就說
[00:01:59.600 --> 00:02:01.720]  我們要照著我們的形象
[00:02:01.720 --> 00:02:04.440]  按著我們的樣式造人
[00:02:04.440 --> 00:02:05.400]  我們
[00:02:05.400 --> 00:02:09.160]  那我們就是聖父、聖子、聖靈
[00:02:09.160 --> 00:02:11.000]  三位一體的
[00:02:11.000 --> 00:02:14.080]  而且是在起初創世的時候
[00:02:14.080 --> 00:02:18.480]  他們就一起完成了這個創世的大功
[00:02:18.480 --> 00:02:20.680]  而且我們的耶穌基督
[00:02:20.680 --> 00:02:22.680]  祂是 Messiah
[00:02:22.680 --> 00:02:26.680]  祂是確實經過人的耳朵聽過
[00:02:26.680 --> 00:02:29.160]  剛才他上面講的眼睛看過
[00:02:29.160 --> 00:02:30.840]  手摸過
[00:02:30.840 --> 00:02:34.480]  查證之後寫下來的
[00:02:34.480 --> 00:02:35.520]  弟兄姊妹
[00:02:35.520 --> 00:02:38.240]  耶穌是完全的神
[00:02:38.240 --> 00:02:40.240]  祂也是完全的人
[00:02:40.240 --> 00:02:41.760]  祂造成了肉身
[00:02:41.760 --> 00:02:44.320]  成為人的樣式
[00:02:44.320 --> 00:02:46.480]  就像我們有時候在看螞蟻
