
[00:00:00.000 --> 00:00:02.800]  敬禮大兄姊妹長輩們
[00:00:02.800 --> 00:00:03.960]  平安
[00:00:03.960 --> 00:00:07.900]  感謝主今天有這樣的機會
[00:00:07.900 --> 00:00:09.820]  福氣
[00:00:09.820 --> 00:00:13.060]  和你們一起分享神的話,我們一起祈禱
[00:00:13.060 --> 00:00:18.840]  天父我們為了我們今天可以有
[00:00:18.840 --> 00:00:20.840]  三明氣息來這邊
[00:00:20.840 --> 00:00:23.640]  是因為你的恩典,你的報救
[00:00:23.640 --> 00:00:26.280]  我們可以一起來敬拜祢
[00:00:26.280 --> 00:00:29.840]  不論我們有什麼也好,是因為祢的恩典
[00:00:30.180 --> 00:00:33.340]  完成了祢自己親自工作
[00:00:33.340 --> 00:00:36.620]  被講的,聽的
[00:00:36.620 --> 00:00:39.600]  都得到
[00:00:39.600 --> 00:00:43.320]  召集,我們今天祈禱
[00:00:43.320 --> 00:00:44.320]  奉耶穌基督名號
[00:00:44.320 --> 00:00:48.260]  今天我和你們分享這本書
[00:00:48.260 --> 00:00:51.260]  是《容納書》
[00:00:51.260 --> 00:00:53.300]  《容納書》我們都很
[00:00:53.300 --> 00:00:57.260]  很懂,其實我
[00:00:57.260 --> 00:01:00.240]  教兒童主教學
[00:01:00.240 --> 00:01:03.240]  我相信很多時候
[00:01:03.240 --> 00:01:06.160]  我們在教育
[00:01:06.160 --> 00:01:09.340]  心智書的時候,我們一定會
[00:01:09.340 --> 00:01:12.240]  喜歡教容納書,不會用
[00:01:12.240 --> 00:01:15.040]  其他的心智書,因為其他的心智書
[00:01:15.040 --> 00:01:17.640]  都是講審判的,所以很難
[00:01:17.640 --> 00:01:20.640]  在跟兒童講什麼審判
[00:01:20.640 --> 00:01:23.640]  好像耶利曼書
[00:01:23.640 --> 00:01:26.680]  熱賽亞書,這個我看應該在兒童主教學
[00:01:26.680 --> 00:01:29.700]  很少會這樣教,但是容納書
[00:01:29.700 --> 00:01:32.780]  是很多小朋友都知道
[00:01:32.780 --> 00:01:35.820]  這本書
[00:01:35.820 --> 00:01:39.300]  但是容納書很多人都在想
[00:01:39.300 --> 00:01:43.340]  (放我後面,好)
[00:01:43.340 --> 00:01:46.500]  容納書,很多人都在想
[00:01:46.500 --> 00:01:48.340]  它是講什麼呢?
[00:01:48.340 --> 00:01:51.720]  很多時候容納書
[00:01:51.720 --> 00:01:54.760]  是講任務,是講使命
[00:01:54.760 --> 00:01:57.720]  我們要傳福音
[00:01:57.720 --> 00:01:58.720]  去那些
[00:01:58.720 --> 00:02:02.460]  容納去
[00:02:02.460 --> 00:02:05.260]  城去傳福音,所以我們要
[00:02:05.260 --> 00:02:08.060]  去哪裡傳福音,台南
[00:02:08.060 --> 00:02:10.880]  哪裡去那邊傳福音
[00:02:10.880 --> 00:02:14.040]  好像是教我們這樣的使命
[00:02:14.040 --> 00:02:17.080]  如果你問
[00:02:17.080 --> 00:02:20.460]  小朋友,小朋友應該會跟你講
[00:02:20.460 --> 00:02:22.940]  他最記得的應該是什麼
[00:02:24.220 --> 00:02:27.240]  那個什麼,那個大禹
[00:02:27.240 --> 00:02:30.220]  他記得,你問他
[00:02:30.220 --> 00:02:33.120]  可能他記得那個大禹
[00:02:33.120 --> 00:02:35.720]  容納在大禹那邊
[00:02:35.720 --> 00:02:38.660]  祈禱,神經我教他
[00:02:38.660 --> 00:02:41.180]  但是如果你真的去看
[00:02:41.180 --> 00:02:44.420]  容納書,只是四章
[00:02:44.420 --> 00:02:47.420]  其實還有一節是他最重要的
[00:02:47.420 --> 00:02:48.420]  那一節
[00:02:48.420 --> 00:02:49.800]  我就
[00:02:49.800 --> 00:02:53.760]  他就,那一節就是這個
[00:02:53.760 --> 00:02:56.780]  大家再一起讀,好嗎?
[00:02:56.780 --> 00:03:22.760]  所以這個是容納書
[00:03:22.760 --> 00:03:25.780]  第四章第二節,其實是容納書
[00:03:25.780 --> 00:03:26.780]  所
[00:03:26.780 --> 00:03:31.200]  keyword就是那個所節
[00:03:31.200 --> 00:03:33.240]  所以是很重要的
[00:03:33.240 --> 00:03:36.340]  其實他整個中心
[00:03:36.340 --> 00:03:39.240]  就是講一個神
[00:03:39.240 --> 00:03:41.920]  是一個連萬有恩典的神
[00:03:41.920 --> 00:03:45.420]  如果我們用這個來看
[00:03:45.420 --> 00:03:46.420]  我們再看一個
[00:03:46.420 --> 00:03:48.660]  再看一看
[00:03:48.660 --> 00:03:52.100]  十四章六到七節
[00:03:52.100 --> 00:03:54.820]  請大人姐妹再讀一次
[00:04:23.100 --> 00:04:26.100]  好,我們在這兩節的祈禱
[00:04:26.100 --> 00:04:29.020]  好像很相似
[00:04:29.020 --> 00:04:32.020]  但是你會覺得
[00:04:32.020 --> 00:04:35.100]  你看的時候,你會看到
[00:04:35.100 --> 00:04:38.120]  其實是有一些不一樣的
[00:04:38.120 --> 00:04:41.120]  不一樣是什麼呢?
[00:04:41.120 --> 00:04:44.140]  如果我們再以兩節那時候
[00:04:44.140 --> 00:04:47.120]  這個容納,他祈禱那時候
[00:04:47.120 --> 00:04:50.120]  我知道有連萬的神
[00:04:50.120 --> 00:04:53.120]  有豐盛的慈愛
[00:04:53.120 --> 00:04:56.120]  但是神會怎樣?
[00:04:56.120 --> 00:04:59.120]  神會後悔,不講那個
[00:04:59.120 --> 00:05:02.120]  他的那個災,什麼災呢?
[00:05:02.120 --> 00:05:05.120]  如果看第一章那時候
[00:05:05.120 --> 00:05:07.120]  因為妮妮未成,她的
[00:05:07.120 --> 00:05:09.820]  奶奶未成,還是妮妮未成
[00:05:09.820 --> 00:05:13.280]  妮妮未成,妮妮未成
[00:05:13.280 --> 00:05:16.600]  妮妮未成,妮妮未成
[00:05:16.600 --> 00:05:19.620]  所以,整個樂已經到了神的面前
[00:05:19.620 --> 00:05:22.620]  所以你看
[00:05:22.620 --> 00:05:25.620]  整個樂是很大號,在神的面前
[00:05:25.620 --> 00:05:28.620]  都聽到了,都知道了
[00:05:28.620 --> 00:05:31.620]  但是現在神要
[00:05:31.620 --> 00:05:34.620]  神要誰?
[00:05:34.620 --> 00:05:37.620]  神要容納,去那邊是怎樣?
[00:05:37.620 --> 00:05:40.620]  好像去拯救他們,因為他跟他們
[00:05:40.620 --> 00:05:43.620]  傳福音,他們說你們要的
[00:05:43.620 --> 00:05:46.620]  四十天之後,你們要的
[00:05:46.620 --> 00:05:49.620]  就沒有了,就沒有了
[00:05:49.620 --> 00:05:52.620]  就沒有了,但是神會
[00:05:52.620 --> 00:05:55.620]  為什麼?因為
[00:05:55.620 --> 00:05:58.620]  神會後悔,後悔的意思
[00:05:58.620 --> 00:06:01.620]  不是說神做錯事
[00:06:01.620 --> 00:06:04.620]  那個計劃錯
[00:06:04.620 --> 00:06:07.620]  所以神後悔,不是,他的意思是
[00:06:07.620 --> 00:06:10.620]  神會回心轉意
[00:06:10.620 --> 00:06:13.620]  回心轉意,本來他要
[00:06:13.620 --> 00:06:16.620]  對妮妮未
[00:06:16.620 --> 00:06:19.620]  妮妮未成的人
[00:06:19.620 --> 00:06:22.620]  應該是什麼?應該是因為他
