
[00:00:00.000 --> 00:00:01.680]  各位親愛的姐妹 大家好
[00:00:01.680 --> 00:00:03.920]  今天是大年初三
[00:00:03.920 --> 00:00:09.080]  在這裡祝願大家新年平安 福輝滿日
[00:00:09.080 --> 00:00:12.200]  今年的新年真的很特別
[00:00:12.200 --> 00:00:17.240]  很多人都開始在網上拜年
[00:00:17.240 --> 00:00:21.120]  甚至利是都可以網上過數
[00:00:21.120 --> 00:00:26.280]  尤其是疫症和科技可以說徹底改變了我們的生活方式
[00:00:26.840 --> 00:00:31.440]  而且是很突然和很重大的改變
[00:00:31.440 --> 00:00:34.840]  其實在過去的一百年
[00:00:34.840 --> 00:00:37.320]  科技突飛猛進
[00:00:37.320 --> 00:00:42.920]  人類多年以來的生活方式已經起了翻天覆地的變化
[00:00:42.920 --> 00:00:49.680]  根據美國國家工程學院(NAE)的評選
[00:00:49.680 --> 00:00:53.760]  二十世紀對人類影響最大的二十十項工程
[00:00:54.760 --> 00:01:00.120]  而這二十項工程我將它分成四個類別
[00:01:00.120 --> 00:01:05.440]  例如冷藏技術 電子技術 太空科技
[00:01:05.440 --> 00:01:07.680]  最重要是網際網絡
[00:01:07.680 --> 00:01:11.480]  到今時今日很多人相信
[00:01:11.480 --> 00:01:15.480]  要持續發展就需要不斷挑戰技術
[00:01:15.480 --> 00:01:18.240]  開發新的技術
[00:01:18.240 --> 00:01:21.800]  這樣才能增加我們的財富和影響力
[00:01:21.800 --> 00:01:23.880]  提升我們的生活質素
[00:01:24.880 --> 00:01:28.520]  甚至有人認為發展就是硬道理
[00:01:28.520 --> 00:01:33.560]  其實我們回顧人類的發展歷史
[00:01:33.560 --> 00:01:36.400]  當有新技術的出現
[00:01:36.400 --> 00:01:38.960]  就會開創一個新的時代
[00:01:38.960 --> 00:01:44.520]  但與同時也造就了一些霸權的出現
[00:01:44.520 --> 00:01:49.080]  當中國踏入鐵器時期的時候
[00:01:49.080 --> 00:01:51.160]  我們農具改良了
[00:01:51.160 --> 00:01:53.080]  帶動了經濟起飛
[00:01:54.120 --> 00:01:57.880]  同時武器的殺傷力也更加大
[00:01:57.880 --> 00:02:00.480]  戰爭比以前慘烈
[00:02:00.480 --> 00:02:02.160]  死的人更加多
[00:02:02.160 --> 00:02:06.920]  這就是中國古代最混亂的戰國時代
[00:02:06.920 --> 00:02:09.120]  近代又如何呢
[00:02:09.120 --> 00:02:12.200]  近代官員革命出現了
[00:02:12.200 --> 00:02:16.000]  西方國家率先現代化
[00:02:16.000 --> 00:02:20.360]  於是造就了殖民主義的興起
